,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1.58393E+12,0.48238945,0.12376729,-0.9701705,9.178894,0.596756,3.3508148,-1
1,2,1.58393E+12,0.48238945,0.12376729,-0.9701705,6.913971,0.21607971,6.221451,-1
2,3,1.58393E+12,0.48238945,0.12376729,-0.9701705,6.9642487,0.22566223,6.2118835,-1
3,4,1.58393E+12,0.48238945,0.12376729,-0.9701705,6.9905853,0.42677307,6.343567,-1
4,5,1.58393E+12,0.48238945,0.12376729,-0.9701705,6.8565063,0.5991516,6.784088,-1
5,6,1.58393E+12,0.48238945,0.12376729,-0.9701705,6.3273926,0.11312866,6.913376,-1
6,7,1.58393E+12,0.48238945,0.12376729,-0.9701705,6.0975494,-0.2460022,6.784088,-1
7,8,1.58393E+12,0.48238945,0.12376729,-0.9701705,6.5021667,-0.26275635,6.4249573,-1
8,9,1.58393E+12,0.48238945,0.12376729,-0.9701705,7.1701508,-0.11671448,6.1999054,-1
9,10,1.58393E+12,0.45576382,-0.1799075,0.13122654,7.416748,-0.004180908,6.3411713,-1
10,11,1.58393E+12,0.23336315,-0.361185,0.26579428,7.356903,-0.09516907,6.43454,-1
11,12,1.58393E+12,0.10800171,-0.5781259,0.26633692,7.194092,-0.45429993,6.463272,-1
12,13,1.58393E+12,0.17692232,-0.60721207,0.21305323,7.297043,-0.7559662,6.3890533,-1
13,14,1.58393E+12,0.4444394,-0.4320008,0.15116358,7.629837,-0.68414307,6.312439,-1
14,15,1.58393E+12,0.69014263,-0.5551986,-0.22900152,7.95784,-0.9115906,5.8766937,-1
15,16,1.58393E+12,1.0696912,-0.6262185,-0.2469244,8.443863,-1.0959473,5.790497,-1
16,17,1.58393E+12,1.6082687,-0.66248906,-0.15525532,9.126221,-1.2467804,5.809662,-1
17,18,1.58393E+12,2.0195312,-0.5332506,0.103973866,9.530838,-1.795044,5.8886566,-1
18,19,1.58393E+12,1.3047218,-1.3856325,0.41138506,9.231552,-2.2858582,6.1640015,-1
19,20,1.58393E+12,1.5939541,-0.86484075,1.3010883,9.674484,-1.8788452,7.004364,-1
20,21,1.58393E+12,1.6385107,-0.8789886,1.8403225,9.868423,-1.9794006,7.5358734,-1
21,22,1.58393E+12,1.5843525,-0.89518285,1.9115129,9.916306,-1.9865875,7.634033,-1
22,23,1.58393E+12,1.3449106,-0.56649315,1.8572788,9.830109,-1.7663269,7.5670013,-1
23,24,1.58393E+12,1.061676,-0.28348553,1.5892835,9.650543,-1.4838104,7.2988434,-1
24,25,1.58393E+12,0.787673,-0.23082268,1.0473857,9.4614105,-1.411972,6.7409973,-1
25,26,1.58393E+12,0.7706995,-0.23346996,0.55210686,9.523651,-1.388031,6.2070923,-1
26,27,1.58393E+12,1.0213614,-0.14431489,0.12948704,9.863632,-1.2659302,5.7210693,-1
27,28,1.58393E+12,1.117219,-0.062395453,-0.17617226,10.057556,-1.1438293,5.3308105,-1
28,29,1.58393E+12,0.94374466,-0.039768577,-0.39189053,9.980942,-1.0767975,5.01239,-1
29,30,1.58393E+12,0.64703274,0.08636445,-0.308805,9.77504,-0.90200806,4.981262,-1
30,31,1.58393E+12,0.37431335,0.29822618,0.029640198,9.588303,-0.636261,5.201523,-1
31,32,1.58393E+12,0.23235416,0.34708488,0.4215989,9.538025,-0.51893616,5.3786926,-1
32,33,1.58393E+12,0.32651424,0.31652844,0.40201712,9.645752,-0.49020386,5.3786926,-1
33,34,1.58393E+12,0.4489584,0.37289643,0.3241892,9.961792,-0.3657074,5.062668,-1
34,35,1.58393E+12,0.4723158,0.40389597,0.17858219,10.074326,-0.26994324,4.7777557,-1
35,36,1.58393E+12,0.32078552,0.46605515,0.11824131,10.009674,-0.13586426,4.5670624,-1
36,37,1.58393E+12,0.09666252,0.58495486,0.026530743,9.866028,0.06285095,4.315674,-1
37,38,1.58393E+12,-0.1906271,0.6745914,-0.08288813,9.650543,0.23762512,4.0379486,-1
38,39,1.58393E+12,-0.35195255,0.70748603,-0.13941383,9.5212555,0.3142395,3.894287,-1
39,40,1.58393E+12,-0.63017654,0.8015103,-0.26817298,9.327332,0.5392914,3.494461,-1
40,41,1.58393E+12,-0.65828896,0.8139023,-0.25238252,9.324936,0.59436035,3.4178467,-1
41,42,1.58393E+12,-0.59246826,0.8119496,0.005248785,9.466187,0.7188568,3.3963013,-1
42,43,1.58393E+12,-0.54738617,0.71571577,0.25736594,9.624207,0.69970703,3.4729156,-1
43,44,1.58393E+12,-0.4007988,0.66586626,0.44102764,9.705612,0.73083496,3.4322052,-1
44,45,1.58393E+12,-0.38728046,0.641546,0.551285,9.830109,0.85772705,3.319687,-1
45,46,1.58393E+12,-0.508605,0.55319107,0.7970791,9.743912,0.8672943,3.398697,-1
46,47,1.58393E+12,-0.59516335,0.440979,1.2236488,9.686462,0.8553314,3.6668396,-1
47,48,1.58393E+12,-0.6286392,0.47778076,1.5402403,9.655334,1.1330566,3.7769775,-1
48,49,1.58393E+12,-0.73261833,0.6540995,1.4506116,9.590683,1.2862854,3.5998077,-1
49,50,1.58393E+12,-0.9383383,0.8306128,1.0220332,9.394363,1.5831757,3.0227966,-1
50,51,1.58393E+12,-1.1460447,0.9386178,0.6188668,9.188461,1.8130188,2.462555,-1
51,52,1.58393E+12,-1.2254734,0.8220928,0.28948057,9.095093,1.9279327,2.0220337,-1
52,53,1.58393E+12,-1.0924444,0.50174403,0.4185493,9.162125,1.7842865,1.8304901,-1
53,54,1.58393E+12,-0.9066229,0.2517587,0.6835221,9.315353,1.5640106,1.9095001,-1
54,55,1.58393E+12,-0.78167915,0.081840634,0.9195715,9.526047,1.4347229,2.0411835,-1
55,56,1.58393E+12,-0.81008244,0.033873916,0.895335,9.485352,1.4921875,1.8735809,-1
56,57,1.58393E+12,-0.93973064,0.13059235,0.6192998,9.336899,1.7004852,1.4593964,-1
57,58,1.58393E+12,-1.1010695,0.27016973,0.40867126,9.150162,1.956665,1.1122284,-1
58,59,1.58393E+12,-1.1535282,0.3266796,0.42010385,9.083115,2.071579,1.0571594,-1
59,60,1.58393E+12,-1.127265,0.46845758,0.58969915,9.078323,2.3301544,1.0978699,-1
60,61,1.58393E+12,-0.8846235,0.605278,0.71535194,9.274658,2.6390076,1.0475922,-1
61,62,1.58393E+12,-0.80791664,0.5461688,0.41444528,9.320145,2.691681,0.63578796,-1
62,63,1.58393E+12,-0.81083107,0.42551088,0.06393631,9.284225,2.679718,0.17370605,-1
63,64,1.58393E+12,-0.88261795,0.2866044,-0.13050826,9.176498,2.6461945,-0.13275146,-1
64,65,1.58393E+12,-0.8373356,0.18056679,-0.16627148,9.18367,2.6437988,-0.28118896,-1
65,66,1.58393E+12,-0.674551,0.23389673,-0.070711404,9.308182,2.8018188,-0.29795837,-1
66,67,1.58393E+12,-0.7078991,0.36776304,0.13582107,9.212402,3.103485,-0.25964355,-1
67,68,1.58393E+12,-1.0712919,0.4014244,0.29087532,9.025665,3.1848907,-0.23330688,-1
68,69,1.58393E+12,-1.4411764,0.38983607,0.314865,8.369644,3.359665,-0.29556274,-1
69,70,1.58393E+12,-1.6201344,0.34472203,0.19796377,8.127838,3.4266968,-0.51342773,-1
70,71,1.58393E+12,-1.5170479,0.3054545,0.006315529,8.168533,3.493744,-0.8031311,-1
71,72,1.58393E+12,-1.3840008,0.28560567,-0.14898753,8.240356,3.5775452,-1.0545197,-1
72,73,1.58393E+12,-1.5285597,0.21131086,-0.19543743,8.032059,3.6062622,-1.1933899,-1
73,74,1.58393E+12,-1.887125,0.1322174,-0.03704655,7.6035004,3.6302032,-1.1215668,-1
74,75,1.58393E+12,-2.1596727,0.1369915,0.16490662,7.2563477,3.73555,-0.9994507,-1
75,76,1.58393E+12,-2.342064,0.2254653,0.47837937,6.997772,3.9199066,-0.75764465,-1
76,77,1.58393E+12,-2.500475,0.2515657,0.7790593,6.763138,4.034836,-0.5206146,-1
77,78,1.58393E+12,-2.6889648,0.17805696,1.0075668,6.499771,4.039612,-0.34823608,-1
78,79,1.58393E+12,-2.9243956,0.047156572,1.1569598,6.190918,3.9749756,-0.24768066,-1
79,80,1.58393E+12,-3.1197386,-0.044550657,1.2951595,5.925171,3.936676,-0.14952087,-1
80,81,1.58393E+12,-3.2317276,-0.09421778,1.4695805,5.748001,3.9270935,-0.003463745,-1
81,82,1.58393E+12,-3.4096127,-0.11428404,1.7243779,5.64505,3.9390564,0.094696045,-1
82,83,1.58393E+12,-3.8507404,-0.1905427,2.1537375,5.1685944,3.8887787,0.5663452,-1
83,84,1.58393E+12,-4.143896,-0.18842459,2.1181257,4.807068,3.8744202,0.71240234,-1
84,85,1.58393E+12,-4.375392,-0.3261962,1.8005188,4.4958344,3.7954102,0.54000854,-1
85,86,1.58393E+12,-4.4651737,-0.5825069,1.3488597,4.3114777,3.5583801,0.15933228,-1
86,87,1.58393E+12,-4.415824,-0.9763744,1.0278883,4.2994995,2.9095612,-0.3506317,-1
87,88,1.58393E+12,-4.1374044,-1.3634491,0.81363356,4.4144287,2.6533813,-0.44400024,-1
88,89,1.58393E+12,-3.8199606,-1.7106135,0.65783334,4.8884735,1.9614563,-0.6690521,-1
89,90,1.58393E+12,-3.608779,-2.0598016,0.7081133,5.1063538,1.4850006,-0.5900421,-1
90,91,1.58393E+12,-3.5222216,-2.392595,0.9151645,5.202118,1.0157471,-0.3506317,-1
91,92,1.58393E+12,-3.4890747,-2.6941202,1.1828812,5.25,0.64224243,-0.084869385,-1
92,93,1.58393E+12,-3.4905643,-2.778211,1.0662274,5.264374,0.2519989,-0.092056274,-1
93,94,1.58393E+12,-3.4715385,-2.8205984,0.9433397,5.3888702,0.017364502,-0.300354,-1
94,95,1.58393E+12,-3.2471743,-2.8397434,0.6700195,5.5325165,-0.06404114,-0.4128723,-1
95,96,1.58393E+12,-2.8590927,-2.7596877,0.33563185,5.8437653,-0.20291138,-0.6115875,-1
96,97,1.58393E+12,-2.7553253,-2.7068353,0.27296478,6.076004,-0.38964844,-0.6834259,-1
97,98,1.58393E+12,-2.7459202,-2.6980414,0.24908727,6.107132,-0.56921387,-0.6953888,-1
98,99,1.58393E+12,-2.6827164,-2.6705935,0.11219418,6.3106384,-0.7008972,-0.894104,-1
99,100,1.58393E+12,-2.416132,-2.578999,-0.26422638,6.4614716,-0.74638367,-1.0808563,-1
