,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1582724859995,0.48351812,0.69534683,-1.2653803999999997,5.6370000000000005,3.767,6.492000000000001,-1
1,2,1582724860005,0.48351812,0.69534683,-1.2653803999999997,5.6370000000000005,3.767,6.492000000000001,-1
2,3,1582724860015,0.2650652,1.0949944999999999,0.4815697,2.428,10.614,1.42,-1
3,4,1582724860026,0.18442798,1.1452885,0.6255559,2.335,10.665,1.585,-1
4,5,1582724860036,0.03365922,1.2974205,0.8366051999999999,2.155,10.82,1.8319999999999999,-1
5,6,1582724860046,0.47522783,0.85373116,0.75525093,2.521,10.387,1.805,-1
6,7,1582724860057,0.32208109999999995,0.86426353,1.1266228999999999,2.344,10.401,2.191,-1
7,8,1582724860067,-0.003204465,0.54051876,1.6952249,1.963,10.085,2.7939999999999996,-1
8,9,1582724860078,-1.4377946000000001,-0.17663097,3.2308054,0.426,9.381,4.3919999999999995,-1
9,10,1582724860089,-2.7092695,-0.65128803,3.8467187999999997,-0.922,8.916,5.048,-1
10,11,1582724860099,-3.0174952,-1.0028371999999999,4.013079,-1.2690000000000001,8.568999999999999,5.235,-1
11,12,1582724860109,-3.4648866999999997,-1.6543349999999999,4.204062,-1.801,7.925,5.484,-1
12,13,1582724860119,-3.7383379999999997,-1.9619026000000002,3.5874076,-2.133,7.622999999999999,4.9,-1
13,14,1582724860129,-3.8275926,-2.8397794,4.283,-2.28,6.744,5.671,-1
14,15,1582724860140,-3.5531601999999998,-3.2583585,4.8410025,-2.019,6.322,6.267,-1
15,16,1582724860150,-3.3923936,-4.367661,6.9828386,-1.9180000000000001,5.19,8.61,-1
16,17,1582724860161,-3.5024269999999995,-4.630601400000001,7.390858000000001,-2.0380000000000003,4.921,9.062000000000001,-1
17,18,1582724860171,-4.227913,-5.819465599999999,7.810957000000001,-2.787,3.719,9.575,-1
18,19,1582724860182,-4.577472,-7.0847664,6.287813,-3.1630000000000003,2.445,8.119,-1
19,20,1582724860192,-4.664499299999999,-7.471866599999999,5.70981,-3.242,2.059,7.529,-1
20,21,1582724860202,-5.063098,-8.192122,4.914353,-3.611,1.341,6.6979999999999995,-1
21,22,1582724860213,-5.7718004999999994,-9.206102,4.2440157,-4.239,0.325,5.97,-1
22,23,1582724860223,-5.965406400000001,-9.683114,4.3013363,-4.394,-0.155,6.0089999999999995,-1
23,24,1582724860233,-5.387151,-10.667685,3.8545135999999998,-3.654,-1.156,5.496,-1
24,25,1582724860243,-5.006076999999999,-11.035928,3.5800943,-3.2039999999999997,-1.5319999999999998,5.192,-1
25,26,1582724860253,-3.763465,-11.256547,2.6343985,-1.8030000000000002,-1.7719999999999998,4.1739999999999995,-1
26,27,1582724860263,-2.3230397999999997,-11.730781,-0.14349711,-0.086,-2.287,1.264,-1
27,28,1582724860273,-1.8703546999999998,-11.4041195,-1.9635086,0.5720000000000001,-1.999,-0.6409999999999999,-1
28,29,1582724860283,-1.6920936999999998,-10.606767,-3.1619148,0.9690000000000001,-1.252,-1.906,-1
29,30,1582724860294,-2.5494177000000002,-10.568219000000001,-2.5770423,0.34,-1.276,-1.3619999999999999,-1
30,31,1582724860304,-2.502595,-10.555816,-1.6600872,1.147,-1.4269999999999998,-0.071,-1
31,32,1582724860314,-0.08993530000000001,-11.022319,-1.7135541,3.319,-1.899,-0.5670000000000001,-1
32,33,1582724860325,0.78541327,-10.97584,-2.3327644,4.337,-1.9040000000000001,-1.2109999999999999,-1
33,34,1582724860335,1.9514093000000001,-10.756308,-4.640217,5.949,-1.8630000000000002,-3.592,-1
