,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1583586104153,0.0,0.0,0.0,0.0,0.0,0.0,-1
1,2,1583586104164,0.2511,0.5372,-0.6655,9.817577,1.9673826,-0.4596484,-1
2,3,1583586104174,0.2511,0.5372,-0.6655,9.861976,1.8234432,-0.24846068,-1
3,4,1583586104184,0.2042,0.0376,-0.0047999997999999995,10.056691,1.7141238,-0.32559228,-1
4,5,1583586104194,0.62869996,0.0881,-0.6562,10.369211,1.8628900000000002,-0.9505843,-1
5,6,1583586104204,0.8407,0.2841,-0.7123,10.582563,2.0051153000000004,-0.85966206,-1
6,7,1583586104215,0.9073,0.37289998,-0.57049996,10.502999,2.0311067,-0.5964148,-1
7,8,1583586104225,0.8086,0.3559,-0.4062,10.512863000000001,2.0411335999999998,-0.60238117,-1
8,9,1583586104235,0.8678,0.38239998,-0.4921,10.705567,2.0902338,-0.8728589,-1
9,10,1583586104246,1.0946,0.4243,-0.7966,11.169468,2.1764153999999998,-1.1023478999999998,-1
10,11,1583586104256,1.4992,0.48819998,-0.95129997,11.367325,2.122977,-0.8647378000000001,-1
11,12,1583586104266,1.7156999,0.40579998,-0.6006,11.240327,2.0071168000000004,-0.09098924,-1
12,13,1583586104276,1.4934,0.2695,0.2572,10.7155075,1.8941296000000003,1.1348612,-1
13,14,1583586104286,1.0466,0.1547,1.2542,10.42625,1.8006216,1.6576878000000002,-1
14,15,1583586104296,0.66899997,0.0174,2.0224,10.252345,1.8472415,2.1175277,-1
15,16,1583586104306,0.63479996,0.076799996,2.0956,10.541354,1.9971759999999998,1.8708962,-1
16,17,1583586104316,0.97319996,0.1978,1.7454,10.799621,2.1261756000000003,1.7496827000000001,-1
17,18,1583586104327,1.1656,0.3074,1.6560999,10.683876,2.2741086,2.4196855999999998,-1
18,19,1583586104337,1.0461999,0.3911,2.1911,10.305382,2.2350830000000004,3.4311017999999995,-1
19,20,1583586104347,0.6842,0.3103,3.1132,9.39433,2.2807453,4.922019000000001,-1
20,21,1583586104357,-0.0082,0.3101,4.2223997,8.53078,2.2674432,5.723828,-1
21,22,1583586104367,-1.0602,0.2358,5.1958,7.734075999999999,2.2408577999999997,6.3499207,-1
22,23,1583586104377,-2.0102,0.1603,5.8163,6.835656599999999,2.3399970000000003,7.263232,-1
23,24,1583586104387,-2.7094,0.2052,6.4049,6.372513,2.3264074,7.8051357,-1
24,25,1583586104397,-3.4089,0.1343,6.9603,4.9536414,2.3158636,9.028506,-1
25,26,1583586104408,-5.5736,-0.1312,8.049,3.4148977,2.149926,9.989059,-1
26,27,1583586104417,-5.5736,-0.1312,8.049,2.7871861,2.1454825,9.875181,-1
27,28,1583586104428,-7.5074,-0.3791,6.087999999999999,1.2103839,2.0854359000000002,9.118096000000001,-1
28,29,1583586104438,-8.5399,-0.6157,5.1779,0.13137463,1.8152453999999998,8.329428,-1
29,30,1583586104448,-9.7656,-1.2207999,4.6024,-1.2112648000000001,1.1921688,7.825659299999999,-1
30,31,1583586104458,-11.826799000000001,-2.1167998,4.151799700000001,-3.457189,0.20532674,7.243188000000001,-1
31,32,1583586104469,-11.826799000000001,-2.1167998,4.151799700000001,-5.079471,-0.6217454000000001,6.6938434,-1
32,33,1583586104479,-16.6154,-4.3680997,2.5539,-7.8557496,-1.972372,5.2193312999999995,-1
33,34,1583586104489,-17.6286,-4.9625998,1.4977,-8.710891,-2.8412759999999997,3.6953259,-1
34,35,1583586104499,-17.6286,-4.9625998,1.4977,-8.86252,-3.3946620000000003,3.1744816000000005,-1
35,36,1583586104509,-18.2281,-6.6756997,-0.1638,-8.981339,-4.6259809999999995,1.7446548,-1
36,37,1583586104519,-18.2281,-6.6756997,-0.1638,-8.942621,-5.114599,0.46491566,-1
37,38,1583586104529,-17.7587,-7.4329,-4.437599700000001,-8.179436,-5.5328565,-3.0326299999999997,-1
38,39,1583586104539,-17.2051,-7.5948,-6.2009,-7.606714,-5.945463,-5.0123568,-1
39,40,1583586104549,-17.2051,-7.5948,-6.2009,-7.108969,-6.4166903,-6.8574247,-1
40,41,1583586104559,-15.7617,-8.4726,-10.7111,-5.554107,-7.529199,-10.671388,-1
41,42,1583586104570,-15.7617,-8.4726,-10.7111,-4.8277545,-7.766062700000001,-12.089128500000001,-1
42,43,1583586104580,-11.7308,-8.5876,-16.9342,-1.5493643999999998,-7.970661,-16.211006,-1
43,44,1583586104590,-9.6577,-8.6496,-18.1512,0.90700024,-8.643672,-17.33314,-1
44,45,1583586104600,-9.6577,-8.6496,-18.1512,2.0694331999999998,-8.873477000000001,-17.707335,-1
45,46,1583586104610,-5.8395,-8.8885,-19.634698999999998,4.80478,-9.74532,-19.295523,-1
46,47,1583586104620,-3.2556998999999998,-9.4699,-21.8864,7.078582000000001,-10.515372,-21.363529999999997,-1
47,48,1583586104631,0.1867,-9.755799,-24.5852,11.260753999999999,-11.293479,-24.347136,-1
48,49,1583586104641,3.6655998,-9.995999000000001,-26.5938,14.490178,-12.043495,-25.39839,-1
49,50,1583586104652,6.7581,-10.5348,-26.562199,16.723518,-12.957018,-24.979185,-1
50,51,1583586104662,9.4338,-11.3651,-26.0457,20.524237,-14.676677,-23.710910000000002,-1
51,52,1583586104673,12.6936,-12.099,-24.983598999999998,24.080920000000003,-15.684185999999999,-22.369562,-1
52,53,1583586104682,16.4861,-12.7465,-23.9084,26.685982,-16.635460000000002,-21.207838,-1
53,54,1583586104692,19.4896,-13.658999,-22.1845,29.32017,-18.46668,-18.318497,-1
54,55,1583586104702,21.119799,-15.110399,-19.5663,29.847497999999998,-19.561691,-16.461172,-1
55,56,1583586104713,21.9597,-16.6565,-16.0648,30.762112,-22.421162,-11.244944,-1
56,57,1583586104723,22.8496,-18.6082,-12.0515995,31.76762,-24.127579,-6.3411393,-1
57,58,1583586104733,24.1736,-19.6518,-7.1473,32.864193,-24.721119,-2.864643,-1
58,59,1583586104744,25.918798000000002,-19.557299,-3.5523998999999997,34.74841,-24.39979,0.8681566999999999,-1
59,60,1583586104754,27.3009,-19.0106,-0.8364,35.4237,-23.739476999999997,3.703064,-1
60,61,1583586104764,27.5637,-18.2664,1.4527999,34.841484,-22.905787,5.8313180000000004,-1
61,62,1583586104775,26.5987,-17.2346,4.0284,32.60887,-21.611156,8.975384,-1
62,63,1583586104785,24.176199,-16.095299,6.815,29.481835999999998,-20.411488000000002,11.324247999999999,-1
63,64,1583586104795,20.871199,-14.994599,9.2065,26.270771000000003,-18.937206,13.280282000000001,-1
64,65,1583586104805,17.5267,-13.6033,11.003099,23.035235999999998,-17.089918,14.126076999999999,-1
65,66,1583586104815,14.1143,-11.943999,11.8601,20.148691,-15.51029,14.742163,-1
66,67,1583586104826,10.0875,-10.2720995,12.804199,15.268581,-13.172657999999998,15.914335000000001,-1
67,68,1583586104836,5.889199700000001,-8.5877,13.9101,11.208225,-10.294493,16.481195,-1
68,69,1583586104846,2.4047,-6.4719996,14.3803,9.031953,-8.969052,16.686207,-1
69,70,1583586104856,-0.3762,-5.2745,14.802199,7.214303999999999,-8.10171,17.128854999999998,-1
70,71,1583586104867,-2.1578,-4.8813,15.1361,6.2516245999999995,-7.8757167,16.311073,-1
71,72,1583586104876,-3.4097998,-4.9321,13.719899,5.0128837,-7.025363400000001,14.143497,-1
