,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1580696923688,-0.50589997,0.20789999,0.1451,0.46323013,-3.9403677000000004,8.555881,-1
1,2,1580696923698,0.2193,-0.6892,-0.81399995,-0.3840874,0.8322149,8.768429,-1
2,3,1580696923708,0.023899998999999998,-0.1037,-1.0153999,0.044302307,0.89561343,8.79285,-1
3,4,1580696923719,0.4272,-0.1218,-0.92749995,0.46443683,0.89641786,8.841845,-1
4,5,1580696923729,0.6579999999999999,-0.1047,-0.9188,0.42127413,0.83261716,8.887774,-1
5,6,1580696923740,0.4425,-0.26549998,-0.7266,0.26063278,0.6986185,9.0494795,-1
6,7,1580696923750,0.3572,-0.2811,-0.57199997,0.1941506,0.6649082,9.231055,-1
7,8,1580696923761,0.3636,-0.2109,-0.4468,0.20441695,0.7055425000000001,9.319353,-1
8,9,1580696923771,0.4438,-0.0277,-0.5074,0.34954387,0.9504405999999999,9.241245,-1
9,10,1580696923781,0.885,0.4244,-0.695,0.7660775,1.3205554,9.081292999999999,-1
10,11,1580696923791,1.5435,1.0637,-1.0239,1.6860639,2.1435,8.673196,-1
11,12,1580696923801,2.4366999,1.5984,-1.3302,2.7433338,2.704653,8.38664,-1
12,13,1580696923811,3.3386,1.8443999,-1.5537,3.7289019999999997,2.986891,8.175355999999999,-1
13,14,1580696923822,3.7707,1.7685,-1.6927999,4.2807846,2.906398,8.056422,-1
14,15,1580696923832,3.8037,1.2279999,-1.4409,4.4791684,2.4480807999999996,8.325415,-1
15,16,1580696923842,3.4410000000000003,0.7561,-1.168,4.394623999999999,2.0735798,8.53351,-1
16,17,1580696923852,3.1271,0.34199998,-0.80039996,4.391387,1.8001619999999998,9.028879,-1
17,18,1580696923862,2.5348,0.12329999,0.0052,4.2157197,1.731161,9.756018,-1
18,19,1580696923873,0.99829996,-0.2695,1.6488999,4.009196299999999,1.7383053,11.306838,-1
19,20,1580696923883,0.99429995,-0.24569999,2.8961,4.0661016000000005,1.6973261999999998,12.222696000000001,-1
20,21,1580696923893,1.1618,-0.2821,3.5702,4.233360299999999,1.6012517,12.776552,-1
21,22,1580696923903,1.4649,-0.4238,3.5424,4.6309323,1.4014603,12.603900999999999,-1
22,23,1580696923913,1.9627999,-0.7446,2.9933999,5.0309362,1.0895534,11.891521000000001,-1
23,24,1580696923923,1.9317,-0.85359997,2.4896,4.980274700000001,1.0347165999999999,11.635399000000001,-1
24,25,1580696923933,1.8722,-1.1468999,2.5929,4.859655,0.65997607,12.011758,-1
25,26,1580696923944,1.5586,-1.3658,3.5231,4.421803,0.46046242,13.180682999999998,-1
26,27,1580696923954,0.9551,-1.4818,4.9358997,3.6034555,0.30929255,14.666027,-1
27,28,1580696923964,-0.063099995,-1.7126,6.297000000000001,2.5918862999999996,-0.041793186,15.874198999999999,-1
28,29,1580696923975,-0.8971,-2.2387,7.258899700000001,1.887943,-0.8773216999999999,16.797316,-1
29,30,1580696923985,-1.1255,-3.0588,7.7874,1.9436991000000001,-1.589386,17.090778,-1
30,31,1580696923995,-0.79829997,-3.8789999999999996,8.1085,2.3387616,-2.2903795,17.465595,-1
31,32,1580696924005,-0.4931,-4.5723,8.7463,2.4924598,-3.2117832,18.469427,-1
32,33,1580696924015,-0.687,-5.5594,9.740399,1.7492516,-4.208575700000001,19.344728,-1
33,34,1580696924026,-0.687,-5.5594,9.740399,-0.44944912,-5.397316,19.871489999999998,-1
34,35,1580696924036,-4.4214,-7.7847,10.8202,-3.0756967,-6.2702613,20.20036,-1
35,36,1580696924046,-6.6907997,-8.6432,11.1931,-4.8875421999999995,-6.952024499999999,20.51442,-1
36,37,1580696924056,-8.106,-9.347199,11.3201,-6.0073295,-7.3613276,20.284395,-1
37,38,1580696924066,-8.9015,-9.6516,10.8094,-6.4190845,-7.376305599999999,19.348694000000002,-1
38,39,1580696924077,-9.0707,-9.787499,9.6586,-6.577811,-7.296588400000001,17.885962,-1
39,40,1580696924087,-9.097899,-9.757899,8.0806,-6.542673000000001,-6.96253,16.267471,-1
40,41,1580696924097,-8.8991995,-9.5147,6.582000000000001,-6.3331327,-6.5780406000000005,15.011214,-1
41,42,1580696924107,-8.5905,-9.3126,5.5418997,-6.3189497,-6.095244999999999,13.961328,-1
42,43,1580696924117,-8.5859995,-8.999,4.7212996,-6.712872,-5.700794999999999,13.131765,-1
43,44,1580696924127,-8.913,-8.7219,3.9239998,-7.352765600000001,-5.4167857,12.508286,-1
44,45,1580696924138,-9.4107,-8.592299,3.3293,-7.885274400000001,-5.1953793,11.820672,-1
