,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1583551898387,-0.2644,-0.4403,-0.28239998,6.126542,-7.567286,1.4121959,-1
1,2,1583551898397,-0.1013,-0.2777,-0.5636,10.209278,1.1853501,0.1879161,-1
2,3,1583551898408,0.13409999,0.0155,-0.0002,9.819435,1.121942,-0.12249693,-1
3,4,1583551898418,-0.1679,-0.067499995,-0.47579998,9.563667,1.0981053,-0.5684600999999999,-1
4,5,1583551898429,-0.2443,-0.0053999997,-0.29709998,9.492435,1.1688205,-0.32518047,-1
5,6,1583551898439,-0.3999,-0.14459999,-0.2541,9.341821000000001,1.0146148000000001,-0.34470758,-1
6,7,1583551898449,-0.252,-0.1317,-0.0438,9.53759,1.0995516,-0.058973975,-1
7,8,1583551898459,-0.0654,0.0616,-0.1148,9.757397000000001,1.3416628000000002,-0.13760912,-1
8,9,1583551898470,0.1506,0.1672,0.20729999,9.870028999999999,1.3204597,0.15650418,-1
9,10,1583551898480,0.121599995,0.0072,0.3238,9.887421,1.155729,0.299687,-1
10,11,1583551898490,0.2687,-0.1295,0.4364,10.0772915,1.056207,0.27855098,-1
11,12,1583551898500,0.47419998,-0.1451,0.1528,10.302882,1.0331267,-0.073559456,-1
12,13,1583551898510,0.6509,-0.1256,-0.12709999,10.4828205,1.151477,-0.17047673,-1
13,14,1583551898521,0.8190000000000001,0.1371,0.37399998,10.451505000000001,1.4042663999999998,0.50426674,-1
14,15,1583551898530,0.40989998,0.21139999,0.6576,10.027481,1.4463371999999999,0.63188726,-1
15,16,1583551898540,-0.1352,0.20789999,0.8856,9.396102,1.4852573999999998,0.897433,-1
16,17,1583551898550,-0.4834,0.1902,0.71999997,9.238593,1.4923729,0.6116419,-1
17,18,1583551898560,-0.33089998,0.1639,0.2566,9.607549,1.5648790000000001,0.38259345,-1
18,19,1583551898570,0.2135,0.2794,0.6037,10.036263,1.6637881999999997,0.83572,-1
19,20,1583551898581,0.4148,0.24939999,0.90709996,10.177924,1.64225,1.3917207,-1
20,21,1583551898591,0.43039998,0.1786,1.5231,10.032117,1.5978136,2.028655,-1
21,22,1583551898601,0.1336,0.1427,1.9713999,9.666196000000001,1.6137878,2.5125422000000004,-1
22,23,1583551898611,-0.3082,0.093399994,2.3681,9.242021000000001,1.6015389,2.9679767999999997,-1
23,24,1583551898621,-0.63,0.0336,2.5791,8.937287,1.5667943000000002,2.9833765,-1
24,25,1583551898631,-0.7527,0.014599998999999999,2.1764997999999998,8.964494,1.611566,2.5867145000000002,-1
25,26,1583551898642,-0.57949996,0.0198,1.6330999,9.218328,1.6429013,2.390323,-1
26,27,1583551898652,-0.1918,-0.0164,1.505,9.574307000000001,1.6077256000000002,2.4916650000000002,-1
27,28,1583551898662,-0.021,-0.07809999599999999,1.6894,9.507528,1.5624944,2.965104,-1
28,29,1583551898672,-0.4648,-0.183,2.4112,8.556225999999999,1.4325563000000001,4.2440767,-1
29,30,1583551898683,-1.4448,-0.3628,3.3685,7.4955273,1.2786761999999998,5.3191690000000005,-1
30,31,1583551898693,-2.4364998,-0.4966,4.1085,6.723531200000001,1.27474,5.8292589999999995,-1
31,32,1583551898703,-3.2347999,-0.494,4.1131997,6.1055779999999995,1.430909,5.2155676,-1
32,33,1583551898713,-3.3722,-0.26729998,3.1457999,6.2433309999999995,1.7645457999999998,4.012251,-1
33,34,1583551898723,-3.1525,0.0195,1.9654,6.569488000000001,1.9990914,3.2163513,-1
34,35,1583551898734,-2.8200998,0.15869999,1.4409,6.8139935,1.9899455000000001,2.8923967,-1
35,36,1583551898744,-2.5793,0.066599995,1.2261,6.907722,1.8246881000000001,2.7867646,-1
36,37,1583551898754,-2.7238998,-0.076299995,1.3175,6.193072,1.7380372,3.1496298,-1
37,38,1583551898764,-3.5676,-0.13759999,1.7658999,4.805249,1.6917143,3.7460253,-1
38,39,1583551898774,-5.0074,-0.2305,2.3246,3.4495275000000003,1.6415893,3.7176015,-1
39,40,1583551898784,-6.2973,-0.29029998,2.1578,2.5285835,1.5614887,3.2068415,-1
40,41,1583551898794,-7.088299799999999,-0.4046,1.6310999,2.2105186000000003,1.4842997,2.8735494999999998,-1
41,42,1583551898804,-7.4529,-0.5531,1.3248,1.7471638999999999,1.0841328000000001,2.6575735000000003,-1
42,43,1583551898814,-7.8731,-0.9569,1.242,1.3466618000000001,0.75074506,2.5054746,-1
43,44,1583551898824,-8.367499,-1.3725,1.0381,0.7616147,0.21871512,1.9059952000000002,-1
44,45,1583551898834,-8.8855,-1.7717999,0.5,0.2652967,-0.21512379999999998,1.0321499,-1
45,46,1583551898845,-9.3969,-2.1257,-0.3836,-0.18735108,-0.85378194,-0.21541111,-1
46,47,1583551898855,-9.8424,-2.7573,-1.5263,-0.43837833,-1.7068743000000002,-0.9395901,-1
47,48,1583551898865,-10.0247,-3.5088,-1.9824,-0.06588843,-2.2690327,-0.8481315999999999,-1
48,49,1583551898875,-9.579599,-3.8388998999999995,-1.6867,0.55752337,-2.3025324,-0.34716883,-1
49,50,1583551898885,-8.8384,-3.5999,-0.9914,1.3774705,-1.6658664,0.08683291,-1
50,51,1583551898896,-8.3209,-2.9145,-0.80719995,1.5287553,-1.3596671,-0.119441934,-1
51,52,1583551898905,-8.2041,-2.4564,-1.0734,1.274242,-1.6259694,-0.76407593,-1
52,53,1583551898915,-8.5095,-2.7266,-1.7455,1.1875241,-2.8141925,-2.0401759999999998,-1
53,54,1583551898925,-8.5113,-3.8583,-3.1411998,1.7571908,-4.015852,-3.6726959000000003,-1
54,55,1583551898935,-7.8262,-4.835099700000001,-4.7005,2.8752925,-4.946124,-5.69866,-1
55,56,1583551898945,-6.6572,-5.4184,-6.5799,4.304487,-5.2821646,-7.162666000000001,-1
56,57,1583551898956,-5.187599700000001,-5.4465,-7.7682,5.684467,-5.1670894999999994,-7.904236999999999,-1
57,58,1583551898966,-3.8962998,-4.9848,-8.235499,6.6767106,-4.5167475,-7.4105043,-1
58,59,1583551898976,-3.1266,-4.1767,-7.7391,7.0769825,-4.2676263,-7.0229025,-1
59,60,1583551898986,-2.6337,-3.6827998,-7.292000000000001,7.404883,-4.707393,-6.8771625,-1
60,61,1583551898997,-2.3686,-3.8918998,-7.3300996,8.021447,-5.9478292,-8.416088,-1
61,62,1583551899006,-1.7236999,-4.8849998,-8.9199,9.416041,-6.810891000000001,-9.835955,-1
62,63,1583551899016,-0.29600000000000004,-5.4786997,-10.3811,10.664914,-7.076925,-10.957533,-1
63,64,1583551899026,0.9941,-5.4537,-11.5469,11.191360000000001,-7.101661999999999,-11.408696,-1
64,65,1583551899036,1.6272,-5.167000000000001,-11.9959,11.111614,-6.948663000000001,-10.281708,-1
65,66,1583551899047,1.5644,-4.7924,-11.0405,10.850617999999999,-7.509519,-9.811841000000001,-1
66,67,1583551899057,1.3859,-5.0924997,-10.7389,11.461542,-8.326047,-9.3941965,-1
67,68,1583551899067,2.0734,-5.6436,-10.4873,12.643645,-9.004545,-8.826454,-1
68,69,1583551899077,3.3709,-6.0474997,-10.0675,13.761574,-9.934204,-8.001346,-1
69,70,1583551899087,4.5878997,-6.7044,-9.363,14.134103,-10.775507000000001,-7.0424104000000005,-1
70,71,1583551899097,4.5501,-7.8595996,-8.814899,13.37517,-11.776330999999999,-7.409585000000001,-1
71,72,1583551899108,4.5501,-7.8595996,-8.814899,13.3839035,-12.143352499999999,-8.058174000000001,-1
72,73,1583551899118,5.6309,-8.0792,-10.6486,14.637958,-12.267239,-8.965721,-1
73,74,1583551899128,7.3444,-7.757999999999999,-10.5919,16.198776000000002,-12.107477000000001,-8.599197,-1
74,75,1583551899138,8.3959,-7.3423996,-9.5886,16.913607,-11.933142,-7.4338045,-1
75,76,1583551899148,8.3375,-7.1447997,-8.401899,16.520117000000003,-11.920452000000001,-6.2445188,-1
76,77,1583551899158,7.3838,-6.9206996,-7.5888,15.402216000000001,-11.822118,-5.498724500000001,-1
77,78,1583551899169,6.6478,-6.5943,-6.785,14.781533,-11.640953,-4.5919256,-1
78,79,1583551899179,6.9013995999999995,-6.3314,-5.6134,15.1199875,-11.51543,-3.4491062000000006,-1
79,80,1583551899189,7.8549,-6.0968,-5.117,16.088585000000002,-11.456036,-3.1387793999999998,-1
80,81,1583551899199,9.2508,-6.0895,-4.9005,17.409725,-11.610106,-2.8387860000000003,-1
81,82,1583551899209,10.5111,-6.1408,-4.1457,18.498148,-11.801969,-1.9652374,-1
82,83,1583551899219,11.1458,-6.5146,-2.8442,18.9258,-12.416914,-0.6793595,-1
83,84,1583551899230,11.1915,-7.4023,-1.8264999,18.925226000000002,-13.512788,0.27393496,-1
84,85,1583551899240,11.415,-7.949,-1.216,19.27949,-13.81146,0.84247166,-1
85,86,1583551899250,11.415,-7.949,-1.216,19.83397,-13.475841,1.7175619999999998,-1
86,87,1583551899260,12.1923,-7.2532,0.82839996,19.658072,-13.044588000000001,2.8685312,-1
87,88,1583551899270,11.3614,-7.0260997000000005,1.9399998999999999,18.55695,-12.898886,3.8390355000000005,-1
88,89,1583551899281,10.1292,-7.040899799999999,3.0435,17.530432,-13.022016,4.8836255,-1
89,90,1583551899291,9.4549,-7.3873997000000005,4.2402997000000004,17.202166000000002,-13.37155,5.9852266,-1
90,91,1583551899301,9.4613,-7.8651995999999995,5.3155,17.416763,-13.728372,6.7350330000000005,-1
91,92,1583551899311,9.704599,-8.106,5.8707,17.68163,-13.718276999999999,7.1042190000000005,-1
92,93,1583551899321,9.5494995,-7.915,5.8989,17.343664,-13.268513,6.917998,-1
93,94,1583551899332,8.705999,-7.4378,5.9311,16.383043,-12.571417,7.2658944000000005,-1
94,95,1583551899342,7.3413,-6.9112,6.7348,14.637498,-11.590484,8.224198,-1
95,96,1583551899352,5.5202,-6.212999999999999,7.4888997,12.832510000000001,-10.680831,8.587102,-1
96,97,1583551899362,3.5669999999999997,-5.5875,7.6849,11.206301,-9.869493499999999,8.574086,-1
97,98,1583551899372,2.119,-5.0315,7.8258996,10.513534,-9.142087,8.752282000000001,-1
98,99,1583551899383,1.3968999,-4.3286,7.928,10.055867,-8.048722,8.573436000000001,-1
99,100,1583551899393,1.0971,-3.8095,7.684,10.044767,-7.655133999999999,8.193102,-1
100,101,1583551899403,0.9529,-3.9176,7.4721,9.927423,-7.789353,8.21919,-1
101,102,1583551899413,0.6493,-4.4118,7.797000000000001,9.541038,-7.859551400000001,8.679364,-1
102,103,1583551899423,0.0094,-4.5315,8.2588,8.766025,-7.444186,8.550547,-1
103,104,1583551899434,-0.946,-4.2478,7.819,7.901134,-6.7060823,7.811801400000001,-1
104,105,1583551899443,-1.7551,-3.655,7.0245,7.496322,-5.6420894,7.0887136,-1
105,106,1583551899453,-2.1422,-2.8262,6.4758997,7.1333137,-4.646044,6.8240113,-1
106,107,1583551899463,-2.638,-2.2609,6.319,6.543085,-4.0577216,6.8814144,-1
107,108,1583551899473,-3.4106,-2.1462998,6.5132,5.7363925,-3.8715962999999998,7.172435000000001,-1
108,109,1583551899483,-4.2925,-2.2999,6.8687,4.8804364,-3.8092610000000002,7.68646,-1
109,110,1583551899495,-4.93,-2.5170999,7.3791,4.6743627,-3.8103626000000004,7.8022914000000005,-1
110,111,1583551899505,-5.1858997,-2.7854997999999997,7.2358,4.5240545,-3.9516492,6.866617999999999,-1
111,112,1583551899515,-5.2276998,-3.1545,6.3473,4.8083043,-4.0261087,5.8359239999999994,-1
112,113,1583551899525,-4.8898997,-3.3915,5.3136,5.1934547,-3.8641074,4.227384,-1
113,114,1583551899535,-4.6054997,-3.4438,3.9092,5.1914434,-3.4762468,3.2969019999999998,-1
114,115,1583551899546,-4.6693,-3.1246,2.8193998,4.323181,-2.6338613,3.2723758,-1
115,116,1583551899556,-5.4841,-2.6269,2.8789999999999996,3.3658069999999998,-2.3496982999999996,3.851744,-1
116,117,1583551899566,-7.1675997,-2.4218,3.9276,1.3887136,-1.9894474999999998,5.192027599999999,-1
117,118,1583551899576,-8.6416,-2.3546999,4.9075,0.5966255,-1.4690151000000002,5.145551,-1
118,119,1583551899586,-9.1909,-2.0958,4.7757998,0.8559462999999999,-0.800487,4.2533183,-1
119,120,1583551899600,-8.2073,-0.7413,2.0888999,1.753839,0.45748407,1.7583305,-1
120,121,1583551899611,-7.7545,-0.3649,0.87439996,2.1274781000000003,0.87560743,0.61868083,-1
121,122,1583551899621,-7.4880996,-0.0309,-0.1442,2.3339060000000003,1.390763,-0.45399812,-1
122,123,1583551899631,-7.2805995999999995,0.4447,-1.1517,2.6586175,2.0208595000000003,-1.9161370999999998,-1
123,124,1583551899642,-6.8385,0.8269,-2.4943,3.3818576,2.4341657000000003,-3.3366074999999995,-1
124,125,1583551899652,-6.0049996,1.1915,-3.6618998,4.022182,2.8685985,-3.8746612000000002,-1
125,126,1583551899662,-5.4168,1.6877999,-3.7656,4.3417892,3.3731525,-3.7210586,-1
126,127,1583551899672,-5.3472,1.8671,-3.4422998,4.2255650000000005,3.494098,-3.2942587999999997,-1
127,128,1583551899683,-5.5312,1.8860999,-2.9573,4.053652,3.6400387000000003,-2.8558037,-1
128,129,1583551899693,-5.6755,1.9973999,-2.5575,3.8827822,3.6616826000000002,-2.9560251,-1
129,130,1583551899703,-5.732599700000001,1.8163999,-2.8288,4.165997,3.4663446,-3.510187,-1
130,131,1583551899714,-5.1937,1.6321,-3.4053,4.986068700000001,3.3677607000000003,-4.180372,-1
131,132,1583551899723,-4.226,1.5236,-4.0151997,6.009934400000001,3.3161513999999994,-4.856226400000001,-1
132,133,1583551899733,-3.2798998,1.4943999,-4.506,6.755671,3.3742251000000003,-5.1778345,-1
133,134,1583551899743,-2.6678,1.5852,-4.6923,7.135917999999999,3.4357178,-5.4000544999999995,-1
134,135,1583551899753,-2.4764,1.5554999,-4.8954997,7.116113,3.2826421000000003,-5.648228,-1
135,136,1583551899764,-2.5314,1.3409,-4.9979,7.1902857000000004,2.9592237,-5.4179153,-1
136,137,1583551899774,-2.3209999,0.912,-4.4235,7.5984683,2.4109995,-4.384511,-1
137,138,1583551899784,-1.9159,0.48079997,-3.4703,8.098933,2.1240306,-3.6915622000000003,-1
