,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1583935210740,-1.8838999,0.4569,1.2926999,1.7076212,8.372025500000001,1.3216186,-1
1,2,1583935210750,-1.6604999,-0.7044,-0.3119,-2.1274781000000003,9.602358,-0.4473518,-1
2,3,1583935210760,-0.0074,0.028199999,0.0002,-2.7588675,9.463696,0.23668119999999998,-1
3,4,1583935210771,-0.50549996,-0.0995,0.2951,-3.2096763,9.362775,0.5205185999999999,-1
4,5,1583935210781,-0.5668,-0.0557,0.34199998,-3.2292992999999997,9.346589999999999,0.39310876,-1
5,6,1583935210791,-0.55509996,-0.105,0.0264,-3.3914727999999994,9.309747999999999,0.09461885,-1
6,7,1583935210801,-0.6805,-0.0749,-0.19029999,-3.6472025,9.304357000000001,-0.058198255,-1
7,8,1583935210811,-0.8092,-0.0843,-0.3418,-3.7694407,9.265742,-0.21002895,-1
8,9,1583935210822,-0.6403,-0.0753,-0.46109998,-3.6544042,9.269946000000001,-0.31347764,-1
9,10,1583935210831,-0.3006,0.066599995,-0.5426,-3.301336,9.398994,-0.4710927,-1
10,11,1583935210841,-0.0512,0.0875,-0.64629996,-3.2369895,9.364336,-0.5533479,-1
11,12,1583935210851,-0.1326,0.053799997999999995,-0.4206,-3.5009167000000003,9.273902,-0.27601317,-1
12,13,1583935210861,-0.4333,-0.0188,-0.009099999000000001,-3.8776777,9.220042,0.064777516,-1
13,14,1583935210872,-0.59459996,-0.0018999999,0.1866,-3.9964779999999998,9.196981,0.14936946,-1
14,15,1583935210882,-0.6278,-0.0624,0.066599995,-4.110337,9.088792,-0.046418782,-1
15,16,1583935210892,-0.59639996,-0.0748,-0.087299995,-4.0851690000000005,9.087288000000001,-0.23343466,-1
16,17,1583935210902,-0.3392,-0.060799997,-0.24419999,-3.7348876000000004,9.144404,-0.39206487,-1
17,18,1583935210912,0.039,0.015899998999999998,-0.31649998,-3.3399495999999997,9.174964,-0.47247177,-1
18,19,1583935210923,0.4739,0.113699995,-0.3349,-3.108938,9.247221000000001,-0.48119622,-1
19,20,1583935210933,0.7765,0.20189999,-0.2933,-2.8973577,9.305227,-0.43249816,-1
20,21,1583935210943,0.6928,0.1964,-0.0929,-3.053249,9.287875,-0.0049512093,-1
21,22,1583935210954,0.4331,0.1515,0.39049998,-3.3651557,9.229992,0.49958372,-1
22,23,1583935210964,0.1147,0.119899996,0.80509996,-3.6451626000000004,9.268597,0.7939939,-1
23,24,1583935210974,-0.1055,0.14109999,1.0058,-3.7969358,9.309508000000001,0.89038444,-1
24,25,1583935210984,-0.2039,0.21319999,1.0222,-3.9492455,9.361377000000001,0.92050356,-1
25,26,1583935210994,-0.41700000000000004,0.29639998,1.0347998999999999,-4.158939,9.490185,0.9364106,-1
26,27,1583935211004,-0.5223,0.3797,1.0339999,-4.162597,9.522621000000001,0.92437255,-1
27,28,1583935211014,-0.4254,0.4321,0.9787,-3.9931645,9.581594,0.86264044,-1
28,29,1583935211024,-0.2164,0.50189996,0.9259,-3.5848765,9.679269999999999,0.814699,-1
29,30,1583935211035,0.182,0.5985,0.9022,-3.0330513,9.791079,0.88672614,-1
30,31,1583935211044,0.70159996,0.70229995,0.9838,-2.7700722,9.881435,0.99687856,-1
31,32,1583935211054,0.8761,0.7662,1.0817,-2.7997508,9.874349,1.0703709,-1
32,33,1583935211064,0.7791,0.7136,1.138,-2.9354732000000006,9.771848,1.1479814,-1
33,34,1583935211075,0.6859,0.6331,1.2118,-2.9960560000000003,9.5952425,1.2243948,-1
34,35,1583935211084,0.6156,0.4166,1.2436,-3.1049922000000003,9.415992999999999,1.3260621000000001,-1
35,36,1583935211094,0.4901,0.182,1.3993,-3.1154118,9.147679,1.4823844,-1
