,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1565620396578,0.1457,0.026999999,-2.0266,0.03251326,1.9996947,7.589936,-1
1,2,1565620396589,0.1457,0.026999999,-2.0266,3.106017,0.13401784,9.388478,-1
2,3,1565620396599,0.1156,0.0075999996999999994,0.3421,3.4777312000000005,0.3966426,9.936301,-1
3,4,1565620396610,0.35209998,0.1918,0.6946,3.5149467000000003,0.42004830000000004,9.999077,-1
4,5,1565620396620,0.3505,0.16899999999999998,0.6069,3.3415203,0.21269129,9.534775,-1
5,6,1565620396630,0.1419,-0.0786,0.1472,3.1463256,-0.00455856,9.129465,-1
6,7,1565620396641,-0.1559,-0.39049998,-0.34759998,3.0001933999999997,-0.1732636,8.917186000000001,-1
7,8,1565620396651,-0.1559,-0.39049998,-0.34759998,3.0706403,-0.06981492,8.995639,-1
8,9,1565620396661,0.0112,-0.005,-0.0273,3.1876592999999995,0.18817468,9.240967999999999,-1
9,10,1565620396672,-0.1016,0.1593,0.1117,3.0887022,0.41003096,9.39028,-1
10,11,1565620396682,-0.1016,0.1593,0.1117,3.0095787,0.5423441,9.465696000000001,-1
11,12,1565620396692,-0.2644,0.26229998,0.19569999,2.8378186000000003,0.64019036,9.500939,-1
12,13,1565620396702,-0.2644,0.26229998,0.19569999,2.664038,0.6110960999999999,9.491095,-1
13,14,1565620396712,-0.6304,0.032899998,0.3786,2.3561242,0.51677406,9.714972,-1
14,15,1565620396722,-0.6304,0.032899998,0.3786,2.0815474999999997,0.41278909999999996,9.851355,-1
15,16,1565620396732,-1.4361,-0.3838,0.8483,1.4533665,0.14658262,10.211557,-1
16,17,1565620396743,-1.9521998999999999,-0.5487,0.8695,0.7178295,-0.05974012,10.233297,-1
17,18,1565620396753,-1.9521998999999999,-0.5487,0.8695,0.44147164,-0.09862196,10.15131,-1
18,19,1565620396766,-3.2173998,-0.7909999999999999,0.6875,-0.7481785,-0.25019407,10.170904,-1
19,20,1565620396776,-3.6806997999999997,-0.77,0.7635,-1.4912428999999998,-0.24976312,10.283039,-1
20,21,1565620396786,-4.1602,-0.75229996,0.73829997,-2.0311258000000003,-0.25539428,10.263894,-1
21,22,1565620396796,-4.6404,-0.7683,0.7025,-2.8437178,-0.29392177,10.259758,-1
22,23,1565620396806,-5.1524997,-0.8375,0.61829996,-3.7389483,-0.47256753,10.2114525,-1
23,24,1565620396816,-5.6959,-0.9424,0.5769,-4.3334765,-0.5731527,10.306052000000001,-1
24,25,1565620396827,-6.1233,-1.045,0.52129996,-5.0547533,-0.7130506999999999,10.171288,-1
25,26,1565620396837,-6.4056,-1.1065999,0.4026,-5.3377767,-0.7862463000000001,10.189347999999999,-1
26,27,1565620396847,-6.4093,-1.0993,0.4473,-5.3880552999999995,-0.68992275,10.200803,-1
27,28,1565620396857,-6.0459,-0.8689,0.43899998,-5.056506,-0.45018652,10.215254,-1
28,29,1565620396867,-5.2216997,-0.4658,0.3664,-4.1928220000000005,-0.027609933,10.1039715,-1
29,30,1565620396877,-4.3933,-0.19489999,0.2093,-3.6195923999999997,0.14840218,9.962895,-1
30,31,1565620396888,-3.4241,-0.0177,0.0849,-2.6871273999999996,0.28020778,9.826531,-1
31,32,1565620396898,-2.572,0.1136,0.022499999,-2.1188207,0.3580002,9.756438000000001,-1
32,33,1565620396908,-2.072,0.17,-0.1059,-2.0212522,0.26470295,9.586834,-1
33,34,1565620396918,-1.8201,-0.0039,-0.3498,-1.9043957999999999,-0.013321338,9.309422,-1
34,35,1565620396928,-1.5768,-0.2181,-0.5327,-1.7840251,-0.18808849,9.133410000000001,-1
35,36,1565620396939,-1.2299,-0.4173,-0.7427,-1.5566238000000001,-0.44267829999999997,9.087969000000001,-1
36,37,1565620396949,-0.9209999999999999,-0.6472,-0.6857,-1.447927,-0.6632321999999999,9.157411,-1
37,38,1565620396959,-0.5987,-0.9262,-0.6073,-1.2127397,-1.0537072,9.315925,-1
38,39,1565620396969,-0.2341,-1.2071999,-0.3811,-0.87724507,-1.1758594999999998,9.583203999999999,-1
39,40,1565620396980,0.3579,-1.2415999,-0.0775,-0.22391531,-1.1052018,9.787593,-1
40,41,1565620396990,0.97059995,-1.095,0.0378,0.19799091,-0.9940534,9.702646000000001,-1
41,42,1565620397000,1.5090000000000001,-0.88769996,-0.1432,0.666201,-0.84988415,9.38077,-1
42,43,1565620397010,1.828,-0.8226,-0.4836,0.819133,-0.90319824,8.940505,-1
43,44,1565620397020,2.0052,-0.95299995,-1.0327,0.91478616,-1.1702953999999999,8.308838,-1
44,45,1565620397030,2.0069999999999997,-1.1703,-1.5152,0.7488871,-1.4473908000000002,8.007255,-1
45,46,1565620397041,1.8482,-1.4022,-1.7421,0.61044484,-1.6434950000000002,8.042679,-1
46,47,1565620397051,1.6657,-1.6156,-1.6261,0.46308649999999996,-1.8543092,8.453016,-1
47,48,1565620397061,1.4547,-1.8463,-1.0892998999999999,0.41024166,-2.1404355,9.166489,-1
48,49,1565620397071,1.5861,-2.2194998,-0.19399999,0.6121591,-2.377605,9.575523,-1
49,50,1565620397081,1.5861,-2.2194998,-0.19399999,0.7119111,-2.4662,9.753105999999999,-1
50,51,1565620397092,1.6309999,-2.2508,-0.0013,0.56640106,-2.5303838,9.950743,-1
51,52,1565620397102,1.2426,-2.3430998,0.1139,0.27568752,-2.5768983,9.913259,-1
