,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1583549310355,0.33949998,0.713,-0.3005,6.426794,4.034383,4.115068,-1
1,2,1583549310365,-0.96129996,-0.5129,-1.004,-0.12453679999999999,9.823256,1.0738761000000001,-1
2,3,1583549310376,0.0023999998999999998,0.0893,0.0087,0.41727105,9.894881,0.9349358,-1
3,4,1583549310385,0.055,0.1572,-0.0212,0.08821197,9.894374000000001,0.9461885,-1
4,5,1583549310395,-0.3665,0.0976,0.053,-0.26597667,9.855846000000001,1.1645013000000002,-1
5,6,1583549310405,-0.7209,0.0284,0.2349,-0.82733077,9.7548685,1.3275848999999997,-1
6,7,1583549310415,-0.9765,0.0187,0.38689998,-0.61818284,9.828237,1.3292511999999999,-1
7,8,1583549310425,-0.5221,0.0783,0.29209998,-0.2975131,9.860519,1.1887785,-1
8,9,1583549310436,-0.1515,0.1374,-0.0379,0.063743226,10.044969,0.5505802,-1
9,10,1583549310446,0.045399997000000004,0.3031,-0.5198,0.014326903,10.099442,0.27919266,-1
10,11,1583549310456,-0.0191,0.34109998,-0.67399997,-0.07018842,10.202833,0.5119378,-1
11,12,1583549310466,-0.0526,0.41759998,-0.3796,-0.28249663,10.132826,0.80461454,-1
12,13,1583549310476,-0.2988,0.36839998,0.07369999599999999,-0.30546182,10.147267999999999,1.4001005,-1
13,14,1583549310487,-0.2688,0.3504,0.4994,-0.44352108,10.054287,1.7518468999999997,-1
14,15,1583549310497,-0.3717,0.2943,0.79609996,-0.52383214,10.062714999999999,2.0047417000000003,-1
15,16,1583549310508,-0.39429998,0.29799998,1.0077,-0.31407140000000006,10.093207000000001,2.122527,-1
16,17,1583549310518,-0.1183,0.35099998,1.0706999,0.015351621000000001,10.229054,2.1314716000000002,-1
17,18,1583549310528,0.2087,0.5115,1.0490000000000002,0.26441565,10.390922,2.0786938999999998,-1
18,19,1583549310538,0.4337,0.6615,0.94549996,0.350061,10.495127,1.9726785,-1
19,20,1583549310548,0.49229997,0.7425,0.8365,-0.123521656,10.480646,1.8382488000000001,-1
20,21,1583549310559,-0.0185,0.7157,0.659,-0.4230267,10.317150999999999,1.8631773999999997,-1
