,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1583586400284,2.077,-0.5779,-1.2607,5.7514663,-9.485415,1.9073360000000001,-1
1,2,1583586400294,2.0555,-1.4387,-0.77919996,10.795676,0.34430537,-1.5232006,-1
2,3,1583586400304,1.0181999,0.026999999,-0.1557,10.422831,0.1845259,-1.2897756,-1
3,4,1583586400315,0.6138,-0.103999995,0.3559,9.928907,0.1365461,-0.4262157999999999,-1
4,5,1583586400325,0.12,-0.18329999,1.1721,9.428778999999999,0.00079487497,0.28325320000000004,-1
5,6,1583586400335,-0.3691,-0.3083,1.7756,9.185699000000001,-0.058571752000000005,0.9278298,-1
6,7,1583586400345,-0.5665,-0.3523,2.1495,9.319545,-0.023195026,1.132716,-1
7,8,1583586400355,-0.4141,-0.23979999,1.7873,9.568647,0.1583908,0.7754436,-1
8,9,1583586400365,-0.1893,-0.0447,1.1985999,9.717108,0.22310129,0.43680775,-1
9,10,1583586400375,-0.048499997999999996,0.0168,0.77989995,9.898903,0.48127285,0.4059321,-1
10,11,1583586400386,0.1039,0.2906,0.6631,9.89536,0.68872565,0.6114408,-1
11,12,1583586400396,0.055099998,0.3915,0.77959996,9.691527,0.8064533,0.95013416,-1
12,13,1583586400406,-0.184,0.24039999,0.6997,9.346457000000001,0.63533497,1.4303343000000002,-1
13,14,1583586400416,-0.52279997,-0.0117,1.0916,9.02207,0.40441898,2.1055186000000004,-1
14,15,1583586400426,-0.76339996,-0.2156,1.6151999,8.929117999999999,0.27771783,2.8165581000000004,-1
15,16,1583586400436,-0.8652,-0.39399999999999996,2.4192998,8.712183999999999,0.23252487,3.547182,-1
16,17,1583586400446,-1.1316,-0.4226,3.0058,8.094241,0.46640006,4.385191000000001,-1
17,18,1583586400456,-1.6604999,-0.2298,3.5834,7.079778699999999,0.72197634,5.090791,-1
18,19,1583586400466,-2.6689,0.0053,4.1812997,6.0939612,0.94600654,5.980792500000001,-1
19,20,1583586400477,-3.8832,0.2556,5.2563,4.903938,1.2475896999999998,7.6786164999999995,-1
20,21,1583586400487,-5.0585,0.49519998,7.0186996,3.6101690000000004,1.4783046999999998,10.336382,-1
21,22,1583586400497,-6.1052,0.6584,9.1701,2.4000149,1.3761584999999998,12.136111999999999,-1
22,23,1583586400507,-7.2962,0.52169997,10.872,0.49348328,0.6701754,12.751298,-1
23,24,1583586400517,-8.846,-0.051,11.4031,-0.51347965,0.24215913,12.222515,-1
24,25,1583586400528,-11.745299000000001,-1.2068,8.6412,-2.3608935,-0.37548742,9.972166,-1
25,26,1583586400538,-12.5229,-1.2808,7.1169,-3.071732,-0.41975144,8.361587,-1
26,27,1583586400548,-12.8568,-1.013,5.2077,-3.3371341,-0.09867942,6.4995008,-1
27,28,1583586400558,-13.094299000000001,-0.8243,3.5093,-3.5539627,-0.08253292,5.0810900000000006,-1
28,29,1583586400569,-13.094299000000001,-0.8243,3.5093,-3.7538687999999993,-0.42229885,4.323957,-1
29,30,1583586400579,-13.5889,-1.8687999,1.7328,-3.9864319999999998,-1.4922963,3.1519473,-1
30,31,1583586400589,-13.5623,-2.983,0.7241,-3.8225632000000007,-2.775933,2.0183983,-1
31,32,1583586400600,-13.5623,-2.983,0.7241,-3.746399,-3.9841046,1.3826898,-1
32,33,1583586400610,-13.8118,-5.3402,-0.3121,-4.142888,-5.3484169999999995,0.752737,-1
33,34,1583586400620,-13.8251,-6.2932,-1.2493,-3.9441410000000006,-6.694686,-0.94241524,-1
34,35,1583586400631,-13.2393,-7.115,-3.5246,-3.0115228,-7.5594716,-3.8663101,-1
35,36,1583586400641,-11.759399,-7.2454,-7.4663997,-1.145865,-7.663657700000001,-8.146817,-1
36,37,1583586400651,-9.4354,-6.934,-11.5026,1.3399868000000001,-7.716761,-11.624825999999999,-1
37,38,1583586400661,-6.7497997000000005,-7.0815997,-13.7856,3.988606,-8.547108999999999,-13.036389,-1
38,39,1583586400671,-4.1632,-7.8669996,-14.1191,6.3667474,-9.573101,-12.816267,-1
39,40,1583586400682,-2.154,-8.5166,-13.401299,8.014246,-10.691221,-12.021889999999999,-1
40,41,1583586400692,-0.9266,-9.6371,-13.2295,8.950541000000001,-12.300834,-12.64692,-1
41,42,1583586400702,0.0709,-11.1845,-14.9831,10.100887,-14.207757999999998,-14.627002,-1
42,43,1583586400712,1.8626,-12.9309,-17.236,12.634116,-16.774763,-17.497974,-1
43,44,1583586400722,4.383,-14.5789995,-20.1576,15.318342000000001,-18.030033,-20.027498,-1
44,45,1583586400732,7.3085,-15.0348,-22.262999,17.59269,-18.31298,-20.780673999999998,-1
45,46,1583586400743,10.1642,-14.9998,-22.701898999999997,20.384674,-18.8104,-20.344978,-1
46,47,1583586400753,12.3251,-15.1325,-22.011599,22.099173,-19.122375,-19.091595,-1
47,48,1583586400763,14.0348,-15.190498999999999,-20.6194,23.426756,-19.747757,-17.3693,-1
48,49,1583586400773,15.4142,-15.5322,-18.8513,24.455374,-20.422943,-16.127735,-1
49,50,1583586400783,16.354,-15.7121,-17.9643,24.755663000000002,-20.881365,-16.150557,-1
50,51,1583586400793,16.637499,-15.4787,-17.2797,24.626307999999998,-21.025389999999998,-15.591482000000001,-1
51,52,1583586400804,16.5515,-15.2954,-16.4324,24.394129,-20.271810000000002,-14.118023999999998,-1
52,53,1583586400814,16.242898999999998,-14.336499,-14.7718,23.815613,-19.452092999999998,-12.0552845,-1
53,54,1583586400824,15.5913,-13.560699,-12.6728,22.871751999999997,-18.577282,-9.078669,-1
54,55,1583586400834,14.8272,-12.839399,-10.1523,21.987179,-17.981853,-6.026129,-1
55,56,1583586400845,13.836599,-12.3046,-6.9069996,20.751005,-17.455673,-1.6149465,-1
56,57,1583586400855,12.5099,-11.8723,-2.188,19.340103,-17.133357999999998,3.2027330000000003,-1
57,58,1583586400865,10.9899,-11.6855,2.48,18.015954999999998,-17.110765,6.64323,-1
58,59,1583586400875,9.754399000000001,-11.712,5.7084,17.78913,-16.47002,8.748911,-1
59,60,1583586400886,9.6945,-10.9952,7.6404996,18.479742,-15.042511,10.094721,-1
60,61,1583586400896,10.3282995,-9.6057,9.0216,18.666288,-13.552694,11.534756,-1
61,62,1583586400906,10.184199000000001,-8.340899,10.4316,17.117698999999998,-12.216012,12.554102,-1
62,63,1583586400916,8.6334,-7.4423,11.297,14.919545000000001,-11.138487,13.121298000000001,-1
63,64,1583586400926,6.2827,-6.602999700000001,11.9674,12.1792555,-9.731558999999999,14.243077,-1
64,65,1583586400936,3.3878,-5.482199700000001,13.2318,9.092335,-8.591334,16.281605,-1
65,66,1583586400947,0.14039999,-4.6440997,15.419,6.658475999999999,-7.6156974,17.790375,-1
66,67,1583586400957,-2.9473,-3.7001998,17.281599,4.135725,-5.5454115999999996,18.380716,-1
67,68,1583586400967,-5.0927,-2.2381,17.736399,3.0807247,-3.5806723,18.00904,-1
68,69,1583586400977,-6.8220997,0.4411,16.722399,2.5392714,-2.1953201,16.988879999999998,-1
69,70,1583586400988,-7.187999700000001,0.7163,15.054198999999999,2.2434914,-1.6726849999999998,14.991256,-1
70,71,1583586400998,-7.187999700000001,0.7163,15.054198999999999,2.032754,-1.1046942,12.804449,-1
71,72,1583586401008,-7.5031,1.1747999,12.448199,1.5619006000000002,-0.24349031,9.590492,-1
72,73,1583586401018,-8.2745,1.9882,6.0761,1.3919697,0.19201496,5.837399,-1
73,74,1583586401028,-7.9792,2.2186,4.7408,1.7765455,0.69711494,4.8229755999999995,-1
74,75,1583586401038,-7.9535,2.5363,4.7648,1.6378638,1.1456925,4.833022,-1
75,76,1583586401049,-9.0114,2.4073,5.4154,0.41855437,1.1814045,5.49046,-1
76,77,1583586401059,-10.6419,2.2798,5.9435,-1.1944098,1.3159682,5.656177,-1
77,78,1583586401069,-11.844000000000001,2.3969,4.9888997,-2.2221544,1.582165,4.2944794,-1
78,79,1583586401079,-11.844000000000001,2.3969,4.9888997,-2.1305330000000002,1.7058016,2.5689976000000003,-1
79,80,1583586401089,-10.8384,2.5509999,0.9727,-0.7739975,2.0146728,0.18740854,-1
80,81,1583586401099,-10.8384,2.5509999,0.9727,0.649748,1.8340733,-1.3029245,-1
81,82,1583586401110,-8.2325,1.9463999,-1.7398,1.749989,1.3924486999999999,-2.4854877,-1
82,83,1583586401120,-7.3595996,1.6080999,-2.8237997999999997,2.5691411,1.1112256,-3.6045187000000007,-1
83,84,1583586401130,-7.3595996,1.6080999,-2.8237997999999997,3.234825,0.89201254,-4.510321599999999,-1
84,85,1583586401140,-5.8975,1.0969,-4.9209,4.008037600000001,0.6322512,-5.681862000000001,-1
85,86,1583586401150,-5.3280997,0.73829997,-5.5361,4.6811337,0.1406354,-6.125699,-1
86,87,1583586401160,-4.7387,0.2678,-5.0864997,5.3196959999999995,-0.25999114,-5.229693,-1
87,88,1583586401170,-4.2078,-0.0491,-3.7096,5.660726,-0.51005113,-3.7916972999999996,-1
