,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1580694459206,0.47439998,-0.5288,-3.1718,0.40157467,1.8249658,4.0668197,-1
1,2,1580694459216,0.82729995,-0.6622,-5.1902,-0.17172173,1.5665262,8.113978,-1
2,3,1580694459227,-0.0705,-0.3287,-1.7693,0.8596812,1.2946981000000002,8.162379,-1
3,4,1580694459237,0.4486,-0.8624,-1.2965,0.88093215,1.2546479,8.821829,-1
4,5,1580694459247,0.2877,-1.0037,-0.5801,0.45254242,1.3046387,9.416711,-1
5,6,1580694459257,-0.34600000000000003,-0.95419997,0.1654,-0.038795643,1.3604524,9.980096000000001,-1
6,7,1580694459267,-0.7851,-0.9086,0.7037,-0.26554570000000005,1.4016518999999998,10.276382,-1
7,8,1580694459277,-0.7058,-0.8689,0.6677,0.032532412999999996,1.4176546,9.984098,-1
8,9,1580694459287,-0.4355,-0.7251,0.2483,0.53952855,1.665943,9.478931,-1
9,10,1580694459297,0.0832,-0.46559998,-0.1603,1.128349,1.9030168,9.067349,-1
10,11,1580694459308,0.5717,-0.218,-0.529,1.5496231000000003,2.1459327,8.6757345,-1
11,12,1580694459318,0.9629,0.0155,-0.95159996,1.9814988000000002,2.334998,8.496763,-1
12,13,1580694459328,1.3205,0.18339999,-1.0045998999999999,2.1650574000000002,2.3956093999999997,8.812894,-1
13,14,1580694459339,1.375,0.23600000000000002,-0.6376,2.084756,2.409065,9.197028999999999,-1
14,15,1580694459349,1.1741999,0.2234,-0.26909998,1.8802145000000001,2.3091787999999998,9.545376,-1
15,16,1580694459359,0.89769995,0.14999999,0.0148,1.7805294999999999,2.1948125,9.745838000000001,-1
16,17,1580694459370,0.6509,0.0349,0.23539999,1.8814498,2.0727754000000003,10.074743,-1
17,18,1580694459379,0.5542,-0.0897,0.5846,2.1608915,2.1260988999999997,10.469834,-1
18,19,1580694459390,0.71169996,0.0093,1.1322,2.8083026,2.3177787999999997,11.0701,-1
19,20,1580694459400,2.0726,0.51519996,2.2519,3.8194988,2.5747342,11.800386999999999,-1
20,21,1580694459410,2.0726,0.51519996,2.2519,4.1224419999999995,2.4304595,12.062955,-1
21,22,1580694459422,2.3641,0.34059998,3.2085998,3.9065328,2.28471,12.885708000000001,-1
22,23,1580694459432,2.3504,0.2662,4.192,3.9662538,2.169568,13.9370985,-1
23,24,1580694459442,2.6675,0.3366,5.3694,4.227020700000001,2.155021,15.172573000000002,-1
24,25,1580694459452,2.7333998999999998,0.2935,7.0153,4.1192718,1.9840461999999999,17.341337,-1
25,26,1580694459463,2.4017,0.16759999,8.7883,3.6868312000000008,1.7852795,18.617352,-1
26,27,1580694459473,1.7562,-0.355,9.7705,2.7779732000000004,0.9910271,19.542557000000002,-1
27,28,1580694459483,1.0218999,-1.2313,10.0149,1.9498282999999998,-0.007345411,19.448406,-1
