,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1583936145561,0.36609998,0.13239999,0.0030999999,5.142745,-7.985572299999999,1.8200243000000003,-1
1,2,1583936145571,-0.46829998,-0.18959999,-0.098,9.631872999999999,0.8593939,-0.42916542,-1
2,3,1583936145581,-0.5006,-0.030599998,0.0063,9.282205000000001,0.4878138,0.043019015,-1
3,4,1583936145591,-0.45139998,-0.31059998,0.46299999999999997,9.371049000000001,0.25320122,0.41706038,-1
4,5,1583936145601,-0.1284,-0.49929997,0.4836,9.768936,0.108246654,0.34682408,-1
5,6,1583936145611,0.3796,-0.3454,0.060999997,10.336266499999999,0.31495246,-0.21552603,-1
6,7,1583936145622,0.6581,-0.1182,-0.493,10.451696,0.34219846,-0.6119388000000001,-1
7,8,1583936145632,0.43089998,-0.16049999,-0.8073,10.178039,0.25074953,-0.8075834,-1
8,9,1583936145642,0.43089998,-0.16049999,-0.8073,9.921811,0.120993376,-0.6135956,-1
9,10,1583936145652,-0.1304,-0.3234,-0.34829998,9.600317,0.060467955,-0.2881661,-1
10,11,1583936145662,-0.23009999,-0.2549,0.0423,9.649600999999999,0.07000645,0.06372407,-1
11,12,1583936145673,-0.103199996,-0.1855,0.3259,9.728532000000001,0.151869,0.36628413,-1
12,13,1583936145682,-0.0646,-0.0849,0.4193,9.713027,0.23004448,0.382536,-1
13,14,1583936145692,-0.1626,-0.014099998999999998,0.20899999,9.621808999999999,0.29792490000000005,0.21022049,-1
14,15,1583936145702,-0.17199999,0.0973,0.1523,9.690091,0.41658149999999994,0.26995102,-1
15,16,1583936145712,-0.102699995,0.1397,0.1731,9.776828,0.46913904,0.2728528,-1
16,17,1583936145722,0.0747,0.1841,0.0232,9.94311,0.49796522,0.10806469,-1
17,18,1583936145733,0.1841,0.1882,-0.2171,10.005111,0.56832606,-0.09578723,-1
18,19,1583936145743,0.17600000000000002,0.24509999,-0.33769998,9.905138,0.6823378999999999,-0.15767254,-1
19,20,1583936145753,-0.0477,0.3394,-0.2785,9.62064,0.78825736,0.008101978000000001,-1
20,21,1583936145763,-0.3696,0.3618,-0.0674,9.334054,0.88853616,0.27344656,-1
21,22,1583936145773,-0.5344,0.51129997,0.2402,9.238256,1.0757531999999999,0.6086731,-1
22,23,1583936145783,-0.6206,0.6224,0.5358,9.168221,1.1750358,0.87545425,-1
23,24,1583936145794,-0.6676,0.6186,0.7301,9.107984,1.1381459999999999,1.0793253,-1
24,25,1583936145804,-0.6753,0.4621,0.9698,9.14248,1.0406541999999999,1.3339916,-1
25,26,1583936145814,-0.6044,0.4362,1.1036999,9.201797500000001,1.1065329,1.3324690000000001,-1
26,27,1583936145824,-0.5137,0.5004,0.86719996,9.312928,1.1738868,1.0725737,-1
27,28,1583936145834,-0.4815,0.5636,0.6468,9.243544,1.3022063,1.0164535,-1
28,29,1583936145845,-0.5959,0.6824,0.66099995,9.10918,1.46438,1.1160427,-1
29,30,1583936145855,-0.7786,0.8279,0.86289996,8.90327,1.5539806,1.4224622,-1
30,31,1583936145866,-0.9709,0.7659999999999999,1.0562999,8.655499,1.4910226,1.6795803,-1
31,32,1583936145876,-1.1925,0.6947,1.3204,8.347318,1.3845094,2.138338,-1
32,33,1583936145887,-1.4828999,0.5281,1.6942999,8.070701,1.1814524,2.4699063,-1
33,34,1583936145897,-1.7344998999999999,0.287,1.9648,7.927010000000001,0.98620045,2.577971,-1
34,35,1583936145907,-1.8591,0.0999,2.0036,7.8260320000000005,0.9403275,2.5138542999999998,-1
35,36,1583936145917,-1.9547,0.056199998,1.9246,7.8392677,0.9774568000000001,2.4707012,-1
36,37,1583936145928,-1.8840000000000001,0.106199995,1.8731999,7.940198,1.1483741000000003,2.526237,-1
37,38,1583936145938,-1.8232,0.2771,1.8994,7.896843400000001,1.3303621,2.3674057,-1
38,39,1583936145948,-1.8702999,0.4666,1.6919999,7.770085000000001,1.5575814,2.2426486,-1
39,40,1583936145958,-2.0351999,0.7029,1.5784,7.3432655,1.7295808999999998,2.0321314,-1
40,41,1583936145968,-2.5535,0.7999,1.249,6.6723433000000005,1.6925378,1.3530495,-1
41,42,1583936145978,-3.1808,0.7313,0.5512,6.514374299999999,1.6081564,0.4775475,-1
42,43,1583936145989,-3.2312,0.672,-0.1621,6.885753,1.5692939,0.20271227,-1
43,44,1583936145999,-2.7547998,0.6599,-0.3378,7.534802,1.5729713,1.0504799999999999,-1
44,45,1583936146009,-2.2277,0.6712,0.48049998,7.3261994999999995,1.4595053,1.9901273999999998,-1
45,46,1583936146019,-2.4373999,0.5683,1.4650999,6.388496,1.4870195,2.377787,-1
46,47,1583936146029,-3.372,0.6064,1.9021,5.086692299999999,1.4401698,1.8722657,-1
47,48,1583936146039,-4.6789,0.5657,1.4307,4.2112856,1.2607386999999999,1.3358113,-1
48,49,1583936146049,-5.7014,0.3568,0.7609999999999999,3.8479419000000004,1.1234552,0.22433670000000003,-1
49,50,1583936146059,-5.9302998,0.302,-0.1767,4.4681168,1.1476462,-1.2366626,-1
50,51,1583936146070,-5.3073997,0.3771,-1.6130999,5.6153319999999995,1.1445433,-1.7489643,-1
51,52,1583936146080,-3.6525,0.4466,-1.1693,6.088522,0.9798893,-0.54792744,-1
52,53,1583936146090,-3.6525,0.4466,-1.1693,5.455926,0.46621809999999997,0.5423346,-1
53,54,1583936146100,-5.683799700000001,-0.69629997,1.3866,3.8283093,-0.40706217,1.7718049999999999,-1
54,55,1583936146110,-5.683799700000001,-0.69629997,1.3866,2.778816,-1.1131792999999999,1.5000440000000002,-1
55,56,1583936146120,-7.0218997000000005,-1.4857,1.2836,2.109943,-2.130284,-0.0031507695,-1
56,57,1583936146131,-6.9501,-2.8158998,-1.7794,3.1175954,-2.664536,-1.9500006,-1
57,58,1583936146141,-5.5687,-2.5816998,-3.1144,4.4990788,-2.484846,-3.1162257,-1
58,59,1583936146151,-4.5379,-2.0012999,-3.4998,5.4058776,-2.0148740000000003,-3.2789263999999996,-1
59,60,1583936146161,-4.2598,-1.4415,-2.9886,5.477847,-1.663568,-2.5400085,-1
60,61,1583936146172,-4.9507,-1.2238,-1.6737,4.627073,-1.6558778000000003,-1.1558057,-1
61,62,1583936146182,-6.2485,-1.6919,-0.8131,3.1275167,-2.7192194,-0.513087,-1
62,63,1583936146192,-6.9270000000000005,-2.7761998,-0.9740000000000001,3.0006914,-3.7871675000000002,-0.9379046,-1
63,64,1583936146202,-6.9270000000000005,-2.7761998,-0.9740000000000001,4.1516795,-4.049792299999999,-1.6599001,-1
64,65,1583936146212,-4.7812,-3.0016,-2.5776,5.2655773,-3.9958652999999997,-2.490889,-1
65,66,1583936146222,-3.4429,-2.925,-3.6288998,6.6639441999999995,-4.0183230000000005,-3.4593244,-1
66,67,1583936146233,-2.8428,-2.2826,-3.8839,6.851563499999999,-3.4899704,-3.184183,-1
67,68,1583936146243,-2.9923,-1.7875999,-3.2675,6.442787,-3.4454765,-2.2584217,-1
68,69,1583936146253,-3.7268,-2.0333,-2.45,5.588287,-4.052521700000001,-1.6007825,-1
69,70,1583936146263,-4.5256,-2.8178,-2.3854,5.084642400000001,-5.287604,-1.800095,-1
70,71,1583936146273,-3.8655,-3.8054,-3.2995,6.383621700000001,-6.277367,-2.9860005000000003,-1
71,72,1583936146284,-1.8305999,-4.0361,-4.7097,8.547405,-6.4911118,-4.1222405,-1
72,73,1583936146294,0.5397,-4.1832,-5.7158,10.756889,-7.128371700000001,-4.889859700000001,-1
73,74,1583936146304,2.399,-4.4577,-6.0504,12.126717999999999,-7.316949,-4.4389935,-1
74,75,1583936146314,2.8005,-4.0888,-5.2542995999999995,11.385933,-7.2879114000000005,-3.3802008999999997,-1
75,76,1583936146324,1.6233,-4.1907997,-4.3477,9.809677,-8.029702,-2.5707502,-1
76,77,1583936146335,0.2737,-4.8325996,-3.7538998,9.079722,-8.699303,-2.0933366,-1
77,78,1583936146345,0.3385,-5.3497996,-3.4589999,10.2681465,-9.462038,-1.9509776,-1
78,79,1583936146355,2.4213,-5.7307,-3.8478,12.820404,-10.052037,-2.618433,-1
79,80,1583936146365,5.067,-5.8729,-4.6386,15.128328,-10.389639,-3.1804192000000002,-1
80,81,1583936146375,7.2251,-6.3233,-5.4045,16.387476,-11.3135605,-3.9397452000000004,-1
81,82,1583936146386,8.179999,-6.8222,-5.9782996,16.534243,-11.481375,-3.8954237000000003,-1
82,83,1583936146396,7.9944,-6.581,-5.7507,15.568,-11.707053,-3.8369858,-1
83,84,1583936146406,7.227699799999999,-6.775799799999999,-5.8805,15.216894,-12.165188,-3.8440343999999995,-1
84,85,1583936146416,7.184,-7.0712,-5.7855,15.883373,-12.494926,-3.3798656000000005,-1
85,86,1583936146426,8.1342,-7.192199700000001,-5.349,16.961033,-12.659285,-2.98556,-1
86,87,1583936146437,9.254499000000001,-7.1875,-4.9814,17.64358,-12.723257,-2.5448928,-1
87,88,1583936146447,9.9885,-7.0937,-4.5578,17.992321,-12.795667,-2.0291147,-1
88,89,1583936146457,10.320499,-7.0346,-4.0269,17.710379,-12.864821000000001,-1.6410335999999999,-1
89,90,1583936146467,10.051499,-7.0425,-3.6843,17.424377,-13.100258,-1.3624923,-1
90,91,1583936146477,9.866199499999999,-7.1674,-3.3846998,17.261667000000003,-13.118942,-0.8728014000000001,-1
91,92,1583936146488,9.7752,-7.054199700000001,-2.8536,17.146881,-13.018788,-0.36099774,-1
92,93,1583936146497,9.7188,-6.9079999999999995,-2.3532999,17.023445000000002,-12.840487,0.047893614,-1
93,94,1583936146507,9.5476,-6.6621,-1.9318999,16.494401999999997,-12.592687,0.5961754,-1
94,95,1583936146517,8.9754,-6.3858,-1.2729,15.981459,-12.194484,1.6254426000000002,-1
95,96,1583936146527,8.5317,-5.9309998,-0.0783,15.605503,-11.721332,2.7921082999999998,-1
96,97,1583936146537,8.1011,-5.4915,1.1126,15.127965,-11.260821,3.8097112,-1
97,98,1583936146548,7.5491,-5.0662,2.1871,14.448614000000001,-11.0891,4.541484400000001,-1
98,99,1583936146558,6.7911997,-4.995899700000001,2.9638,13.89585,-11.105523,5.0916147,-1
99,100,1583936146568,6.2616,-5.0638,3.5065,13.755369,-11.052277,5.1097913,-1
100,101,1583936146578,6.1092,-4.9363,3.4943,13.787853,-10.588758,4.9211089999999995,-1
101,102,1583936146588,6.107599700000001,-4.6245,3.4668,13.887270999999998,-10.305976,5.0717235,-1
102,103,1583936146598,6.1059,-4.4846997,3.6982,13.688934,-9.988292999999999,5.4042205999999995,-1
103,104,1583936146609,5.8073997,-4.265,4.1268997,13.218014000000002,-9.709925,5.800164700000001,-1
104,105,1583936146619,5.2328,-4.1136,4.6240997,12.505844999999999,-9.396868,6.172233,-1
105,106,1583936146629,3.4917998,-3.6201,5.669699700000001,11.492934,-8.748632,6.775524000000001,-1
106,107,1583936146639,2.7275,-3.2286,6.3468,10.956336,-8.254164,7.306978999999999,-1
107,108,1583936146650,2.7275,-3.2286,6.3468,10.571214999999999,-7.863898799999999,7.5081014999999995,-1
108,109,1583936146660,2.1252,-2.9092,6.7613997,10.248218,-7.4426630000000005,7.207428500000001,-1
109,110,1583936146670,1.6974,-2.6571999,6.554199700000001,10.169966,-7.1972002999999996,6.591026299999999,-1
110,111,1583936146680,1.5999999,-2.6652,5.4846,10.4005375,-7.137861999999999,5.8844975999999996,-1
111,112,1583936146690,1.8283,-2.9988,4.8245997,10.705060000000001,-7.3071036,5.1164474,-1
112,113,1583936146701,1.8283,-2.9988,4.8245997,10.829214,-7.375290400000001,4.4429584,-1
113,114,1583936146711,1.7056999,-3.2754,3.8012,10.623494,-7.1065179999999994,4.313901400000001,-1
114,115,1583936146721,0.9572,-2.9389999999999996,4.6763,9.837057000000001,-6.5497217,5.2490190000000005,-1
115,116,1583936146731,-0.2342,-2.5635998,5.7271,8.721991000000001,-5.8917856,6.2111816,-1
116,117,1583936146741,-1.3140999,-2.0202,6.3065,7.6019735,-4.941977,6.5473084,-1
117,118,1583936146752,-2.1694999,-1.5319999999999998,6.1492,7.0621100000000006,-4.443217,6.2072644,-1
118,119,1583936146762,-2.6908998,-1.3952999,5.409,6.699828599999999,-4.1232367,5.4027553,-1
119,120,1583936146772,-2.7412,-1.528,4.7953997,6.827248,-4.1021295,4.643008,-1
120,121,1583936146782,-2.5572999,-1.6872,4.3346,7.035486,-4.015967,4.318565400000001,-1
121,122,1583936146792,-2.3767,-1.6710999,4.0794997,7.2301826,-3.7167013,3.9015142999999997,-1
122,123,1583936146802,-2.3775,-1.4247999,3.6513,7.2128773,-3.1444104,3.4729235000000003,-1
123,124,1583936146814,-2.5407999,-0.87219995,3.3641998999999996,6.8233023,-2.3117263,3.2929180000000002,-1
124,125,1583936146824,-3.1413999,-0.54249996,3.2354998999999998,6.0182185,-2.018111,2.969653,-1
125,126,1583936146835,-4.0519,-0.4544,2.8316,5.3163342,-1.7535325000000002,2.7246878,-1
126,127,1583936146846,-4.5561,-0.3602,2.8051999,5.11797,-1.3168396999999998,2.8724866000000002,-1
127,128,1583936146856,-4.6246,-0.1379,2.9275,5.3812747000000005,-1.1000686000000002,2.8975299999999997,-1
128,129,1583936146867,-4.297,-0.081199996,2.9473999,5.8758307,-0.71698684,2.7114142999999995,-1
129,130,1583936146877,-3.8483998999999995,0.22899999,2.7639,5.9228525,-0.16186719,2.3801334,-1
130,131,1583936146887,-3.9268,0.6222,2.516,5.4433994000000006,0.17147273,2.5103395,-1
131,132,1583936146897,-4.5129,0.75339997,2.8163998,4.5492706,0.40339425,2.970237,-1
132,133,1583936146908,-5.4400997,0.85109997,3.2782,3.7822449999999996,0.62510693,3.1328225,-1
133,134,1583936146918,-6.1201,0.9439,3.3974,3.5422597000000002,0.66134554,2.8625555,-1
134,135,1583936146928,-6.2492,0.8638,3.0479998999999998,3.7790364999999997,0.55691046,2.016981,-1
135,136,1583936146938,-5.936,0.6723,2.1052,4.5508027,0.4312915,0.44348276,-1
136,137,1583936146948,-5.2594,0.5352,0.7775,5.142228,0.41299020000000003,-0.71349126,-1
137,138,1583936146959,-4.5236,0.5318,-0.5615,5.8636394,0.7153683000000001,-1.4786588999999999,-1
138,139,1583936146969,-3.9445998999999996,0.7787,-1.097,5.943002,0.9637811,-1.3840784,-1
139,140,1583936146979,-3.8658,1.0015,-0.9867,5.778808000000001,1.0773143,-0.9813162,-1
140,141,1583936146989,-4.032,1.0869,-0.5688,5.780944,0.71345294,-0.9073737,-1
141,142,1583936146999,-4.0308,0.68369997,-0.4617,5.8722970000000005,0.12010274,-1.2389226999999998,-1
142,143,1583936147010,-3.9301998999999994,0.040799998,-0.7453,5.8803988,-0.5261402,-1.4703655,-1
143,144,1583936147019,-3.9160998,-0.6254,-0.90819997,5.8977900000000005,-1.0530178999999997,-1.5938008999999997,-1
144,145,1583936147029,-3.9008,-1.2062,-0.9572,6.024874700000001,-0.853734,-1.6533687,-1
145,146,1583936147039,-3.7584998999999994,-1.0605,-0.94629997,6.2003984,0.097482316,-1.6452186999999998,-1
146,147,1583936147050,-3.5691,-0.3328,-0.88,6.075305999999999,0.67670673,-1.8665962999999999,-1
147,148,1583936147060,-3.7331998,0.6762,-1.3980000000000001,6.0949574,1.0685322,-2.1244326,-1
148,149,1583936147070,-3.7331998,0.6762,-1.3980000000000001,6.4388510000000005,1.0813173,-2.0574813,-1
149,150,1583936147080,-3.3397,0.6997,-1.3154,6.96865,0.96269894,-2.010842,-1
150,151,1583936147090,-2.3641999,0.3782,-1.2008,7.4526997,0.7456789,-2.0305417,-1
151,152,1583936147100,-2.1455,0.1347,-1.5110999,7.6707635,0.5028111,-2.405234,-1
152,153,1583936147111,-1.9174,-0.038,-1.8855,7.9161787,0.3731124,-2.7788541,-1
153,154,1583936147121,-1.6021,0.074999996,-2.1358,8.226151,0.54916286,-3.0256484,-1
154,155,1583936147131,-1.6021,0.074999996,-2.1358,8.416825,0.6846076,-3.1514685,-1
155,156,1583936147141,-1.2782999,0.4578,-2.2263,8.501474,1.0327533000000002,-3.0054220000000003,-1
156,157,1583936147151,-1.2291,0.76379997,-1.9435999,8.553477,1.258785,-2.6930747000000004,-1
157,158,1583936147161,-1.3064,1.0088999,-1.5338,8.4100065,1.4943075000000001,-2.3592557999999997,-1
158,159,1583936147171,-1.5885999,1.1067,-1.5532999,8.12301,1.5654632,-2.4972863,-1
159,160,1583936147181,-1.7423999,1.0045,-1.953,8.045733,1.422807,-2.9360383,-1
160,161,1583936147191,-1.3858,0.6974,-2.1666,8.523280999999999,1.0722097,-3.1316349999999997,-1
161,162,1583936147201,-1.3858,0.6974,-2.1666,9.347145,0.6396445,-2.992819,-1
162,163,1583936147212,0.0709,0.047599997000000005,-1.8515999,9.912177,0.47525862,-2.8603432,-1
163,164,1583936147222,0.1696,0.1528,-1.7206999,9.895033999999999,0.590956,-2.7327703999999997,-1
164,165,1583936147232,-0.0757,0.3585,-1.5914999,9.615573,0.79934734,-2.6212583,-1
165,166,1583936147242,-0.3703,0.5197,-1.4664999,9.299242,0.909653,-2.3713036,-1
166,167,1583936147252,-0.58599997,0.45399999999999996,-1.151,9.123249000000001,0.8183669,-2.0454335,-1
167,168,1583936147262,-0.6344,0.38149998,-0.8099,9.118939,0.74998844,-1.7995299,-1
168,169,1583936147273,-0.5844,0.2465,-0.6493,9.1927,0.5196279,-1.6953247,-1
169,170,1583936147283,-0.5146,0.049999997000000004,-0.6709999999999999,9.338392,0.34052253,-1.7721784,-1
170,171,1583936147293,-0.2094,-0.1396,-0.78999996,9.755683,0.08667011,-1.9727073,d
171,172,1583936147303,0.35999998,-0.3051,-0.9511,10.358581,-0.09306741,-2.0857425,-1
172,173,1583936147313,0.88019997,-0.3348,-0.89159995,10.731233999999999,-0.055037912,-1.9699779,-1
173,174,1583936147323,0.988,-0.2348,-0.8477,10.625783,0.014231135,-1.9597593999999998,-1
174,175,1583936147334,0.64419997,-0.18339999,-0.7718,10.202765,0.11577402,-1.7898095,-1
175,176,1583936147344,0.2315,-0.0307,-0.43449998,9.845035000000001,0.23621194,-1.365959,-1
176,177,1583936147354,-0.073,0.0607,-0.0963,9.5374365,0.30876583,-1.0698538,-1
177,178,1583936147364,-0.2988,0.094399996,0.1178,9.423933,0.28890353,-0.89569956,-1
178,179,1583936147374,-0.3279,0.0524,0.2297,9.525265,0.20935857,-0.9306261999999998,-1
179,180,1583936147384,-0.1308,-0.0046,0.1127,9.766207000000001,0.19398779,-1.1379641,-1
180,181,1583936147394,0.0962,0.0007,-0.0569,9.909419,0.14771266,-1.2289723999999997,-1
181,182,1583936147406,0.1962,-0.11109999599999999,-0.0973,9.952983999999999,-0.022266075,-1.251794,-1
182,183,1583936147417,0.1962,-0.11109999599999999,-0.0973,9.952983999999999,-0.022266075,-1.251794,-1
183,184,1583936147427,0.18869999,-0.2977,0.0437,9.960186,-0.1453855,-1.2641097,-1
184,185,1583936147437,0.2671,-0.2436,-0.2006,10.112342,-0.078443624,-1.5890030000000002,-1
185,186,1583936147448,0.384,-0.1495,-0.4603,10.134177000000001,0.04525999,-1.6563566000000003,-1
186,187,1583936147458,0.39299998,-0.0567,-0.4759,10.068767999999999,0.013378799999999998,-1.5066903,-1
187,188,1583936147468,0.32369998,-0.0727,-0.34289998,9.952236,-0.003083732,-1.3111031000000002,-1
188,189,1583936147478,0.20629999,-0.0664,-0.13419999,9.932155,-0.049904738,-1.2475323999999999,-1
189,190,1583936147488,0.1876,-0.0998,-0.0679,9.968335,-0.0971184,-1.1948598999999998,-1
190,191,1583936147498,0.2182,-0.14299999,-0.0084999995,9.923525999999999,-0.05958689,-1.1644248,-1
191,192,1583936147508,0.1804,-0.0976,0.032899998,9.864369,-0.04939717,-1.4303248,-1
192,193,1583936147519,0.122899994,-0.081,-0.2208,9.9169655,-0.04786488,-1.6285263,-1
193,194,1583936147529,0.17279999,-0.0633,-0.41939998,9.978793,0.0215957,-1.61713,-1
194,195,1583936147539,0.23199999999999998,-0.0164,-0.3972,9.939357000000001,0.12103169,-1.7000077,-1
195,196,1583936147549,0.0545,0.1616,-0.5907,9.793166000000001,0.18680519,-1.8067412,-1
196,197,1583936147559,0.0545,0.1616,-0.5907,9.837899,0.197129,-1.8160787,-1
197,198,1583936147569,0.092999995,0.1767,-0.6069,9.974091,0.104301006,-1.7604182000000002,-1
198,199,1583936147580,0.2295,0.0848,-0.5541,9.995284,-0.06601293400000001,-1.4803828,-1
199,200,1583936147590,0.110599995,-0.15259999,0.122499995,9.86006,-0.16625337,-1.066435,-1
200,201,1583936147600,-0.0765,-0.0924,0.3108,9.637782000000001,-0.08537724,-0.8655709,-1
201,202,1583936147611,-0.0765,-0.0924,0.3108,9.634383,-0.010563218000000001,-0.9076417999999999,-1
202,203,1583936147621,-0.04,0.0843,-0.1337,9.729997000000001,0.090970084,-1.3843753,-1
203,204,1583936147631,0.0663,0.1626,-0.4599,9.844526,0.16245137,-1.6470863000000002,-1
204,205,1583936147641,0.094299994,0.1437,-0.47239998,9.839048,0.10810299999999999,-1.5877291999999998,-1
205,206,1583936147652,0.0438,0.0749,-0.3486,9.804246000000001,0.012899958500000001,-1.3999089,-1
