,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1583937345176,0.0,0.0,0.0,0.0,0.0,0.0,-1
1,2,1583937345186,-0.1942,-0.024699999,-0.0033,9.522209,1.2116193000000002,0.2188875,-1
2,3,1583937345196,-0.1942,-0.024699999,-0.0033,9.362391,1.1737813999999998,0.17104176,-1
3,4,1583937345206,-0.4861,0.0087,-0.3477,9.285931,1.3738887,-0.23652796,-1
4,5,1583937345216,-0.4861,0.0087,-0.3477,9.536805000000001,1.6316292,-0.41684967,-1
5,6,1583937345226,-0.0416,0.50299996,-0.6336,9.743089,1.8261918000000001,-0.44225693,-1
6,7,1583937345236,0.0796,0.5205,-0.4639,9.791576,1.7990319,-0.25932077,-1
7,8,1583937345247,-0.0526,0.2749,-0.0711,9.620745,1.6100241000000002,0.13755168,-1
8,9,1583937345257,-0.2532,0.1467,0.391,9.3973465,1.5717838,0.5674449,-1
9,10,1583937345268,-0.4635,0.20639999,0.5261,9.093935,1.7395983,0.5750489000000001,-1
10,11,1583937345278,-0.4635,0.20639999,0.5261,8.85395,1.8200146000000001,0.5696189,-1
11,12,1583937345288,-1.1394,0.4227,0.44399998,8.530406,1.9342276999999999,0.5502833,-1
12,13,1583937345298,-1.0956,0.42389998,0.3534,8.669691,1.9583898999999998,0.44018835,-1
13,14,1583937345308,-0.72889996,0.38189998,-0.1081,9.095869,1.8611566000000002,-0.2370547,-1
14,15,1583937345319,-0.33339998,0.1574,-0.6602,9.514472,1.6920781000000003,-0.6252889,-1
15,16,1583937345329,0.0423,0.0398,-0.78,9.833101,1.5918473,-0.46911988,-1
16,17,1583937345339,0.2032,-0.0629,-0.1398,9.873745,1.5644096,0.4608647,-1
17,18,1583937345349,-0.066,-0.0256,0.8878,9.31175,1.6563662000000001,1.3331681,-1
18,19,1583937345359,-0.8445,-0.0105,1.3482,8.558974000000001,1.7061176,1.5003408,-1
19,20,1583937345370,-1.3883,0.0095999995,1.1840000000000002,8.169773,1.765063,1.1260122,-1
20,21,1583937345380,-1.4142,0.0415,0.7301,8.537915,1.7990988,0.7207888000000001,-1
21,22,1583937345390,-0.893,0.0757,0.4201,9.11465,1.8300128,0.5757385,-1
22,23,1583937345400,-0.36319998,0.067999996,0.17009999,9.506167999999999,1.7539922,0.18817468,-1
23,24,1583937345411,-0.049399998,-0.0176,-0.1531,9.687304,1.6739012999999998,0.16015294,-1
24,25,1583937345421,0.0394,-0.1068,0.038799997,9.61815,1.5576389,0.7081953000000001,-1
25,26,1583937345431,-0.1651,-0.20089999,0.6659999999999999,9.190449000000001,1.500743,1.2961155,-1
26,27,1583937345442,-0.6925,-0.2501,1.1946,8.530799,1.4787834999999998,1.8007557,-1
27,28,1583937345451,-1.2099999,-0.2898,1.5144999,8.259536,1.4426215,1.9829161,-1
28,29,1583937345462,-1.4438,-0.30449998,1.7211,8.216975999999999,1.5066903,2.1785702999999996,-1
29,30,1583937345472,-1.3943,-0.2144,1.7758,8.295085,1.6958705000000003,1.9244305,-1
30,31,1583937345482,-1.3649,-0.0415,1.4726,8.218778,1.7927495,1.7772542000000002,-1
31,32,1583937345492,-1.4628999,0.0535,1.3636999,8.095649,1.8835758999999999,2.057309,-1
32,33,1583937345502,-1.5999999,0.138,1.6893,7.910433,1.8158393,2.4223862,-1
33,34,1583937345512,-1.8255,0.025999999,2.1473,7.6186943,1.7061846999999999,2.9631407000000003,-1
34,35,1583937345522,-2.0907,-0.055999997999999995,2.5263,7.348312400000001,1.6461574,3.1075779999999997,-1
35,36,1583937345533,-2.3466,-0.07809999599999999,2.6159,6.991347,1.674859,3.1228724,-1
36,37,1583937345543,-2.7986,-0.031,2.6260000000000003,6.1920475999999995,1.7284700000000002,3.2403796000000002,-1
37,38,1583937345553,-3.6327,0.0148,2.7514,5.2871537,1.7889953999999997,3.3129525,-1
38,39,1583937345564,-4.5253997,0.1086,2.7777,4.616385,1.8723233,3.3217251000000005,-1
39,40,1583937345574,-5.036299700000001,0.1761,2.7667,4.534139,1.8428936999999999,3.2457235,-1
40,41,1583937345584,-5.0979,0.1244,2.6945,4.821539,1.5718413999999998,3.2221072,-1
41,42,1583937345595,-4.8382998,-0.073,2.6825,5.197343,1.2168193999999999,3.0631511000000002,-1
42,43,1583937345605,-4.4737,-0.3865,2.5411,5.4328175000000005,0.8115481999999999,2.9062161,-1
43,44,1583937345615,-4.2485,-0.7509999999999999,2.434,5.285296,0.42603382,2.5967991,-1
44,45,1583937345625,-4.4069,-1.0918,2.202,4.749464,-0.012459426000000001,2.060747,-1
45,46,1583937345635,-4.9577,-1.449,1.7486999,4.2374306,-0.3550697,1.1490539,-1
46,47,1583937345645,-5.4786997,-1.7428,0.9288,4.116916000000001,-0.74542034,0.23233333,-1
47,48,1583937345655,-5.3051,-2.2881,-0.5317,4.503857599999999,-1.0742592,-0.62218595,-1
48,49,1583937345665,-4.9045997,-2.1662,-1.0776,4.905968,-1.0156873,-1.2358869,-1
49,50,1583937345676,-4.9045997,-2.1662,-1.0776,4.9961247,-1.0095582,-1.7005153000000002,-1
50,51,1583937345686,-5.1313,-2.0894,-1.7274,4.512189,-1.2044078999999999,-1.8836718000000001,-1
51,52,1583937345696,-5.1313,-2.0894,-1.7274,3.9350907999999998,-1.5201744,-1.7720252,-1
52,53,1583937345706,-6.5202,-3.0273,-1.5291,3.1778908,-2.492795,-1.8722849,-1
53,54,1583937345716,-6.5202,-3.0273,-1.5291,3.3561919000000002,-3.1805053,-2.5041053,-1
54,55,1583937345726,-6.5677,-3.6595,-2.0286999,4.398781,-3.082506,-2.8610039,-1
55,56,1583937345737,-3.9717998999999997,-2.6476,-2.8692,6.021407599999999,-2.219473,-3.2448711,-1
56,57,1583937345747,-3.5651,-1.8843,-3.1288,6.165462000000001,-1.7388033999999999,-3.4431016000000003,-1
57,58,1583937345757,-4.3318,-1.6409,-3.3895998,5.2710360000000005,-1.7585411,-3.6245532,-1
58,59,1583937345767,-5.4870996,-2.0928,-3.4789,3.8821309999999998,-2.8361425,-3.7403370000000002,-1
59,60,1583937345777,-6.256,-3.2143998,-3.7203998999999994,3.5665273999999996,-3.9025104,-3.913543,-1
60,61,1583937345788,-5.3631997,-4.0768,-3.8934998999999997,4.7807035,-4.8568873,-4.079078,-1
61,62,1583937345798,-3.5138,-4.4716,-4.3619,7.0143886,-5.464162,-4.8041472,-1
62,63,1583937345808,-1.7278,-4.339299700000001,-4.96,8.317332,-5.3281136,-5.029394,-1
