,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1566040400983,-0.105399996,-1.0853,-0.2438,0.14404476,0.07855855,9.351158,-1
1,2,1566040400994,-0.8206,-1.0648,-0.588,0.77256095,-1.1182742,8.206088000000001,-1
2,3,1566040401004,-0.094799995,0.18419999,-1.1877999,0.592019,-1.5444038,8.734622,-1
3,4,1566040401014,-0.2136,-0.162,-0.777,0.45289677,-1.8886613,9.243160000000001,-1
4,5,1566040401025,-0.36749998,-0.45679998,-0.3752,0.36817074,-2.1163783,9.340786,-1
5,6,1566040401036,-0.4992,-0.7012,-0.3852,0.18817468,-2.288225,9.169822,-1
6,7,1566040401046,-0.69049996,-0.85359997,-0.5915,0.048449066,-2.3855824,8.763065,-1
7,8,1566040401056,-0.77279997,-0.92179996,-0.90569997,0.01810974,-2.3687272,8.5335,-1
8,9,1566040401067,-0.573,-0.83879995,-1.3665,0.20426372,-2.3279495,8.309498,-1
9,10,1566040401077,-0.573,-0.83879995,-1.3665,0.49586788,-2.3144843999999996,8.251904,-1
10,11,1566040401088,0.0787,-0.7183,-1.4492999,0.8238926999999999,-2.2682765,8.22143,-1
11,12,1566040401098,0.07369999599999999,-0.7062,-1.5622,0.8276754999999999,-2.2654223,8.1502075,-1
12,13,1566040401108,-0.057999999999999996,-0.7299,-1.7138,0.6750404000000001,-2.3443928,7.9435972999999995,-1
13,14,1566040401118,-0.20879999,-0.8276,-1.9820999,0.49666279999999996,-2.5195813,7.604942299999999,-1
14,15,1566040401129,-0.2611,-0.9492,-2.2101998,0.46564350000000004,-2.6506782,7.436151,-1
15,16,1566040401139,-0.1017,-1.0052999,-2.2305999,0.6373748,-2.7444446,7.405112700000001,-1
16,17,1566040401149,0.0297,-1.0256,-2.1704,0.7538862,-2.8313732000000003,7.45903,-1
17,18,1566040401159,-0.047199998,-1.1271,-1.8330000000000002,0.6712288000000001,-3.0614464,7.873505000000001,-1
18,19,1566040401170,-0.2644,-1.3090000000000002,-1.3159,0.36044228,-3.3643034,8.535588,-1
19,20,1566040401179,-0.67579997,-1.4535999,-0.7665,0.022744916,-3.52935,8.932891,-1
20,21,1566040401189,-1.1035,-1.5029,-0.2835,-0.26849535,-3.614756,9.261605,-1
21,22,1566040401199,-1.3015,-1.3692,0.0436,-0.44650903,-3.533899,9.62514,-1
22,23,1566040401209,-1.2018,-1.1033,0.0277,-0.3504345,-3.4171386,9.538299,-1
23,24,1566040401220,-0.7536,-0.8545,-0.3906,0.18925685,-3.2309082,8.974588,-1
24,25,1566040401230,-0.5112,-0.6696,-0.6415,0.27863720000000003,-3.1888182,8.811869,-1
25,26,1566040401240,-0.65669996,-0.5464,-0.91959995,0.029151801,-3.1634588,8.464278,-1
26,27,1566040401250,-0.93829995,-0.3866,-0.9199,-0.29290664,-3.1324490000000003,8.476450999999999,-1
27,28,1566040401260,-1.0869,-0.023699999,-0.5729,-0.49203718,-2.8324077,8.873247000000001,-1
28,29,1566040401271,-0.636,0.5766,0.1104,0.07481402,-2.156084,9.737227,-1
29,30,1566040401281,0.1042,1.5130000000000001,0.7747,0.70317703,-1.4359655,10.152057000000001,-1
30,31,1566040401291,0.94329995,2.6852999,1.1309,1.5543731,-0.14132494,10.469422999999999,-1
31,32,1566040401301,1.5417,3.8614,1.3233,1.9239327000000002,0.7818792,10.578531,-1
32,33,1566040401311,2.0047998,4.9915,1.3996998999999999,2.527262,2.0187619999999997,10.55954,-1
33,34,1566040401321,2.5441,5.9902,1.2132,2.8557653,2.7871478,10.377601,-1
34,35,1566040401331,2.3583998999999998,6.7469997,1.119,2.370231,3.5791209000000004,10.428492,-1
35,36,1566040401341,1.7250999,7.2302,1.4043,1.8734915,3.9057474,10.680879,-1
36,37,1566040401352,1.3334,7.4694996,1.8335999,1.5035683000000002,4.171628500000001,11.308935,-1
37,38,1566040401362,1.1268,7.5863,2.5419998,1.17698,4.293387999999999,12.176632000000001,-1
38,39,1566040401372,0.8294,7.718999999999999,3.1538,1.1348228,4.4790339999999995,12.578982,-1
39,40,1566040401382,0.93289995,7.8367,3.5672998,1.3635073999999998,4.686065,12.956318,-1
40,41,1566040401392,1.2005,7.8032,3.6826,1.549872,4.6990037000000004,12.949423,-1
41,42,1566040401402,1.3551999,7.6067,3.4419999999999997,1.6733555,4.54906,12.569808,-1
42,43,1566040401413,1.3385999,7.2251997,2.9387999,1.5577154,4.336321,12.069514999999999,-1
43,44,1566040401423,1.114,6.657099700000001,2.3077,1.22179,3.8255224,11.581481,-1
44,45,1566040401433,0.75189996,5.9456,1.9554,0.9327139000000001,3.4396827000000005,11.405201,-1
45,46,1566040401443,0.3046,5.2257,1.7662,0.3357437,2.8732238,11.367172,-1
46,47,1566040401453,-0.225,4.446000000000001,1.7786,0.011137826000000002,2.37727,11.405555999999999,-1
47,48,1566040401463,-0.47219998,3.6327998999999997,1.7368,-0.14128664,1.7712974999999997,11.339792,-1
48,49,1566040401474,-0.39819998,2.9887,1.5819,0.010591948,1.5544307,11.2488985,-1
