,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1566290346637,-0.3245,0.31399998,-1.2806,-0.31072906,-0.46883258,7.754206699999999,-1
1,2,1566290346648,0.0115,0.101399995,1.4748,-0.48512269999999996,0.7744093000000001,12.333538,-1
2,3,1566290346658,-0.9723,0.065799996,2.9991,-1.6082715,0.20594923,13.071049,-1
3,4,1566290346669,-2.5221999,-0.7757,2.4280999,-2.3080583,-0.2733508,12.225971000000001,-1
4,5,1566290346679,-2.5221999,-0.7757,2.4280999,-2.304266,-0.28401935,11.822051,-1
5,6,1566290346689,-1.7823,-0.52959996,0.51,-1.5002068000000002,0.03310702,10.313216,-1
6,7,1566290346700,-1.1467,-0.2364,0.1291,-1.0185221,0.257166,9.993283,-1
7,8,1566290346710,-0.612,0.091,-0.0572,-0.33287063,0.6728951999999999,9.732565,-1
8,9,1566290346721,-0.40609998,0.2489,0.1665,-0.17241125,0.8679077,10.024111,-1
9,10,1566290346731,-0.47739998,0.3408,0.3306,-0.29068482,0.89226156,10.13028,-1
10,11,1566290346741,-0.58239996,0.3938,0.3381,-0.50426674,0.91094583,10.1177435,-1
11,12,1566290346751,-0.57739997,0.2773,0.2996,-0.56398773,0.836151,10.103014,-1
12,13,1566290346762,-0.5323,0.2269,0.1257,-0.61887246,0.8315733000000001,9.888771,-1
13,14,1566290346772,-0.5323,0.2269,0.1257,-0.6571318,0.79985493,9.812741,-1
14,15,1566290346782,-0.3254,0.14029999,-0.1481,-0.5851333000000001,0.8697273000000001,9.618264,-1
15,16,1566290346793,-0.1899,0.0875,-0.1894,-0.546625,0.8808746999999999,9.639161,-1
16,17,1566290346803,-0.083299994,0.0581,-0.0274,-0.47791138,0.8812482,9.836329,-1
17,18,1566290346813,0.0349,0.1757,0.20989999,-0.38660609999999995,1.0295546,10.031139,-1
18,19,1566290346823,0.036199998,0.192,0.1919,-0.43013270000000003,0.9972136999999999,9.94492,-1
19,20,1566290346834,-0.078999996,0.0069,-0.022000000000000002,-0.6275776999999999,0.74710584,9.568303,-1
20,21,1566290346843,-0.21769999,-0.239,-0.2947,-0.76397055,0.52954,9.400412,-1
21,22,1566290346853,-0.3832,-0.4605,-0.40129998,-1.0565517,0.30701327,9.348974,-1
22,23,1566290346863,-0.597,-0.6173,-0.4305,-1.2887030000000002,0.13910311,9.306674000000001,-1
23,24,1566290346873,-0.8513,-0.77019995,-0.3423,-1.5044589,-0.030856472000000003,9.452327,-1
24,25,1566290346883,-0.7891,-0.8634,-0.3525,-1.4377851000000001,-0.15050909,9.378289,-1
25,26,1566290346893,-0.6982,-0.9424,-0.52959996,-1.3432716,-0.25743413,9.206194,-1
26,27,1566290346903,-0.58959997,-1.0353,-0.53069997,-1.25777,-0.36639905,9.249031,-1
27,28,1566290346914,-0.5768,-1.1279,-0.3557,-1.2241073999999998,-0.49485275,9.479716999999999,-1
28,29,1566290346924,-0.5767,-1.2771,-0.33799999999999997,-1.2111213,-0.66874844,9.419354,-1
29,30,1566290346934,-0.5945,-1.5122,-0.49679998,-1.2528187,-0.95885867,9.184914,-1
30,31,1566290346944,-0.6171,-1.7535,-0.74369997,-1.2529336000000002,-1.160843,9.0386,-1
31,32,1566290346955,-0.6622,-2.0075,-0.8434,-1.3280541000000001,-1.5233347,8.86933,-1
32,33,1566290346964,-0.631,-2.3223999,-1.1686,-1.2796049999999999,-1.8423861000000001,8.544321,-1
33,34,1566290346974,-0.561,-2.8144,-1.5523,-1.2400624,-2.3004447999999997,8.232022,-1
34,35,1566290346984,-0.7312,-3.3529,-1.7398,-1.4668219999999998,-3.035972,8.01234,-1
35,36,1566290346994,-1.0957,-3.9538,-1.6331999,-2.0785310000000004,-3.806053,8.262678,-1
36,37,1566290347004,-1.5884,-4.2936997,-1.3009,-2.4465868,-4.2102613,8.757061,-1
37,38,1566290347015,-1.6445,-4.4742,-0.8506,-2.2472167,-4.3153760000000005,9.073957,-1
38,39,1566290347025,-1.2179999,-4.3368,-0.5862,-1.7676392,-4.119253,9.027855,-1
39,40,1566290347035,-0.8267,-3.9685998,-0.9486,-1.4054633,-3.7601416,8.646256,-1
40,41,1566290347045,-0.2913,-3.3344,-1.3201,-0.5779411999999999,-3.0290863999999997,8.228383000000001,-1
41,42,1566290347056,0.58529997,-2.6090999,-1.74,0.100163825,-2.6259317,7.8872279999999995,-1
42,43,1566290347066,1.138,-2.1241999,-2.0809,0.39887398,-2.2302372000000004,7.428499,-1
43,44,1566290347076,1.2093999,-1.7484,-2.4898,0.50517654,-2.050193,7.231207400000001,-1
44,45,1566290347086,1.6602,-1.4627999,-2.4169,1.186959,-1.7863810000000002,7.721367999999999,-1
45,46,1566290347096,2.1223,-1.0804,-1.7262,1.5416169,-1.3172514,8.455869999999999,-1
46,47,1566290347107,2.4313998,-0.52739996,-1.181,1.9319772000000002,-0.9058606,8.781338,-1
47,48,1566290347117,3.0228,0.0657,-0.7427,2.8428080000000002,-0.24460122,9.408935000000001,-1
48,49,1566290347127,3.7433,0.71309996,-0.2749,3.3718595999999996,0.17406803,9.654589999999999,-1
49,50,1566290347138,4.4802,1.3495,-0.073,4.5111456,1.0166259,9.610144,-1
50,51,1566290347148,5.3865,2.1415,-0.18699999,5.069176000000001,1.5367327,9.3873205,-1
51,52,1566290347158,6.0372,2.8597,-0.3901,5.8111489999999995,2.2503006,9.456609,-1
52,53,1566290347168,6.5425997,3.4229,-0.2696,6.1418550000000005,2.6453822,9.503573,-1
53,54,1566290347179,6.7899,3.9626,-0.25599998,6.0810614,3.024547,9.506963,-1
54,55,1566290347188,6.5888,4.2555,-0.1621,5.923705,3.114272,9.665555,-1
55,56,1566290347198,6.4136,4.4508,-0.0168,5.841947599999999,3.2173665000000002,9.740407000000001,-1
56,57,1566290347208,6.236799700000001,4.6257997,0.12109999,5.363452,3.2702782000000004,10.180337,-1
57,58,1566290347218,5.8212,4.7509,0.49699998,5.009407,3.1222498,10.525953999999999,-1
58,59,1566290347229,4.8549,4.5483,1.4102,4.4341383,2.8775911,11.072867,-1
59,60,1566290347239,4.8549,4.5483,1.4102,3.910105,2.8270352,11.520219,-1
60,61,1566290347249,4.1712,4.5896,1.9152999,3.1819706,2.7577279,12.02802,-1
61,62,1566290347259,3.5080998,4.5952997,2.3881,2.8815844,2.7742763,12.319298,-1
62,63,1566290347269,3.0667,4.706,2.7194998,2.589607,2.910334,12.353803,-1
63,64,1566290347279,2.7322,4.8205,2.7226,2.4743214,3.0617912,12.353276,-1
64,65,1566290347290,2.3651,5.1962,2.6223,2.4445853,3.2906769999999996,12.242108,-1
65,66,1566290347300,2.3651,5.1962,2.6223,2.4469604,3.4524769999999996,12.225272,-1
66,67,1566290347310,2.0104,5.4754996,2.8743,2.3046968,3.5920017,12.504159,-1
67,68,1566290347320,1.6227,5.3877,2.9715,1.8633784,3.4952089999999996,12.602273,-1
68,69,1566290347330,0.8497,5.101,2.9503999,1.2970157,3.2620041,12.579624,-1
69,70,1566290347340,0.0122,4.7029,3.1148,0.63838035,2.9727460999999997,12.740103,-1
70,71,1566290347350,-0.8084,4.2963,3.3365,-0.28015032,2.5270702999999997,12.973346000000001,-1
71,72,1566290347360,-1.4837999,3.9232998,3.6146,-0.8039059000000001,2.2690232000000004,13.248382000000001,-1
72,73,1566290347370,-1.9975,3.5102,3.4192998,-1.3767234,1.8534664,13.071537,-1
73,74,1566290347380,-2.4689999,3.1425,3.0742998,-1.8669124,1.5041142,12.664303,-1
74,75,1566290347390,-2.8193998,2.7463,2.6891,-2.0765675999999997,1.298433,12.370811,-1
75,76,1566290347400,-3.2493,2.4164999,2.5001,-2.5053406000000003,1.0234063,12.150794,-1
76,77,1566290347410,-3.7442,2.0029,2.4789,-2.8676887000000004,0.7964264,12.177274,-1
77,78,1566290347420,-4.2496,1.5967,2.4686,-3.4320593,0.45457274,12.193804,-1
78,79,1566290347430,-4.8296,1.2001,2.4882998,-3.8538125,0.2656989,12.201386999999999,-1
79,80,1566290347440,-5.3943996,0.7636,2.5279999,-4.507573000000001,-0.16177142,12.230089999999999,-1
80,81,1566290347451,-5.857199700000001,0.32459998,2.4208,-4.838222,-0.36041355,12.1557255,-1
81,82,1566290347461,-6.2356,0.018000000000000002,2.1369998,-5.2925262,-0.5483871,11.725239,-1
82,83,1566290347471,-6.2356,0.018000000000000002,2.1369998,-5.37256,-0.71510017,11.247902,-1
83,84,1566290347481,-6.3515997,-0.33399999999999996,1.4897,-5.319428,-0.7983800999999999,10.560335,-1
84,85,1566290347491,-6.0313,-0.6299,0.0725,-5.128524,-0.7426239,9.848338,-1
85,86,1566290347502,-5.6131997,-0.6759999999999999,0.1944,-4.7201114,-0.65599215,10.0077915,-1
86,87,1566290347512,-5.6131997,-0.6759999999999999,0.1944,-4.6451535,-0.64865625,10.108847,-1
