,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1565492540462,7.1218996,-2.5484,-10.8636,12.341832,-10.167983,-5.8062835,-1
1,2,1565492540472,2.9280999,-3.9448,-4.2897997000000005,9.268759,0.20268354,-1.6927773000000002,-1
2,3,1565492540483,-0.41009998,-0.008599999,0.0717,9.260035499999999,0.20057665,-1.5990107,-1
3,4,1565492540493,-0.3225,0.0405,-0.0005999999700000001,9.35655,0.21083339999999998,-1.903285,-1
4,5,1565492540504,-0.2923,-0.0717,-0.2996,9.248811,-0.018933348,-1.9381925,-1
5,6,1565492540514,-0.5254,-0.3335,-0.1187,9.151109,-0.17455646,-1.4923729,-1
6,7,1565492540524,-0.4644,-0.2766,0.49359998,9.2414465,-0.052969318,-0.94921476,-1
7,8,1565492540534,-0.2871,-0.052199997000000005,1.0191,9.467908999999999,0.19444747,-0.5916168,-1
8,9,1565492540545,-0.20109999,0.0541,1.2044,9.533147,0.15762466,-0.26815059999999996,-1
9,10,1565492540555,-0.030299998999999998,-0.062699996,1.4382,10.382159,-0.11022905,-0.8658486999999999,-1
10,11,1565492540565,0.97099996,-0.17189999,0.3005,10.601602,0.003974375,-1.5837643999999997,-1
11,12,1565492540575,0.73969996,-0.07,0.2473,10.245650999999999,-0.22062089999999998,-1.7902308999999998,-1
12,13,1565492540586,0.5484,-0.2698,-0.4303,10.205927,-0.15187858,-1.9207627,-1
13,14,1565492540596,0.40649998,-0.114,-0.155,10.030842999999999,-0.02528277,-1.4998908000000002,-1
14,15,1565492540606,0.1968,-0.118499994,0.1837,9.754495,-0.15307568,-1.249371,-1
15,16,1565492540616,0.0369,-0.2288,0.25259998,9.682564,-0.14318284,-1.3359358000000001,-1
16,17,1565492540626,-0.081999995,-0.1683,0.0681,9.549973,-0.04541322,-1.554402,-1
17,18,1565492540636,-0.1795,-0.0954,-0.0753,9.490711,-0.063321844,-1.4919516000000002,-1
18,19,1565492540647,-0.2269,-0.0901,0.10229999599999999,9.451513,-0.0068282633999999995,-1.2732651000000001,-1
19,20,1565492540657,-0.2453,0.0116,0.3945,9.508381,0.14271358,-1.0865462,-1
20,21,1565492540667,-0.20699999,0.118099995,0.506,9.408944,0.2967086,-0.79752773,-1
21,22,1565492540677,-0.3401,0.2356,0.70449996,9.213731,0.3452343,-0.68981737,-1
22,23,1565492540687,-0.6017,0.2277,0.8063,8.776933,0.30692708,-0.36151490000000003,-1
23,24,1565492540698,-1.0066998999999999,0.23519999,1.0498999,8.569403999999999,0.45183375,-0.48132074,-1
24,25,1565492540708,-1.147,0.3357,0.9106,8.511396000000001,0.4073495,-0.6374418000000001,-1
25,26,1565492540718,-1.2185,0.2775,0.6748,8.538231,0.3883204,-0.9643749,-1
26,27,1565492540728,-1.1816,0.28599998,0.3944,8.536430000000001,0.39193082,-1.2186582000000001,-1
27,28,1565492540739,-1.2028999,0.2811,0.0398,8.457996000000001,0.32891545,-1.6138451999999999,-1
28,29,1565492540749,-1.3909,0.2742,-0.21609999,8.325118,0.3231119,-1.4623879,-1
29,30,1565492540759,-1.3909,0.2742,-0.21609999,8.156058,0.27850312,-1.1319211999999998,-1
