,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1583928744676,0.44603825,0.7225615,-0.5685868000000001,9.662521,-0.74160767,2.347641,-1
1,2,1583928744686,0.44603825,0.7225615,-0.5685868000000001,9.662521,-0.74160767,2.347641,-1
2,3,1583928744697,0.44603825,0.7225615,-0.5685868000000001,7.70166,-0.65541077,5.644455000000001,-1
3,4,1583928744708,0.44603825,0.7225615,-0.5685868000000001,7.7136383,-0.6889343000000001,5.5510864,-1
4,5,1583928744718,0.44603825,0.7225615,-0.5685868000000001,7.7136383,-0.7487793,5.4600983,-1
5,6,1583928744728,0.44603825,0.7225615,-0.5685868000000001,7.6896973,-0.8493347,5.273346,-1
6,7,1583928744738,0.44603825,0.7225615,-0.5685868000000001,7.5604095000000004,-0.95228577,5.419403,-1
7,8,1583928744749,0.44603825,0.7225615,-0.5685868000000001,7.4885864,-0.76794434,5.476867700000001,-1
8,9,1583928744759,0.44603825,0.7225615,-0.5685868000000001,7.447875999999999,-0.720047,5.699523999999999,-1
9,10,1583928744770,-0.21012878,-0.22295296,0.078523636,7.452667,-0.92355347,5.747406,-1
10,11,1583928744780,-0.1792779,-0.23623955,-0.075323105,7.469421400000001,-0.95947266,5.5917816,-1
11,12,1583928744791,-0.189322,-0.2557549,-0.107543945,7.471817,-1.0073546999999998,5.572632,-1
12,13,1583928744807,-0.10434818,-0.20932913,-0.06447554,7.5771637,-0.93074036,5.5774230000000005,-1
13,14,1583928744817,-0.48045778,-0.27536464,0.10620117,7.0863495,-1.1270752,5.7761383,-1
14,15,1583928744828,0.5903925999999999,0.18878901,-0.3287139,7.8285522,-0.8445587,5.486435,-1
15,16,1583928744838,0.23219585,0.04577267,-0.27325296,7.869262700000001,-0.86849976,5.333206,-1
16,17,1583928744848,-0.15133476,-0.18076015,-0.111377716,7.4885864,-1.1294556,5.469681,-1
17,18,1583928744859,-0.14343739,-0.2537502,0.21239042,7.495758,-1.2515717,5.7809295999999994,-1
18,19,1583928744869,0.08893061,-0.161775,0.32678652,7.742370599999999,-1.20607,5.891052200000001,-1
19,20,1583928744879,0.13079214,-0.31499052,0.32171535,7.8812256,-1.2898711999999999,5.876693700000001,-1
20,21,1583928744889,-0.5256319,-0.65845907,0.40385962,7.162964,-1.8405456999999998,5.946121,-1
21,22,1583928744899,-0.24794817,-0.6277906999999999,0.6779746999999999,7.4383087,-1.8836365000000002,6.219055,-1
22,23,1583928744910,0.06414938,-0.5685507,0.7610278,7.7591247999999995,-1.8596953999999999,6.305251999999999,-1
23,24,1583928744920,1.0305848,-0.38868415,0.6225538,8.7934265,-1.7687073,6.1759644,-1
24,25,1583928744930,1.301806,-0.33640695,0.20465422,9.130997,-1.7591400000000001,5.747406,-1
25,26,1583928744940,1.2833419,-0.45966995,-0.25044298,9.18367,-1.9195557,5.2565919999999995,-1
26,27,1583928744950,1.1198301000000002,-0.6132914,-0.49610472,9.092697,-2.1134796000000002,4.9501343,-1
27,28,1583928744961,1.0623856000000003,-0.6337351999999999,-0.24120235,9.078323,-2.1613617,4.976471,-1
28,29,1583928744971,1.1183586,-0.5935043000000001,0.28509617,9.241135,-2.182907,5.608536,-1
29,30,1583928744981,1.2322540000000002,-0.6083702,0.6588210999999999,9.432678,-2.2427672999999997,5.941330000000001,-1
30,31,1583928744991,1.302578,-0.65012014,0.7813597,9.542800999999999,-2.3074036,6.0466766,-1
31,32,1583928745002,1.6166964,-0.8437463,0.85464525,9.980942,-2.5707703,6.075409,-1
32,33,1583928745012,1.9746884999999998,-1.0331435,0.60361385,10.428664999999999,-2.8078003,5.792892500000001,-1
33,34,1583928745023,2.3825016,-1.1569273000000002,0.27042150000000004,10.9362335,-2.9777832,5.419403,-1
34,35,1583928745033,2.8389816000000003,-1.1357471000000001,-0.01594448,11.506058,-2.9969330000000003,5.079422,-1
35,36,1583928745044,3.1740703999999997,-1.0606568,-0.15244722,11.97052,-2.9514465,4.87352,-1
36,37,1583928745054,3.230918,-0.97495663,-0.17089415,12.1692505,-2.8820189999999997,4.7657776,-1
37,38,1583928745064,2.9499226000000003,-0.7613310999999999,-0.146029,12.162063999999999,-2.7527312999999998,4.665222,-1
38,39,1583928745074,2.8000307,-0.68220544,-0.11239338,12.039963,-2.5803528,4.576645,-1
39,40,1583928745085,2.4653234,-0.57622576,0.010814667,11.85321,-2.4534607000000004,4.550308,-1
40,41,1583928745095,2.2544823,-0.48264444,0.29570959999999996,11.786178999999999,-2.3313446,4.6772003,-1
41,42,1583928745105,2.0722198,-0.4399066,0.7598366999999999,11.812515,-2.2331847999999996,4.902252,-1
