,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1583842654168,-0.06912613,0.054602622999999996,-0.030617326,8.843703999999999,-3.9546203999999996,0.18089294,-1
1,2,1583842654179,-0.06912613,0.054602622999999996,-0.030617326,9.497314,-0.6889343000000001,0.16651917,-1
2,3,1583842654189,-0.06912613,0.054602622999999996,-0.030617326,9.423096000000001,-0.7631531,0.36523438,-1
3,4,1583842654199,-0.06912613,0.054602622999999996,-0.030617326,9.605057,-0.6865387,0.5879059,-1
4,5,1583842654209,-0.06912613,0.054602622999999996,-0.030617326,9.825317,-0.53570557,0.6309967,-1
5,6,1583842654219,-0.06912613,0.054602622999999996,-0.030617326,9.968979,-0.45669556,0.54000854,-1
6,7,1583842654229,-0.06912613,0.054602622999999996,-0.030617326,10.045592999999998,-0.44950867,0.4035492,-1
7,8,1583842654239,-0.06912613,0.054602622999999996,-0.030617326,10.100662,-0.4519043,0.28862,-1
8,9,1583842654250,-0.06912613,0.054602622999999996,-0.030617326,10.136566,-0.43992615,0.21440125,-1
9,10,1583842654260,0.44684505,0.1276896,0.10203962,10.138962,-0.43515015,0.23594666,-1
10,11,1583842654270,0.33963966,0.0899781,0.22082615,10.07193,-0.45909120000000003,0.39157104,-1
11,12,1583842654280,0.20600605,0.065258384,0.40213814,9.961791999999999,-0.47105408,0.6238098000000001,-1
12,13,1583842654290,0.056695938,0.063514054,0.53621274,9.820526,-0.45909120000000003,0.817749,-1
13,14,1583842654300,-0.033317566,0.10314453,0.5742495,9.729553,-0.40402222,0.9159088,-1
14,15,1583842654311,-0.069107056,0.1571444,0.45900896,9.688858,-0.3321991,0.8488617,-1
15,16,1583842654321,-0.0141124725,0.16250336,0.26062804,9.741531,-0.31063843,0.6812744000000001,-1
16,17,1583842654331,0.055555344000000006,0.12866127,0.06576213,9.813354499999999,-0.3321991,0.501709,-1
17,18,1583842654342,0.15760231,0.061667025,-0.076366246,9.957001,-0.42077637,0.36763,-1
18,19,1583842654352,0.19172001,0.020699978,-0.005672693299999999,9.978546000000001,-0.43992615,0.40115356,-1
19,20,1583842654362,0.08031082,0.01810053,0.09993756,9.868423,-0.42556763,0.5591735999999999,-1
20,21,1583842654372,-0.011171341000000001,-0.00723204,0.27146378,9.777435,-0.4447174,0.7435303000000001,-1
21,22,1583842654382,-0.046162605,-0.02918896,0.35028458,9.741531,-0.46386720000000004,0.8297119000000001,-1
22,23,1583842654392,0.009502411,-0.0050685704,0.44279587,9.796585,-0.4303589,0.9422455,-1
23,24,1583842654403,0.103689194,0.04647416,0.3280052,9.89476,-0.37049866,0.8345031999999999,-1
24,25,1583842654413,0.15977669,0.08900529,0.24079293,9.99292,-0.26515198,0.66212463,-1
25,26,1583842654423,0.1969204,0.15679145,0.035345554,10.004883,-0.23402405,0.54000854,-1
26,27,1583842654433,0.114536285,0.15131083,0.020150125,9.928268,-0.22445679,0.5232544,-1
27,28,1583842654443,0.028640747,0.17991686,0.10591251,9.844482000000001,-0.17897034,0.6118469,-1
28,29,1583842654453,-0.06826496,0.078517765,0.26425105,9.746307,-0.26515198,0.78182983,-1
29,30,1583842654463,-0.1379757,-0.039842784,0.44212740000000006,9.672089,-0.37289429999999996,0.9829406999999999,-1
30,31,1583842654474,-0.19127464,-0.048536092,0.56079644,9.612244,-0.37289429999999996,1.1361694,-1
31,32,1583842654484,-0.26142502,0.01654169,0.58046883,9.533234,-0.29867554,1.1960297,-1
32,33,1583842654494,-0.36223316,0.05747291400000001,0.5317118000000001,9.4207,-0.24839783,1.1864471,-1
33,34,1583842654505,-0.46500492,0.056701064,0.47948549999999995,9.303390499999999,-0.24121094,1.169693,-1
34,35,1583842654516,-0.5205021,0.053109914,0.45183850000000003,9.231552,-0.23881531,1.1744843,-1
35,36,1583842654526,-0.49742413,0.08179715,0.48013538,9.238739,-0.20530700000000002,1.2343292,-1
36,37,1583842654536,-0.44017506,0.09231186,0.49798632,9.281845,-0.19093323,1.2846069,-1
37,38,1583842654546,-0.37766552,0.10102725,0.52159476,9.332123,-0.17897034,1.3420715,-1
38,39,1583842654556,-0.43208218,0.1305686,0.41523057,9.265075999999999,-0.14544678,1.2678528,-1
