,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1583549670402,-0.84029996,-1.7816999,-0.1576,-2.614114,7.781098399999999,-1.5043440000000001,-1
1,2,1583549670412,-1.9672999,-2.1227,-1.7516999,-0.40590337,10.036695,-0.3707469,-1
2,3,1583549670423,-0.0139,0.2119,-0.0064,-0.8680035,9.895436,-0.21482694,-1
3,4,1583549670433,-0.3798,-0.022799998999999998,0.31689999,-1.176798,9.7383585,0.27427974,-1
4,5,1583549670443,-0.4574,-0.051099997,0.84739995,-1.1046655,9.76887,0.8669021,-1
5,6,1583549670454,-0.2038,0.057699997,1.0892,-0.86650944,9.891567,0.95364887,-1
6,7,1583549670464,-0.0098,0.0985,0.8279,-0.76386523,9.903261,0.76550287,-1
7,8,1583549670474,0.0682,0.1396,0.6354,-0.65807027,9.918967,0.66325134,-1
8,9,1583549670484,0.1107,0.1908,0.4398,-0.7408235,9.909936,0.59335023,-1
9,10,1583549670494,0.0744,0.0756,0.3696,-0.76420045,9.812864999999999,0.6610965999999999,-1
10,11,1583549670505,0.0673,0.029399997999999997,0.43289998,-0.78797007,9.779739,0.8488976999999999,-1
11,12,1583549670515,-0.0093,-0.0112,0.2814,-0.9840935,9.658191,1.0363733,-1
12,13,1583549670525,-0.17019999,-0.1171,0.32899999999999996,-1.1301589,9.633674000000001,1.1761756,-1
13,14,1583549670535,-0.24409999,-0.1046,0.3845,-1.2159288000000001,9.606494999999999,1.3089389,-1
14,15,1583549670545,-0.21769999,-0.1425,0.42049998,-1.218888,9.524861999999999,1.3588818,-1
15,16,1583549670555,-0.2008,-0.212,0.4353,-1.1936628,9.52785,1.5009728999999998,-1
16,17,1583549670566,-0.0824,-0.1638,0.5261,-1.1767215,9.523675,1.6514436999999997,-1
17,18,1583549670576,-0.14289999,-0.22299999,0.64419997,-1.249601,9.38686,1.9161466,-1
18,19,1583549670586,-0.0786,-0.3506,0.89839995,-0.9837392,9.156796,2.1876203999999997,-1
19,20,1583549670599,0.2131,-0.5679,0.9837,-0.6871071999999999,8.757175,2.2227577999999997,-1
20,21,1583549670609,0.2131,-0.5679,0.9837,-0.6871071999999999,8.757175,2.2227577999999997,-1
21,22,1583549670619,0.6982,-1.4182,1.1022999,-0.4262924,7.85617,2.7375013999999998,-1
22,23,1583549670629,0.7698,-1.9010999,1.5389999,-0.26955837,7.1293197,3.6158288,-1
23,24,1583549670639,0.8186,-3.4961998,3.1394,-0.39320454,5.910882,4.8413343,-1
24,25,1583549670649,0.8372,-4.5087,4.2208,-0.31747112,4.855853,6.014867,-1
25,26,1583549670659,0.8372,-4.5087,4.2208,0.02894111,3.5978818,6.7598557,-1
26,27,1583549670669,1.2502999,-5.9979997,5.0917997,-0.29963914,1.5186135,7.050330000000001,-1
27,28,1583549670679,0.9668,-8.0519,5.2676997000000005,-1.7378648999999997,-1.4460021,7.403944500000001,-1
28,29,1583549670689,-0.41529998,-10.9626,5.4929,-3.9353683,-4.708887,8.137661999999999,-1
29,30,1583549670699,-2.5456,-14.1896,6.0874996,-5.8404922,-7.1812453,9.375003999999999,-1
30,31,1583549670710,-6.392299700000001,-19.3183,9.6029,-8.069245,-10.225741000000001,12.388222,-1
31,32,1583549670720,-6.392299700000001,-19.3183,9.6029,-8.09877,-11.014956,13.879638,-1
32,33,1583549670730,-6.5699,-20.3815,11.4093,-6.874797,-11.348085000000001,14.401689000000001,-1
33,34,1583549670740,-3.0121,-20.0383,9.7204,-3.8398972000000002,-10.501294,11.5981455,-1
34,35,1583549670750,0.00049999997,-18.8619,5.6643996,-0.6657221999999999,-9.184388,7.280145,-1
35,36,1583549670760,2.6727998,-17.1981,1.0402,2.0123265,-7.430165299999999,2.5325484,-1
36,37,1583549670771,4.2009,-15.6038,-3.5763998,3.4784207,-5.8433269999999995,-2.1121072999999995,-1
37,38,1583549670781,4.2009,-15.6038,-3.5763998,4.3519115,-4.432576999999999,-5.0123,-1
38,39,1583549670791,6.7953,-11.838799,-9.4643,6.8314333,-1.9407014999999999,-7.416805999999999,-1
39,40,1583549670802,9.0485,-10.224299,-9.9126,9.7851305,-0.09362286,-7.440479799999999,-1
40,41,1583549670813,10.9158,-8.4003,-9.456699,11.703845,2.1045225,-6.594119999999999,-1
41,42,1583549670823,11.9851,-5.8103,-8.748199000000001,12.809257,4.5760856,-6.0377264,-1
42,43,1583549670833,12.620399,-3.4185,-9.0046,13.516523000000001,6.437692,-6.3529663,-1
43,44,1583549670843,12.8175,-0.8142,-10.0827,14.135271,9.391447,-7.575550999999999,-1
44,45,1583549670853,13.4217,1.3061,-11.5791,15.251266000000001,11.147509,-9.120836,-1
45,46,1583549670863,14.255799,3.1383,-13.4225,16.33266,12.940469,-10.634565,-1
46,47,1583549670873,15.039499,4.9077997,-14.6529,17.412865,14.295156500000001,-11.303898,-1
47,48,1583549670883,15.567499,6.2131,-15.0168,17.867325,15.273560999999999,-11.196791000000001,-1
48,49,1583549670893,15.1122,7.7404,-14.3447,17.337917,16.885357,-9.976141,-1
49,50,1583549670904,14.434899,9.1854,-13.7605,17.395529999999997,18.259418,-9.629135,-1
50,51,1583549670914,14.7428,10.9607,-14.0132,18.07422,19.826088000000002,-9.602147,-1
51,52,1583549670924,15.2139,12.4507,-13.575299,19.380709,20.96433,-8.041472,-1
52,53,1583549670934,16.4611,13.583798999999999,-11.9564,20.883041,21.885742,-5.565035,-1
53,54,1583549670944,17.3624,14.598498999999999,-9.253099,21.393055,22.600584,-2.520194,-1
54,55,1583549670955,17.407999,15.538799,-6.6717997,21.167175,23.42918,-0.50080955,-1
55,56,1583549670965,16.4422,16.6603,-5.2711997,20.090178,24.072397,0.06526594,-1
56,57,1583549670975,14.906799,17.275,-5.4179,18.934956,24.460379999999997,-0.79678077,-1
57,58,1583549670985,14.094899,17.544698999999998,-6.3283997,18.59136,24.316507,-1.4001675,-1
58,59,1583549670995,13.741798999999999,17.3652,-6.3947997,18.694407,23.976706,-0.6486946,-1
59,60,1583549671005,13.660998999999999,17.0438,-4.870199700000001,18.543745,23.619375,1.6932657,-1
60,61,1583549671016,13.1053,16.7316,-2.1021,18.037264,23.239424,3.9339797,-1
61,62,1583549671026,12.2641,16.1966,0.91349995,17.435965,22.653898,7.3199368,-1
62,63,1583549671036,11.9388,15.9214,3.5621998,17.841217,22.449156,9.11238,-1
63,64,1583549671046,12.601399,15.7028,4.7752,18.716988,22.288227,9.438269,-1
64,65,1583549671056,13.2422,15.381398999999998,5.4974,18.891964,21.518883,10.921151,-1
65,66,1583549671067,12.9824,14.429,7.3289,17.957556,20.284472,13.227676,-1
66,67,1583549671077,11.905399000000001,13.0422,9.9207,16.510519,18.905756,15.323849,-1
67,68,1583549671087,10.450999000000001,11.5063,12.1201,15.074410999999998,17.661385,16.525451999999998,-1
68,69,1583549671097,9.1268,10.139299000000001,13.3319,13.760042000000002,16.541004,16.540533,-1
69,70,1583549671107,7.9083,8.7553,13.457398999999999,12.147921,15.362433,15.891169,-1
70,71,1583549671118,6.4239999999999995,7.4465,12.9109,10.823851,14.371051999999999,14.670519,-1
71,72,1583549671128,5.473099700000001,6.2738,11.8482,10.526902,13.531137,13.2918415,-1
72,73,1583549671138,5.5632,5.2278,10.7891,11.085450999999999,12.604389,12.571168,-1
73,74,1583549671148,6.4251,4.0867,10.4915,10.712491,11.094874,13.4481735,-1
74,75,1583549671158,6.161299700000001,2.5935,11.5651,8.592953,9.3359785,15.345291,-1
75,76,1583549671168,4.3178,0.6647,13.611799,6.565140700000001,7.6273136,16.557388,-1
76,77,1583549671178,2.5844,-1.2088,14.9648,5.2431774,6.761934299999999,16.428724,-1
77,78,1583549671189,1.2527,-2.3567998,14.818199,3.7801572999999995,6.447518,14.496201999999998,-1
78,79,1583549671199,0.41099998,-2.6871,13.2364,3.55809,6.2671676,12.982128,-1
79,80,1583549671209,0.4613,-3.1668,10.8646,3.375173,5.741631,9.100868,-1
80,81,1583549671219,0.5864,-3.6378998999999994,8.2225,3.8423488,5.392824,6.171524,-1
81,82,1583549671229,1.327,-4.0717998,5.4708,4.619219999999999,4.8938537,4.456615,-1
82,83,1583549671240,2.4508997999999997,-4.8136997,3.6402,4.6287293,3.5419052000000004,3.4711807,-1
83,84,1583549671250,2.6334,-6.0632,3.0263,3.61105,1.9928951000000001,4.117356299999999,-1
84,85,1583549671260,1.8901,-7.6562996,3.7113998,2.2258894000000002,0.33510205,5.22705,-1
85,86,1583549671270,0.7662,-9.3677,4.8361998,1.1149127,-0.9991099,5.3953432999999995,-1
86,87,1583549671280,-0.574,-11.7932,4.6481,0.23215137,-2.2470636,4.976827,-1
87,88,1583549671290,-1.1925,-12.7738,4.3784,-0.7574584,-3.1598002999999997,4.7651699999999995,-1
