,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1583586484540,-0.49589998,3.1843,-0.2796,4.333438,-5.1405425000000005,2.7141243999999998,-1
1,2,1583586484550,-0.49589998,3.1843,-0.2796,8.840274,0.48612829999999996,-1.9522511999999999,-1
2,3,1583586484560,-0.815,-0.0187,0.0786,9.248868,0.18091545,-0.33178848,-1
3,4,1583586484571,0.0581,-0.0486,1.1915,10.037086500000001,0.21014388,0.32849404,-1
4,5,1583586484580,0.8229,0.063099995,0.95,10.705739999999999,0.31065246,0.1884907,-1
5,6,1583586484590,0.9284,0.0525,0.5245,10.560105,0.1831277,-0.3103077,-1
6,7,1583586484600,0.4752,-0.22819999,0.2949,10.121353,-0.13093410000000003,-0.32507512,-1
7,8,1583586484611,0.1689,-0.44079998,0.3945,9.917512,-0.2235897,-0.18537825,-1
8,9,1583586484621,0.029199999,-0.37649998,0.33359998,9.780477000000001,-0.11907802,-0.36029859999999997,-1
9,10,1583586484631,-0.0514,-0.24139999,0.018099999,9.734105,0.07784028,-0.63658947,-1
10,11,1583586484641,-0.0826,0.03,-0.1846,9.6919775,0.36445495,-0.6739869,-1
11,12,1583586484651,-0.12889999,0.1268,-0.089999996,9.697550999999999,0.49044743,-0.5530893,-1
12,13,1583586484661,-0.0379,0.1472,0.023699999,9.796355,0.5463568,-0.54342633,-1
13,14,1583586484671,0.0526,0.07719999599999999,0.1118,9.847945,0.44699746,-0.2127775,-1
14,15,1583586484682,0.0308,-0.069699995,0.7193,9.790408,0.36376545,0.57318145,-1
15,16,1583586484692,-0.0603,-0.0858,1.1735,9.713008,0.43899125,0.65973663,-1
16,17,1583586484702,-0.033,0.0148,0.7463,9.87453,0.56938905,0.15532623,-1
17,18,1583586484712,0.112799995,0.1277,0.1726,9.94538,0.7391091999999999,-0.26236620000000005,-1
18,19,1583586484722,0.1532,0.2552,-0.1916,9.918861,0.8689133,-0.475182,-1
19,20,1583586484733,0.067099996,0.3159,-0.3365,9.774175,0.90421337,-0.36566165,-1
20,21,1583586484743,-0.1353,0.25149998,-0.0778,9.448238,0.9441008,4.7884034000000004e-05,-1
21,22,1583586484753,-0.4664,0.3144,0.37989998,9.132089,1.0461704,0.72617096,-1
22,23,1583586484763,-0.7582,0.3671,1.2866,8.878504,1.0514663,1.9406441000000003,-1
23,24,1583586484773,-1.0303999,0.2838,2.6775,8.500086,0.99114203,3.6715755,-1
24,25,1583586484784,-1.3618,0.2136,4.0294,8.179024,0.9008136,4.5117392999999995,-1
25,26,1583586484794,-1.8111999,0.0224,4.8013997,7.485759,0.76399934,4.812259,-1
26,27,1583586484804,-2.4278998,-0.0444,4.8361998,6.768178,0.7611071,4.773751,-1
27,28,1583586484814,-3.1527998,-0.0548,4.7759,6.128687,0.801301,5.197362,-1
28,29,1583586484824,-3.7505,-0.029199999,5.2729,5.585557499999999,0.8925871,6.0725956,-1
29,30,1583586484834,-4.3090997,0.0903,6.1514997000000005,5.1559230000000005,1.0425982,6.793193,-1
30,31,1583586484844,-4.9168,0.33049998,6.9828997,4.375921,1.3572634,7.619958400000001,-1
31,32,1583586484854,-5.75,0.6695,7.6633,3.0894587000000002,1.758905,8.342146000000001,-1
32,33,1583586484864,-6.9757,1.0,8.183499000000001,1.4639586000000002,1.9762218999999996,8.7611885,-1
33,34,1583586484874,-8.692699000000001,1.1572,8.5672,-0.3410301,1.8123150000000001,8.7737055,-1
34,35,1583586484884,-10.4213,0.95239997,8.4746,-1.4690535,1.415251,8.217638,-1
35,36,1583586484895,-11.632199,0.35819998,7.7377,-2.3643315,0.48229757,6.925276299999999,-1
