,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1580729215820,0.36479998,0.2408,-3.1936998,-0.78295183,2.3796258,5.625560299999999,-1
1,2,1580729215831,0.36479998,0.2408,-3.1936998,-0.9329341999999998,2.345561,8.920824,-1
2,3,1580729215841,0.053099997,-0.145,-0.5672,-0.8228105,2.2389617000000004,8.784365,-1
3,4,1580729215851,0.0778,-0.1854,-0.7046,-0.81709313,2.2862902000000003,8.794592999999999,-1
4,5,1580729215861,0.0632,-0.1322,-0.6669,-0.812458,2.281138,8.865728,-1
5,6,1580729215871,0.1451,-0.1413,-0.56229997,-0.40610450000000003,2.4034722,9.087126,-1
6,7,1580729215881,0.5482,0.0416,-0.3024,-0.18777245,2.4738042,9.38032,-1
7,8,1580729215891,0.64269996,0.1108,0.2796,-0.46553814,2.4853728,10.161911,-1
8,9,1580729215901,0.3057,0.1019,0.72349995,-0.8324256,2.367377,10.480101,-1
9,10,1580729215911,-0.104899995,-0.0058999998,1.0489,-1.1363456,2.2803142000000003,10.669731,-1
10,11,1580729215922,-0.4204,-0.042799998,1.1148,-1.1965549,2.2702584,10.171391999999999,-1
11,12,1580729215932,-0.4276,-0.0444,0.4976,-1.0944088,2.2847197,9.292193,-1
12,13,1580729215942,-0.32709998,-0.031999997999999995,-0.214,-1.1004038,2.2393541,9.109612,-1
13,14,1580729215952,-0.19049999,-0.0994,-0.3999,-1.1967944,2.1253233,9.148599,-1
14,15,1580729215962,-0.304,-0.19829999,-0.33949998,-1.3650301999999999,2.1192515,9.219324,-1
15,16,1580729215973,-0.4698,-0.114599995,-0.23089999,-1.4011921999999999,2.4230278,9.271402,-1
16,17,1580729215983,-0.4252,0.1339,-0.21939999,-1.117393,2.4917222999999997,9.178957,-1
17,18,1580729215993,-0.048,0.17359999,-0.2965,-0.94551814,2.3639007000000003,9.274591000000001,-1
18,19,1580729216003,0.053799997999999995,0.068799995,-0.2184,-0.9525665999999999,2.344,9.491631,-1
19,20,1580729216013,0.048299998,0.095699996,0.1528,-0.9399636,2.4305649,9.762711999999999,-1
20,21,1580729216023,0.1232,0.2091,0.3385,-0.7072568,2.5611734,9.557893,-1
21,22,1580729216034,0.5093,0.2179,-0.2522,-0.47456908,2.506777,9.246473,-1
22,23,1580729216044,0.80539995,0.34219998,-0.4121,-0.13724522,2.6246772000000003,9.097909,-1
23,24,1580729216054,0.80539995,0.34219998,-0.4121,0.6119770999999999,2.622101,8.798299,-1
24,25,1580729216064,1.4786999,0.3295,-0.71059996,1.4269729,2.6952583999999997,8.882584,-1
25,26,1580729216075,2.4009,0.3463,-0.3031,1.6786418,2.6176286,9.32555,-1
26,27,1580729216086,2.2531,0.2377,0.24489999,1.6235752,2.4672343999999997,9.92027,-1
27,28,1580729216096,2.3281999,0.086899996,1.0060999,1.8724381,2.2947943,10.677536,-1
28,29,1580729216106,2.4271998,-0.013999999499999999,1.4997,2.2941816000000004,2.1672887999999997,11.10856,-1
29,30,1580729216116,2.6547,-0.08779999599999999,1.3991,2.6680791,2.0383658,10.756774,-1
30,31,1580729216126,3.1516,-0.11889999,0.7425,3.1989887,2.01293,10.167504,-1
31,32,1580729216136,3.9585998,-0.0712,0.16679999,4.3535395,1.9369092,9.658621,-1
32,33,1580729216146,4.9209,-0.29299998,-0.033999998,5.2460403,1.7350683,9.563065,-1
33,34,1580729216156,5.8424,-0.4455,0.1889,6.297411,1.6073042,9.884625,-1
34,35,1580729216166,6.7355,-0.3082,0.7362,7.122453,1.7172363000000002,10.336784,-1
35,36,1580729216177,7.4880996,0.060099997,1.1163,8.134138,2.0855892,10.752857,-1
36,37,1580729216187,8.0273,0.1854,1.1037999,8.807673,2.0574524,10.611725,-1
37,38,1580729216197,8.3763,-0.0372,0.877,9.048713000000001,1.8861521,10.484095,-1
38,39,1580729216208,8.616199499999999,-0.2671,0.7122,9.510822000000001,1.565693,10.351733,-1
39,40,1580729216218,8.975699,-0.34899998,0.98319995,10.288803999999999,1.5689874,10.904391,-1
40,41,1580729216228,9.6573,-0.21899999999999997,1.5221,11.005523,1.779773,11.347032,-1
41,42,1580729216238,10.3242,0.1943,2.2094,11.742458000000001,2.2496972,12.2344,-1
42,43,1580729216248,10.6719,0.50729996,2.9262,12.247865,2.3713322,12.796386,-1
43,44,1580729216258,11.220799000000001,0.50659996,3.3792,12.883449,2.3107302000000005,13.036735,-1
44,45,1580729216269,11.643599499999999,0.37199998,3.4717,13.248689,1.9087055,12.811651,-1
45,46,1580729216279,11.852699000000001,-0.3222,3.1258,13.050458,0.90922207,12.342072,-1
46,47,1580729216289,11.11,-1.517,2.6557,11.599333,-0.14229219,11.970003,-1
47,48,1580729216299,9.2927,-2.5,2.3831,10.030489,-0.81262076,11.790341,-1
48,49,1580729216310,7.1945996,-3.2259998,2.3265,7.9853997,-1.184268,11.789097,-1
49,50,1580729216320,5.2995996,-3.3114998,2.3594,5.7535734000000005,-1.0697676,11.637908,-1
50,51,1580729216330,3.9390998,-3.3539999,2.1289,5.013114,-1.140818,11.012877,-1
51,52,1580729216340,3.4025998,-3.5338,1.4196,4.78961,-1.2422841999999998,10.144597000000001,-1
52,53,1580729216350,3.2552998,-3.7342,0.6619,4.444682,-1.4241956,9.79105,-1
53,54,1580729216360,2.8962998,-4.0302997000000005,0.3751,3.9081511,-1.5504658000000002,9.539792,-1
54,55,1580729216371,2.0816,-4.3259,-0.009000000000000001,2.170296,-1.8851082,9.083984,-1
55,56,1580729216381,0.5014,-4.6938,-0.2434,0.3391243,-2.1439790000000003,9.090372,-1
56,57,1580729216391,-1.2378,-5.074,-0.2298,-1.5139495,-2.3623207,8.721952,-1
57,58,1580729216401,-2.9986,-5.3956,-0.7058,-3.0018213,-2.6245909,7.844554400000001,-1
58,59,1580729216411,-4.2981997000000005,-5.7897997000000005,-1.5961,-4.1286283,-3.0291247,6.861198,-1
59,60,1580729216421,-5.3169,-6.286299700000001,-2.5805,-5.5984483,-3.4927955,6.018381,-1
60,61,1580729216431,-6.7478,-6.8047,-3.2861,-7.432186,-3.94461,6.020861599999999,-1
61,62,1580729216442,-8.4725,-7.3567995999999996,-3.1218,-9.557653,-4.477951999999999,6.3164305999999995,-1
62,63,1580729216452,-10.5708,-7.8504,-2.8990998,-11.959028,-4.4405737,6.2202606,-1
63,64,1580729216462,-12.7953,-7.7655997,-2.9970999,-13.044166,-4.2563257000000005,6.1416445,-1
64,65,1580729216472,-13.9939995,-7.5917997,-3.1420999,-14.165657999999999,-3.8132546,5.539953,-1
65,66,1580729216482,-14.441298999999999,-7.2693,-3.6390998,-14.503413,-3.1059403,5.1430707,-1
66,67,1580729216493,-14.729199,-6.5979,-4.0194,-14.619015,-2.4444222,5.057875599999999,-1
67,68,1580729216503,-14.8055,-5.9613,-4.1008,-14.846991000000001,-1.9361814,4.6652365,-1
68,69,1580729216513,-14.979000000000001,-5.4554996,-4.4923997,-15.106091000000001,-1.4445273,3.7183962,-1
69,70,1580729216523,-15.1942,-4.8034,-5.6816,-14.944770000000002,-0.53911674,3.0670490000000004,-1
70,71,1580729216534,-14.080998999999998,-3.4203,-5.3697,-14.076575,0.08393114,3.8098452000000003,-1
71,72,1580729216544,-12.9394,-2.9326,-5.2328,-12.947594,0.5421143,3.954704,-1
72,73,1580729216554,-12.0604,-2.7739,-5.725,-11.927041000000001,0.61980134,3.3699922999999994,-1
73,74,1580729216564,-12.0604,-2.7739,-5.725,-11.506447,0.33956486,3.0150373,-1
74,75,1580729216574,-11.4283,-3.0597,-6.1998,-11.601057,0.06522763,2.400934,-1
75,76,1580729216585,-11.4768,-3.3047,-6.821799799999999,-11.94881,-0.14953226,1.9289126,-1
76,77,1580729216595,-12.4991,-3.8442998,-7.9466996,-12.803386999999999,-0.68190694,1.2210811000000001,-1
77,78,1580729216606,-12.7527,-4.4526,-8.3258,-13.004174,-1.4127802,0.8563964,-1
78,79,1580729216616,-12.4147,-5.2093997000000005,-8.668099,-12.500396,-2.2035944,0.5946048,-1
79,80,1580729216626,-10.702,-5.7395997,-8.6511,-10.532428999999999,-2.703389,0.6655880999999999,-1
80,81,1580729216636,-8.296,-5.9539,-8.8139,-8.23253,-3.0242598,0.44980347,-1
81,82,1580729216646,-6.8315997,-6.4596,-9.352099,-7.099239,-3.6425002,-0.16153199999999998,-1
82,83,1580729216657,-6.7734,-6.4761996,-10.4015,-7.354241,-3.5368392,-1.4170129999999999,-1
83,84,1580729216667,-7.0283,-6.1665998,-11.0687,-7.3803663,-3.5270805,-1.6893966,-1
84,85,1580729216678,-6.6247,-6.3371,-11.0896,-6.7270080000000005,-3.8244019999999996,-1.6437057000000002,-1
85,86,1580729216688,-6.0719,-6.5209,-10.8945,-6.267589,-4.2098494,-1.1565048,-1
86,87,1580729216698,-5.9507,-7.0817,-10.2485,-5.795376,-5.287863,-0.43742067,-1
87,88,1580729216708,-5.3573,-8.0401,-9.782,-4.689284,-6.36488,0.055488015999999994,-1
88,89,1580729216718,-4.1756,-8.6964,-9.2617,-3.223132,-6.861064,0.7010126999999999,-1
89,90,1580729216728,-2.8483,-8.8018,-8.8833,-2.3847494,-6.8365855,0.6360531999999999,-1
90,91,1580729216738,-1.8405999,-8.2046995,-9.8287,-1.3571388999999998,-6.426229,-0.6567774000000001,-1
91,92,1580729216748,-0.8868,-7.7799997,-10.5623,-0.41600690000000007,-6.3639793,-0.7620361,-1
92,93,1580729216758,-0.1019,-7.848099700000001,-9.9046,0.37011483,-7.141195,0.37904045,-1
93,94,1580729216770,-0.1724,-8.5225,-8.8445,0.5071398,-8.537234,2.0559874,-1
94,95,1580729216780,0.0946,-9.9519,-6.6383996,1.1704103000000001,-9.914311999999999,4.3839846,-1
95,96,1580729216790,0.9709,-11.0385,-3.3667998,2.7511772999999997,-11.30725,9.444331,-1
96,97,1580729216800,1.9315,-11.373099,0.4797,3.4736323,-11.268674,13.147806,-1
97,98,1580729216810,2.556,-10.671599,3.9452,4.0093875,-10.676311,14.63972,-1
98,99,1580729216821,3.0749998,-9.7713995,4.7966,4.222883,-10.900034,13.463956,-1
99,100,1580729216831,3.2133,-9.7724,3.5516998999999996,4.587654,-11.305421,13.238959,-1
100,101,1580729216841,3.7621998999999997,-9.758599,3.8790998,5.9362507,-11.119056,15.122132,-1
101,102,1580729216851,5.8661,-8.8904,7.2441998,9.909303999999999,-9.867892999999999,20.737043,-1
102,103,1580729216861,9.549,-7.297999999999999,12.1866,13.608509,-8.376632,24.492224,-1
103,104,1580729216872,13.0234995,-5.3841,15.5492,15.193786,-6.8258023,25.391064,-1
104,105,1580729216882,14.1481,-3.5554997999999998,15.8883,13.628283999999999,-6.1571492999999995,22.89575,-1
105,106,1580729216892,12.7162,-2.847,13.685699,11.266079,-6.4366198,21.577665,-1
106,107,1580729216902,9.8264,-2.9814,12.3932,8.515907,-6.3749833,22.500153,-1
107,108,1580729216912,7.7102,-2.6901,13.4298,7.600077000000001,-6.096126,23.371920000000003,-1
108,109,1580729216922,6.6636996,-2.1636999,14.4421,7.080870599999999,-5.745720400000001,22.967817,-1
109,110,1580729216933,6.3533998,-1.7495999,13.689098999999999,7.66021,-5.473681,20.429645999999998,-1
110,111,1580729216943,7.0339,-1.4034,11.5212,8.600585,-5.0141287000000005,17.83483,-1
111,112,1580729216953,8.077,-0.86759996,8.9505,9.190383,-4.4909954,15.760685,-1
112,113,1580729216963,8.7576,-0.29279998,6.8924,8.797130000000001,-4.260951,15.298804999999998,-1
