,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1583933618749,1.3797,-1.0316,-0.67039996,5.9414606,-7.763064999999999,4.656272,-1
1,2,1583933618760,1.0843999,-1.0868,-0.8466,9.620343,0.8217761999999998,0.0021547815,-1
2,3,1583933618770,-0.069299996,-0.0052,0.0008,9.740752,0.7247439999999999,-0.11740208,-1
3,4,1583933618780,-0.0018,-0.1019,0.1628,9.831933,0.54872227,0.29828879999999997,-1
4,5,1583933618790,0.0822,-0.1567,0.371,9.978765,0.57271224,0.6570169,-1
5,6,1583933618800,0.25849998,-0.0585,0.7170000000000001,10.174323,0.69161785,0.93625736,-1
6,7,1583933618811,0.41579998,0.1007,0.75909996,10.175146,0.9604771000000001,0.8023066,-1
7,8,1583933618821,0.3189,0.36699998,0.4096,10.04044,1.0697006000000002,0.45586556,-1
8,9,1583933618832,-0.0029,0.29799998,-0.38459998,9.554876,0.7703679,-0.6413683000000001,-1
9,10,1583933618842,-0.2368,-0.044499997,-0.8382,9.704131,0.25673506,-0.18248606,-1
10,11,1583933618852,0.0184,-0.54109997,-0.196,10.008519,0.17436491,0.34890223,-1
11,12,1583933618862,0.5675,-0.3669,0.6155,10.717912,0.7673321,1.2644066,-1
12,13,1583933618873,0.9314,0.1065,1.0533999,10.442396,1.0267582,0.93175626,-1
13,14,1583933618883,0.5315,0.3308,0.5373,9.737554,1.2473025,0.37917449999999997,-1
14,15,1583933618893,-0.1709,0.48229998,-0.0016999998999999999,9.181888,1.3684393999999998,0.16859968,-1
15,16,1583933618903,-0.6658,0.53999996,-0.1566,9.0131645,1.3107103999999998,0.40174705,-1
16,17,1583933618913,-0.7258,0.3524,0.0624,9.409231,1.0722863999999999,0.72997296,-1
17,18,1583933618923,-0.1688,0.1151,0.3464,10.0790825,0.9763267,1.3338288999999999,-1
18,19,1583933618934,0.4524,0.0156,0.86829996,10.615459,0.9149394000000001,1.6195722,-1
19,20,1583933618944,0.9443,-0.048299998,1.0863,11.05175,0.9537829,1.8232515999999999,-1
20,21,1583933618954,1.2988,-0.0019999999,1.2269,11.107477000000001,0.97557014,1.8802336,-1
21,22,1583933618964,1.3302,0.0109,1.1995,10.942776,0.8314584,1.1186764,-1
22,23,1583933618974,1.1955,-0.12979999,0.44979998,10.858872999999999,0.9405382,-0.036995206,-1
23,24,1583933618985,1.11,-0.0252,-0.7,10.742064,1.0894575,-0.7046326999999999,-1
24,25,1583933618996,0.6847,0.4279,-0.083799995,10.295507,1.5419425,1.1218367,-1
25,26,1583933619006,0.6847,0.4279,-0.083799995,9.475014999999999,1.7640765999999999,3.6221015,-1
26,27,1583933619016,-0.2611,0.67149997,2.9638,7.8921413000000005,1.6557819999999999,6.3489633,-1
27,28,1583933619026,-3.8444998,0.0824,7.9529996,5.317483999999999,1.2210428999999998,9.1644,-1
28,29,1583933619037,-5.2589999999999995,-0.29009998,8.526,4.1711016,0.9985928,9.683742,-1
29,30,1583933619047,-5.5422,-0.4667,7.7689996,4.119885,0.8937651,8.952255000000001,-1
30,31,1583933619057,-5.183,-0.516,6.6513,4.4752703,0.8689994000000001,7.8936443,-1
31,32,1583933619067,-5.183,-0.516,6.6513,4.6511005999999995,0.81404775,6.850884,-1
32,33,1583933619077,-5.0834,-0.7137,3.9945,4.431763,0.6350380999999999,5.432262000000001,-1
33,34,1583933619087,-5.4993,-0.73109996,3.2545998,3.9893148000000003,0.63771,4.8660426,-1
34,35,1583933619097,-6.0176,-0.7497,3.0026999,3.4364742999999995,0.5843193,4.6569233,-1
35,36,1583933619108,-6.5794,-0.7104,2.9220998,2.821289,0.6596791999999999,4.6720066,-1
36,37,1583933619118,-7.125,-0.5988,3.2119999999999997,2.4543633,0.7218518,4.865937000000001,-1
37,38,1583933619128,-7.8107996,-0.5692,3.4366,1.5378628,0.7138935000000001,5.058776,-1
38,39,1583933619138,-8.4405,-0.57019997,3.3578,0.9218443000000001,0.6510409,4.776528400000001,-1
39,40,1583933619148,-9.1711,-0.68759996,2.9178,0.30962774,0.4753831,4.2857933,-1
40,41,1583933619159,-9.8658,-1.2515,2.0205998,-0.45248497,-0.46243528,2.9208782,-1
41,42,1583933619169,-10.151999,-2.1,0.7266,-0.48075572,-1.1965933000000002,1.8833939,-1
42,43,1583933619179,-9.892000000000001,-3.0009,-0.1617,0.044982262,-2.3809953,0.7004571999999999,-1
43,44,1583933619189,-9.0934,-3.7261998999999997,-1.058,1.1078738000000001,-3.1207557,-0.29320353,-1
44,45,1583933619200,-7.9400997,-4.1412997,-1.9013,2.208699,-3.5973550000000003,-1.1619538999999999,-1
45,46,1583933619210,-7.0969996,-4.3059,-2.5012,2.8761257999999996,-3.8731574999999996,-2.0109475,-1
46,47,1583933619220,-6.8668,-4.3273997,-3.2935,2.803591,-4.066456,-3.2461927000000004,-1
47,48,1583933619231,-7.1316,-4.3771,-4.711,2.3934834,-4.466565599999999,-4.955097,-1
48,49,1583933619241,-7.4309997999999995,-4.6877,-6.3785,2.4096875,-4.9523005,-6.34044,-1
49,50,1583933619251,-7.3136997,-4.88,-7.4831996,2.8352997,-5.145906,-7.144116,-1
50,51,1583933619261,-6.6024,-4.7525,-7.9564,3.776681,-5.146595,-6.857549000000001,-1
51,52,1583933619271,-5.611000000000001,-4.6232,-7.1622,4.683815,-5.516461,-5.6049885999999995,-1
52,53,1583933619282,-4.7706,-4.9048,-5.858,5.365012999999999,-5.950597,-4.5460815000000006,-1
53,54,1583933619292,-4.2289,-5.0566998,-5.1491,5.525003400000001,-6.565025299999999,-5.1250279999999995,-1
54,55,1583933619302,-4.2011,-5.4175,-6.2128997,5.459335299999999,-7.3319845,-7.278804300000001,-1
55,56,1583933619312,-4.1472,-5.9848,-8.5868,6.247143,-7.8718863,-9.919158,-1
56,57,1583933619322,-3.0932999,-6.1527996,-11.2182,7.8321996,-7.771780000000001,-11.883505,-1
57,58,1583933619334,-1.3988999,-5.683399700000001,-12.9957,9.383958999999999,-7.0806026,-11.887967999999999,-1
58,59,1583933619344,0.122999996,-4.6775,-12.667299,10.269085,-6.4707513,-8.990314,-1
59,60,1583933619354,0.85139996,-3.975,-10.209,9.680311999999999,-6.7749205,-5.791612000000001,-1
60,61,1583933619364,0.3502,-4.0348,-7.1411,8.422868,-7.568942999999999,-3.7939093,-1
61,62,1583933619374,-1.1666,-4.8504,-4.9142,6.587646,-9.387425,-2.8862197,-1
62,63,1583933619385,-2.5586,-6.1924,-4.4975,6.5909405,-10.690407,-3.796361,-1
63,64,1583933619395,-2.4347,-7.2570996,-5.5706997000000005,8.746641,-11.097814999999999,-5.9580193,-1
64,65,1583933619405,-0.1417,-7.4188,-7.93,11.60028,-10.481096,-8.275310000000001,-1
65,66,1583933619415,2.8676,-6.5631,-10.452,13.358372,-10.00895,-8.425081,-1
66,67,1583933619425,5.0929,-5.7492,-10.5292,13.527842499999998,-10.063577,-5.215155,-1
67,68,1583933619436,3.7043,-6.3701,-5.8378,11.537591,-11.242682,-2.773156,-1
68,69,1583933619446,3.7043,-6.3701,-5.8378,10.248323,-12.195575,-1.8193252,-1
69,70,1583933619456,2.6715,-7.942,-5.1232,11.027865,-13.02485,-2.5878637,-1
70,71,1583933619466,2.6715,-7.942,-5.1232,13.972024,-13.167457999999998,-4.8188863,-1
71,72,1583933619476,5.6025996,-7.8795,-7.3036,16.29441,-13.331863,-6.505467400000001,-1
72,73,1583933619486,10.9221,-7.9147997000000005,-9.947599,18.526985,-13.6358595,-6.5838823,-1
73,74,1583933619496,10.9221,-7.9147997000000005,-9.947599,18.607573000000002,-14.248048,-5.0531445,-1
74,75,1583933619506,11.347199,-8.433499000000001,-8.1961,17.695555,-15.286585,-2.9061491000000004,-1
75,76,1583933619516,10.571199,-9.3042,-6.0425997,17.076319,-16.047183999999998,-1.5146870000000001,-1
76,77,1583933619526,11.045099,-10.0674,-3.9645998,18.274769,-16.270544,-0.95020115,-1
77,78,1583933619536,11.045099,-10.0674,-3.9645998,19.419073,-15.913799,-1.2761766,-1
78,79,1583933619546,12.627999,-9.5064,-4.3066998,20.144602,-15.557341000000001,-1.442631,-1
79,80,1583933619557,13.281198999999999,-8.9739,-3.6265,19.841726,-15.60646,-0.40723455,-1
80,81,1583933619567,12.812699,-8.9558,-1.8484,19.289078,-15.610932,1.3508278,-1
81,82,1583933619577,12.0018,-8.8225,-0.326,18.414982000000002,-15.526454999999999,2.6308637000000004,-1
82,83,1583933619587,11.0654,-8.6048,0.6508,17.548195,-15.307472,3.4093527999999997,-1
83,84,1583933619597,11.0654,-8.6048,0.6508,16.969564000000002,-15.182082999999999,3.6695452000000004,-1
84,85,1583933619607,9.9696,-8.106,1.6958,16.71059,-14.700964,4.169233999999999,-1
85,86,1583933619618,9.7161,-7.5593,2.1041,16.482029,-14.121757500000001,4.360732,-1
86,87,1583933619628,9.0204,-7.0176,2.4271,15.784282999999999,-13.495320000000001,4.6739225,-1
87,88,1583933619638,7.8636,-6.4512,3.3265998,14.502455,-12.747486,5.663599,-1
88,89,1583933619649,6.6805997,-6.0351,4.3533,13.493932000000001,-12.2456045,6.4911695,-1
89,90,1583933619659,5.5861998,-5.6187997,5.127999999999999,12.656343,-11.674539,6.932075500000001,-1
90,91,1583933619669,4.7432,-5.1896,5.4259,12.0229435,-11.114622,6.769595599999999,-1
91,92,1583933619679,4.047,-4.9019,5.0683,11.649322999999999,-10.798616,6.343303,-1
92,93,1583933619689,3.5874,-4.7728,4.8538,11.379161999999999,-10.48056,6.021024,-1
93,94,1583933619700,3.3456,-4.8107,4.7689,11.293104,-10.354405,5.794859,-1
94,95,1583933619710,3.0676,-4.7212,4.8979,11.038419000000001,-9.759102,6.066859200000001,-1
95,96,1583933619720,2.6167,-4.2405,5.460099700000001,10.55457,-8.991118,6.646783,-1
96,97,1583933619732,1.8368,-3.7610997999999998,6.1632,9.834758,-8.588375,7.267848,-1
97,98,1583933619742,1.0723,-3.8592,6.9097,9.636786,-8.884672,7.7141466,-1
98,99,1583933619752,1.0116999,-4.4123,7.1671,10.0588455,-8.981523,7.337175,-1
99,100,1583933619762,1.351,-4.6742,6.7205,10.420255000000001,-8.816647999999999,6.4528904,-1
100,101,1583933619773,1.5192,-4.6398997,5.5294,10.065301,-8.355476,4.990885700000001,-1
101,102,1583933619783,0.84749997,-4.4419,4.5422,9.303714999999999,-7.8407617,4.632378,-1
102,103,1583933619793,-0.2816,-3.9641998,4.4757,8.084625,-6.671357,5.55813,-1
103,104,1583933619803,-1.3855,-3.1929998,5.6313996,7.0349784,-5.655257700000001,6.76134,-1
104,105,1583933619813,-2.5297,-2.5228,6.7697,6.161976,-5.078849,7.3323483,-1
105,106,1583933619823,-3.3783,-2.2979,7.3043,5.725896,-4.918341000000001,7.5204744,-1
106,107,1583933619833,-3.8421,-2.4823,7.4315996,5.3328066,-4.7817287,7.0046587,-1
107,108,1583933619844,-4.343999999999999,-2.5073,6.8782997,4.639082,-4.2350554,6.3668146,-1
108,109,1583933619854,-5.1405997,-2.1483998,6.3117,3.8049513999999998,-3.5257970999999997,5.997571,-1
109,110,1583933619864,-6.0070996,-1.6294,6.0783997,3.0830900000000003,-2.5901718,6.2174544,-1
110,111,1583933619874,-6.6204996,-1.0741,6.3011,2.8900313,-1.7656758999999997,5.899858999999999,-1
111,112,1583933619885,-6.8441,-0.43989998,5.9912,3.0408467999999997,-1.0169516,4.5985913,-1
112,113,1583933619895,-6.7084,0.1372,4.6962,3.2210536,-0.43185654,3.842282,-1
113,114,1583933619905,-6.5383,0.6933,3.8274,2.9415927,0.19089448,3.4590757000000005,-1
114,115,1583933619916,-7.4428,1.2811999,3.8184998,2.2150772,0.61344236,3.6558883,-1
115,116,1583933619926,-7.4428,1.2811999,3.8184998,1.7504201000000001,0.8041166000000001,3.7477110000000002,-1
116,117,1583933619936,-8.2867,1.1987,3.9591,1.5752603,0.59406847,3.6316497,-1
117,118,1583933619946,-7.710099700000001,0.6729999999999999,3.5732,2.2565637,0.22384828,2.998278,-1
118,119,1583933619956,-6.9073,0.79289997,2.3358998,3.0152192,0.49904740000000003,1.6172353000000002,-1
