,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1582725377407,0.9011116,-1.1379051000000002,-2.7073487999999997,7.443,0.615,4.385,-1
1,2,1582725377417,0.9011116,-1.1379051000000002,-2.7073487999999997,7.443,0.615,4.385,-1
2,3,1582725377428,0.5721619000000001,1.5943022,0.77509403,1.7309999999999999,11.069,3.0239999999999996,-1
3,4,1582725377438,1.1433886999999998,1.1003933000000001,1.2818146000000001,2.244,10.575999999999999,3.556,-1
4,5,1582725377448,0.8024348000000001,0.70897293,1.6656298999999999,1.827,10.187999999999999,3.9610000000000003,-1
5,6,1582725377458,0.3147909,0.46425056,2.0665259999999996,1.295,9.946,4.37,-1
6,7,1582725377469,-1.6017241000000002,-0.46314716,3.1784074,-0.775,9.031,5.4910000000000005,-1
7,8,1582725377479,-2.420864,-0.5456352,3.309657,-1.6469999999999998,8.954,5.617999999999999,-1
8,9,1582725377489,-3.3667337999999996,-0.9463577,3.2584455,-2.694,8.566,5.546,-1
9,10,1582725377499,-3.6305711000000005,-1.5390697,2.2790543999999997,-3.0989999999999998,7.994,4.5169999999999995,-1
10,11,1582725377510,-3.0890937000000003,-2.2764349999999998,1.2203473999999999,-2.627,7.271,3.412,-1
11,12,1582725377520,-2.9825835,-3.1904049999999997,0.7339835,-2.5839999999999996,6.367999999999999,2.89,-1
12,13,1582725377530,-3.2571228,-3.5356379000000002,1.0097971,-2.926,6.028,3.154,-1
13,14,1582725377540,-3.5579495000000003,-4.2609463,1.9380633999999999,-3.2969999999999997,5.3020000000000005,4.095,-1
14,15,1582725377551,-4.836956,-5.806118,3.744791,-4.689,3.748,5.9510000000000005,-1
15,16,1582725377561,-5.386618,-5.9811573,4.2479177,-5.2829999999999995,3.568,6.478,-1
16,17,1582725377571,-7.239161500000001,-6.947812,4.468014,-7.3,2.5810000000000004,6.785,-1
17,18,1582725377581,-7.518718700000001,-7.226279300000001,4.0810685,-7.812,2.0069999999999997,5.91,-1
18,19,1582725377592,-7.584119,-7.714706,3.0366569,-7.7860000000000005,1.8030000000000002,5.391,-1
19,20,1582725377602,-7.584486999999999,-8.125691,1.8096781000000002,-7.805,1.3980000000000001,4.138,-1
20,21,1582725377613,-7.433076,-8.754482000000001,0.77668786,-7.625,0.78,3.063,-1
21,22,1582725377623,-7.101564999999999,-9.264265,0.4018047,-7.192,0.285,2.6319999999999997,-1
22,23,1582725377634,-7.043961,-9.690531,0.6513097,-7.0360000000000005,-0.134,2.852,-1
23,24,1582725377644,-6.8876595,-9.982693,0.40308309999999997,-6.821000000000001,-0.423,2.589,-1
24,25,1582725377654,-6.225747599999999,-10.7851095,0.13977979999999998,-5.944,-1.219,2.28,-1
25,26,1582725377664,-5.848381,-11.115828500000001,-0.13213623,-5.482,-1.5490000000000002,1.992,-1
26,27,1582725377675,-4.5917816,-12.104956,-0.84121716,-3.937,-2.543,1.235,-1
27,28,1582725377685,-4.049047,-12.397261,-1.2154222,-3.178,-2.847,0.835,-1
28,29,1582725377696,-4.01089,-12.576863000000001,-1.7449322,-2.783,-3.063,0.292,-1
29,30,1582725377706,-4.2364125,-12.361566,-1.8264384999999999,-2.8810000000000002,-2.866,0.215,-1
30,31,1582725377716,-4.7833877000000005,-12.611542,-1.4052031,-3.159,-3.1630000000000003,0.6579999999999999,-1
31,32,1582725377726,-4.576866000000001,-12.873209,-1.5246208,-2.658,-3.487,0.57,-1
32,33,1582725377737,-3.15002,-12.928475,-1.9253589,-0.905,-3.623,0.205,-1
33,34,1582725377747,-0.5995585999999999,-12.909798,-2.2444447999999997,2.002,-3.707,-0.07400000000000001,-1
34,35,1582725377757,2.596422,-12.498666,-3.1364033,5.577999999999999,-3.4219999999999997,-0.924,-1
35,36,1582725377768,5.395811599999999,-11.591031,-3.9978437000000007,8.84,-2.6889999999999996,-1.7480000000000002,-1
36,37,1582725377778,7.294758,-10.152578,-4.6854477,11.187000000000001,-1.453,-2.375,-1
37,38,1582725377788,6.6635633,-7.942281200000001,-4.828797,11.132,0.42100000000000004,-2.327,-1
38,39,1582725377798,4.879041,-7.888636,-3.8281169999999998,9.817,0.155,-1.166,-1
39,40,1582725377808,3.6593623,-8.044032000000001,-3.2628209999999997,8.921,-0.292,-0.366,-1
40,41,1582725377818,4.276911,-7.364674000000001,-3.2310476,9.932,0.016,-0.114,-1
41,42,1582725377828,5.3644576,-6.975735,-3.4126542,11.175,0.23199999999999998,-0.179,-1
42,43,1582725377839,9.527443,-4.928528,-4.11595,15.755999999999998,1.743,-0.529,-1
43,44,1582725377849,10.922072,-4.1952370000000005,-4.6580997,17.28,2.287,-0.953,-1
44,45,1582725377859,13.271260999999999,-2.549617,-5.726478599999999,19.864,3.542,-1.777,-1
45,46,1582725377869,14.335566,-0.99949837,-5.431426,21.193,4.493,-1.075,-1
46,47,1582725377880,13.545823,-0.25913906,-4.5350475,20.52,4.84,0.105,-1
47,48,1582725377890,12.99963,0.2937765,-3.2845001000000003,20.063,5.005,1.6230000000000002,-1
48,49,1582725377900,13.797020999999999,1.2528052,-2.4357598,20.936999999999998,5.575,2.713,-1
49,50,1582725377911,15.546510999999999,2.5818493,-1.6975546000000001,22.755,6.513999999999999,3.6639999999999997,-1
50,51,1582725377921,17.810935999999998,3.6747080000000003,-1.2905091999999998,25.073,7.22,4.265,-1
51,52,1582725377931,19.30026,4.5664496,-0.30098772,26.594,7.7379999999999995,5.436,-1
52,53,1582725377942,19.620918,5.531761,1.0529913999999998,26.929000000000002,8.357999999999999,6.95,-1
53,54,1582725377952,19.353096,5.8319980000000005,1.7694596999999999,26.668000000000003,8.353,7.795,-1
54,55,1582725377962,19.045937,6.176321499999999,1.7844480999999999,26.371,8.435,7.901,-1
55,56,1582725377972,18.603842,6.844767999999999,1.533885,25.95,8.878,7.704,-1
56,57,1582725377982,20.135551,8.156144,1.1611671000000001,27.528000000000002,9.891,7.367000000000001,-1
57,58,1582725377993,20.791553,8.171681,1.496685,28.198,9.814,7.711,-1
58,59,1582725378003,20.778357999999997,7.505911,4.1847453,28.218000000000004,8.908999999999999,10.418,-1
59,60,1582725378013,19.181267000000002,6.52865,7.1910243000000005,26.649,7.824,13.414000000000001,-1
60,61,1582725378024,18.22663,6.157973,8.932799000000001,25.715,7.419,15.138,-1
61,62,1582725378034,14.918741,5.1742099999999995,12.576338,22.505,6.422999999999999,18.664,-1
62,63,1582725378044,12.963916000000001,4.966164599999999,13.50641,20.64,6.282,19.465999999999998,-1
63,64,1582725378054,11.476675,4.715099299999999,13.487804,19.250999999999998,6.148,19.291,-1
64,65,1582725378064,10.223730999999999,4.663106,12.681591000000001,18.094,6.252999999999999,18.312,-1
65,66,1582725378075,9.416513,4.465949500000001,11.349950999999999,17.373,6.2410000000000005,16.801,-1
66,67,1582725378085,8.763341,3.9792466,10.392534,16.789,5.956,15.67,-1
67,68,1582725378095,7.996461999999999,2.7790298,11.212143,16.067999999999998,4.967,16.334,-1
68,69,1582725378105,6.593075,1.6719503,12.98667,14.687999999999999,4.078,17.972,-1
69,70,1582725378115,5.0709696,1.0749044,15.4903965,13.172,3.707,20.35,-1
70,71,1582725378126,3.7833805,0.9338846,17.560398,11.879000000000001,3.805,22.291999999999998,-1
71,72,1582725378136,3.215805,0.57336044,18.377110000000002,11.297,3.702,22.968000000000004,-1
72,73,1582725378146,2.7546939999999998,0.24779129,17.366436,10.808,3.657,21.804000000000002,-1
73,74,1582725378156,2.171239,-0.45796943,15.758348000000002,10.177999999999999,3.252,20.035999999999998,-1
74,75,1582725378167,1.9846529999999998,-1.0144596,14.53226,9.922,3.008,18.654,-1
75,76,1582725378177,2.2008805000000002,-1.7521715,13.664354000000001,10.044,2.5839999999999996,17.646,-1
76,77,1582725378187,2.0508714,-2.6583902999999998,13.172857,9.774,1.99,17.035,-1
77,78,1582725378197,1.0754461000000002,-3.2903879999999996,13.412251999999999,8.652999999999999,1.671,17.172,-1
78,79,1582725378207,0.092550755,-4.271993599999999,14.184414000000002,7.502999999999999,1.001,17.852,-1
79,80,1582725378218,-1.4743953,-5.1338525,14.836457999999999,5.752000000000001,0.45,18.41,-1
80,81,1582725378228,-2.705336,-5.9075246,14.542292999999999,4.325,-0.013999999999999999,18.008,-1
81,82,1582725378238,-3.2578423,-6.1757836,12.7940035,3.57,0.019,16.137,-1
82,83,1582725378249,-3.3948534,-6.3660717,10.619864,3.2260000000000004,0.11199999999999999,13.84,-1
83,84,1582725378258,-3.6019628,-6.454473999999999,9.54627,2.912,0.155,12.717,-1
84,85,1582725378268,-4.2185334999999995,-6.626574000000001,6.249979,1.916,0.215,9.675,-1
85,86,1582725378278,-4.4986467,-6.941349000000001,4.848225599999999,1.401,0.1,8.281,-1
86,87,1582725378288,-4.8415155,-7.395306,4.129334399999999,0.835,-0.146,7.505,-1
87,88,1582725378298,-5.1165433,-7.599703999999999,3.7063122,0.344,-0.158,7.019,-1
88,89,1582725378308,-5.4791856,-7.7378817,3.1320732000000002,-0.225,-0.11900000000000001,6.375,-1
89,90,1582725378318,-6.0929720000000005,-7.501817999999999,2.711677,-1.032,0.28,5.874,-1
