,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1565755291669,-0.82809997,-0.1266,-1.9154999,-1.8186835,-0.013359645,7.8975234,-1
1,2,1565755291680,-0.82809997,-0.1266,-1.9154999,-0.5073122,-0.6885533,8.42715,-1
2,3,1565755291690,0.0352,0.0647,-0.66609997,-0.57648546,-0.9528635,9.237549000000001,-1
3,4,1565755291700,-0.3209,-0.1437,-0.0287,-0.81044686,-1.1150372,9.723428,-1
4,5,1565755291711,-0.5424,-0.4504,0.5958,-1.2341726999999998,-1.6286222,10.425686,-1
5,6,1565755291722,-0.8969,-0.82799995,0.94049996,-1.6051686,-2.119108,10.738703,-1
6,7,1565755291732,-1.216,-1.1326,0.9614,-1.8171895,-2.3198092,10.619817,-1
7,8,1565755291742,-1.3478999,-1.3727,0.5902,-1.9271888,-2.6000742999999997,10.11171,-1
8,9,1565755291752,-1.402,-1.5498999,-0.0539,-1.9612056,-2.7563965,9.3164425,-1
9,10,1565755291763,-1.3615,-1.6319,-0.616,-1.9626516,-2.8657637,8.946519,-1
10,11,1565755291773,-1.1826999,-1.6624999,-0.9461,-1.7962546000000001,-2.8892555,8.758583999999999,-1
11,12,1565755291783,-0.8145,-1.5342,-1.0151,-1.4611717,-2.9171720000000003,8.672881,-1
12,13,1565755291793,-0.5257,-1.4426,-0.94329995,-1.3019572,-2.9333856,8.764522,-1
13,14,1565755291803,-0.41459998,-1.3205999,-0.8384,-1.2390663999999998,-3.0058627,8.831837,-1
14,15,1565755291813,-0.25079998,-1.2714,-0.7504,-1.1712434999999999,-3.0430112,8.855146000000001,-1
15,16,1565755291824,-0.2616,-1.1844,-0.7395,-1.2729492,-3.0789146,8.8240795,-1
16,17,1565755291834,-0.23179999,-1.0174999,-0.75839996,-1.2084494,-2.9811833,8.846748,-1
17,18,1565755291844,-0.141,-0.82989997,-0.64089996,-1.1869687,-2.980331,8.927825,-1
18,19,1565755291854,-0.1136,-0.7277,-0.5434,-1.1369393,-2.9788945,8.949698,-1
19,20,1565755291865,-0.0115,-0.6069,-0.6143,-1.0308857,-2.9999251,8.791097,-1
20,21,1565755291875,0.2038,-0.5076,-0.7071,-0.9389772,-2.916626,8.789632000000001,-1
21,22,1565755291885,0.18879999,-0.28919998,-0.5861,-0.8214889000000001,-2.5807292,8.895541,-1
22,23,1565755291895,0.40559998,0.0691,-0.4666,-0.297628,-2.263411,9.060512,-1
23,24,1565755291905,1.1384,0.57159996,-0.2525,0.5874604999999999,-1.6656653000000001,9.34548,-1
24,25,1565755291916,1.828,1.1261,0.028099999,1.1174409,-1.2948035,9.470811,-1
25,26,1565755291926,2.4833998999999998,1.6517998999999999,0.1293,1.9037638,-0.65599215,9.390672,-1
26,27,1565755291936,3.1434999,2.2375,0.0315,2.2851696,-0.2565052,9.348352,-1
27,28,1565755291946,3.4924,2.6908998,-0.039,2.4898262000000004,0.17283262,9.24929,-1
28,29,1565755291957,3.6071,3.0832,-0.0524,2.4164295,0.47950113,9.521836,-1
29,30,1565755291967,3.1288,3.5035,0.4526,2.2014972999999998,0.58932793,9.721953,-1
30,31,1565755291977,3.1288,3.5035,0.4526,1.9828203999999998,0.7725419,10.115003999999999,-1
31,32,1565755291987,2.8676999,3.8997,1.1395998999999999,1.9952223999999998,0.98300177,10.396974,-1
32,33,1565755291997,2.8676999,3.8997,1.1395998999999999,2.1000883999999997,1.224299,10.665986,-1
33,34,1565755292008,2.9815998,4.2964997,1.4606999,2.2347574,1.4075031999999998,10.779003,-1
34,35,1565755292018,2.9815998,4.2964997,1.4606999,2.339384,1.5764573,10.9626,-1
35,36,1565755292028,2.9549,4.6498,1.8632,2.4772902,1.8877515,11.252403,-1
36,37,1565755292038,2.9731998,4.8037,1.8754,2.6653786,2.220057,11.333117,-1
37,38,1565755292048,2.7939999999999996,4.7813,1.7095,2.5822327,2.345322,11.198773,-1
38,39,1565755292059,2.3565,4.6493,1.5055,2.3192343999999996,2.3352277000000004,11.048167999999999,-1
39,40,1565755292069,1.8607999,4.4121,1.4117998999999999,1.8459966,2.2176917,11.008788000000001,-1
40,41,1565755292079,1.1912999,4.0703998,1.6618998999999999,1.399545,2.0695672,11.268559,-1
41,42,1565755292089,0.6642,3.7136,1.9099,0.91716117,1.9007854,11.589075999999999,-1
42,43,1565755292100,0.2421,3.3741,1.8515999,0.7011467,1.8210682,11.538597,-1
43,44,1565755292110,-0.1836,3.0325,1.5382999,0.3446214,1.7855189999999999,11.167773,-1
44,45,1565755292120,-0.3901,2.9814,1.2723,0.17388608,1.8603808999999998,10.958222,-1
45,46,1565755292130,-0.3901,2.9814,1.2723,0.108055115,1.8931334999999998,10.914946,-1
46,47,1565755292140,-0.72999996,2.9057999,0.8865,-0.07097372,1.9268439999999998,10.638252,-1
47,48,1565755292150,-1.0005,2.6513999,0.6741,-0.39600095,1.7189888999999998,10.398361999999999,-1
48,49,1565755292160,-1.5726999,2.3329,0.6972,-1.1478186000000001,1.3917207,10.575944999999999,-1
49,50,1565755292171,-2.1567,1.9638,1.0054,-1.5851243999999998,1.1216165,10.792974000000001,-1
50,51,1565755292181,-2.6375,1.5199,1.0589,-2.078014,0.70788884,10.827767,-1
51,52,1565755292191,-2.9377,1.1934999,1.0282999,-2.3007896,0.51045334,10.810213000000001,-1
52,53,1565755292201,-3.1641,1.0335,1.0759999999999998,-2.5079741,0.39080074,10.853328,-1
53,54,1565755292211,-3.2566998,0.8843,1.1137999,-2.522081,0.30942664,10.907534,-1
54,55,1565755292222,-3.3206,0.78709996,1.2889,-2.6102736,0.2358576,11.130538,-1
55,56,1565755292232,-3.4708,0.6749,1.5229,-2.7541747,0.17995778,11.345212,-1
56,57,1565755292242,-3.7521,0.37899998,1.6784999,-3.059512,-0.13101071,11.437916,-1
57,58,1565755292252,-4.0814,0.013999999499999999,1.6669999,-3.3419225,-0.39031234,11.437714999999999,-1
58,59,1565755292262,-4.4681,-0.4068,1.6946,-3.8061964999999995,-0.7586649999999999,11.487016,-1
59,60,1565755292272,-4.8726997,-0.8002,1.7020998999999999,-4.251469999999999,-1.2183901000000001,11.350661,-1
60,61,1565755292283,-5.1247997000000005,-1.3032,1.4442999,-4.396415,-1.5330648,11.004881,-1
61,62,1565755292293,-5.1937,-1.6510999,0.85249996,-4.35783,-1.7875205,10.270425999999999,-1
62,63,1565755292303,-4.9821,-1.9102999,0.2409,-4.2050133,-1.9339691000000003,9.774539,-1
63,64,1565755292313,-4.7479,-2.1568,-0.33139998,-4.066628,-2.0625281,9.3552475,-1
64,65,1565755292323,-4.388099700000001,-2.428,-0.7463,-3.668683,-2.2964227000000004,8.863698,-1
65,66,1565755292333,-3.8865,-2.7619,-1.2192,-3.1948323,-2.6386592,8.379897,-1
66,67,1565755292344,-3.4942,-3.0976999,-1.4167,-3.085829,-2.8521645,8.477093,-1
67,68,1565755292354,-3.4143999,-3.3934998999999997,-1.0641999,-3.1114759999999997,-3.1098955000000004,9.119371000000001,-1
68,69,1565755292364,-3.3939,-3.661,-0.40699998,-3.1237915000000003,-3.2682578999999996,9.526701,-1
69,70,1565755292374,-3.3128998,-3.8555998999999996,-0.1122,-3.0425419999999996,-3.4011261,9.748653,-1
70,71,1565755292384,-3.0986998,-3.9329,-0.0033,-2.6066057999999996,-3.362599,9.654072,-1
71,72,1565755292395,-2.5746999,-3.8655,-0.2174,-2.1205254,-3.1784463,9.347337,-1
72,73,1565755292405,-1.8450999,-3.6137998,-0.529,-0.8575073000000001,-2.6827605,9.101519999999999,-1
73,74,1565755292415,-0.6157,-3.2723,-0.7423,0.17624198,-2.409199,8.949814,-1
74,75,1565755292425,0.7701,-2.9664,-0.8673,1.615569,-1.9566183000000001,8.942333999999999,-1
75,76,1565755292435,1.8228999,-2.593,-0.8258,2.1797388,-1.6223302,8.960223,-1
76,77,1565755292446,2.4749,-2.1878,-0.67719996,2.7543855,-1.0222571,9.259068,-1
77,78,1565755292456,2.9318,-1.6732999,-0.53889996,2.8387954,-0.7071418,9.282502000000001,-1
78,79,1565755292466,2.9594998,-1.3576,-0.5383,2.6488872000000003,-0.54741985,9.042736999999999,-1
79,80,1565755292476,2.8058,-1.2986,-1.1057,2.5397596,-0.574436,8.681510000000001,-1
80,81,1565755292487,2.8058,-1.2986,-1.1057,2.5249443,-0.4349594,8.472955,-1
81,82,1565755292497,2.8365998,-1.1164,-1.3599,2.6053604999999997,-0.25941652,8.343975,-1
82,83,1565755292507,3.0096,-0.87299997,-1.4279,2.7319853,0.057096925,8.441917,-1
83,84,1565755292517,3.0995998,-0.6258,-1.3197,2.5569403,0.33311966,8.697282000000001,-1
84,85,1565755292527,2.9515998,-0.37629998,-1.0842,2.3506560000000003,0.4949964,8.791939999999999,-1
85,86,1565755292537,2.6151,-0.054199997,-1.0943999,2.1796715,0.6291675,8.692848,-1
86,87,1565755292548,2.6151,-0.054199997,-1.0943999,2.041258,0.63198304,8.468771,-1
87,88,1565755292558,2.0988998,-0.071499996,-1.4477999,1.6420105999999999,0.591387,8.334092,-1
88,89,1565755292568,1.6510999,-0.1936,-1.0857999,1.3303142,0.4774134,8.602032000000001,-1
