,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1582725150836,1.9796118999999999,0.25662065,-1.0645341999999998,8.806000000000001,1.6980000000000002,5.827000000000001,-1
1,2,1582725150847,1.9796118999999999,0.25662065,-1.0645341999999998,0.285,9.637,1.456,-1
2,3,1582725150857,-0.12588516,-0.22109795,0.45257592,0.349,9.323,2.656,-1
3,4,1582725150867,-0.5021589,-0.31032276,1.3560176000000002,-0.038,9.23,3.5780000000000003,-1
4,5,1582725150877,-0.6756276,-0.72942257,2.3784359,-0.222,8.808,4.615,-1
5,6,1582725150887,-0.80588484,-0.76926994,2.9030335,-0.361,8.767999999999999,5.142,-1
6,7,1582725150897,-1.0374731,-0.721117,2.246427,-0.603,8.82,4.471,-1
7,8,1582725150908,-0.9368969000000001,-0.7823906,1.1046786,-0.517,8.765,3.305,-1
8,9,1582725150918,-1.2683578000000002,-0.97591496,0.7441845,-1.183,8.382,2.95,-1
9,10,1582725150928,-1.8316554,-1.4119015,0.9637594,-1.465,8.14,3.154,-1
10,11,1582725150938,-2.6179626,-2.113346,1.5583661,-2.287,7.434,3.7739999999999996,-1
11,12,1582725150948,-3.7494342000000005,-2.8928776000000003,2.6089877999999995,-3.4560000000000004,6.646,4.8660000000000005,-1
12,13,1582725150958,-4.911558,-4.2814239999999995,4.9636154,-4.667,5.237,7.311,-1
13,14,1582725150969,-5.22813,-4.545336,5.449617400000001,-4.988,4.967,7.822,-1
14,15,1582725150979,-5.0208783,-5.061991,6.297327,-4.754,4.44,8.708,-1
15,16,1582725150989,-4.51826,-5.3573900000000005,5.8373218,-4.215,4.143,8.25,-1
16,17,1582725150999,-4.4765882,-5.850330400000001,4.619358,-4.126,3.654,7.01,-1
17,18,1582725151009,-4.290026999999999,-6.579682000000001,3.4319441,-3.877,2.9330000000000003,5.779,-1
18,19,1582725151020,-4.4085956,-7.0144577,2.9786856,-3.9610000000000003,2.502,5.303999999999999,-1
19,20,1582725151030,-4.199586,-8.290157,2.4474297000000003,-3.63,1.2329999999999999,4.718,-1
20,21,1582725151040,-3.8541565,-9.047875,2.0078197,-3.185,0.47600000000000003,4.248,-1
21,22,1582725151050,-3.5903354,-9.83958,1.1305969,-2.806,-0.318,3.343,-1
22,23,1582725151060,-3.3654838,-10.515885,0.34227967,-2.45,-1.001,2.533,-1
23,24,1582725151070,-3.274184,-10.795297999999999,0.012166261999999999,-2.287,-1.286,2.1959999999999997,-1
24,25,1582725151081,-3.2923989999999996,-11.561584,-0.48718333,-2.062,-2.081,1.6980000000000002,-1
25,26,1582725151090,-2.8386497000000004,-12.050232000000001,-0.38048267,-1.42,-2.6,1.8219999999999998,-1
26,27,1582725151100,-2.6481485,-12.030713,0.13287592,-1.022,-2.62,2.3609999999999998,-1
27,28,1582725151110,-2.2383137000000004,-12.222274,0.5274960999999999,-0.385,-2.859,2.778,-1
28,29,1582725151120,-2.0225263,-12.272789999999999,0.30344296,-0.047,-2.9360000000000004,2.56,-1
29,30,1582725151130,-0.8142805999999999,-12.400619,-1.4946604,1.561,-3.156,0.7559999999999999,-1
30,31,1582725151140,0.3563373,-12.682482,-3.9169663999999997,3.022,-3.515,-1.676,-1
31,32,1582725151150,2.462766,-12.445021,-6.096628,5.439,-3.3760000000000003,-3.846,-1
32,33,1582725151160,5.562645,-11.664122,-7.580342999999999,8.892000000000001,-2.727,-5.297000000000001,-1
33,34,1582725151170,6.401264,-11.114067,-7.825489999999999,9.896,-2.251,-5.501,-1
34,35,1582725151181,6.0290117,-9.461997,-6.797472999999999,9.994,-0.857,-4.2669999999999995,-1
35,36,1582725151191,4.57228,-8.620673,-4.718051,8.885,-0.237,-2.019,-1
36,37,1582725151201,4.221936,-8.413416,-3.0400584,8.83,-0.261,-0.129,-1
37,38,1582725151211,5.506278,-7.896520599999999,-2.8511176,10.454,-0.021,0.258,-1
38,39,1582725151221,7.8661156000000005,-6.633236,-4.4781949999999995,13.11,0.9690000000000001,-1.18,-1
39,40,1582725151231,9.882577000000001,-4.7662059999999995,-7.0241003,15.402000000000001,2.548,-3.53,-1
40,41,1582725151241,13.806519,-2.791369,-9.062489,19.581,4.208,-5.343,-1
41,42,1582725151252,17.702309,-1.3184185,-10.167748,23.701,5.337999999999999,-6.183,-1
42,43,1582725151262,18.69069,-0.45076179999999993,-9.593323,24.86,5.853,-5.307,-1
43,44,1582725151272,16.735770000000002,0.09893465,-7.451397999999999,23.018,6.0520000000000005,-2.84,-1
44,45,1582725151282,14.370464000000002,0.243752,-4.7101489999999995,20.730999999999998,5.848,0.22,-1
45,46,1582725151292,13.369910999999998,1.2401662,-1.9323354,19.809,6.492000000000001,3.2760000000000002,-1
46,47,1582725151302,14.340012,2.8479452000000003,0.062402725,20.881999999999998,7.747000000000001,5.482,-1
47,48,1582725151313,16.371225,3.9447160000000006,0.45605612,23.044,8.504,6.011,-1
48,49,1582725151323,18.956856,5.161803,-1.485465,25.765,9.405,4.155,-1
49,50,1582725151333,21.313579999999998,6.321531299999999,-3.963779,28.23,10.272,1.757,-1
50,51,1582725151343,22.025091,7.010257000000001,-4.9840837,29.015,10.684000000000001,0.831,-1
51,52,1582725151353,21.67501,7.018503,-4.5637197,28.694000000000003,10.557,1.3,-1
52,53,1582725151363,20.871674,6.924063,0.26979637,27.976,10.061,6.257999999999999,-1
53,54,1582725151374,20.117762,7.610711,4.012054,27.288,10.494000000000002,10.049,-1
