,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1583549201831,2.0370998,1.1839,2.2256,8.710125,5.4679446,7.432914299999999,-1
1,2,1583549201841,0.0004,0.0689,-0.0001,0.10472238,9.923583,0.01025676,-1
2,3,1583549201852,0.0004,0.0689,-0.0001,0.03868072,10.174591,0.17551415,-1
3,4,1583549201862,0.0052,0.461,0.23099999,0.10112151,10.302959,0.29623938,-1
4,5,1583549201872,0.1033,0.5394,0.48589998,0.23691104,10.461885,0.6075814,-1
5,6,1583549201883,0.3285,0.76489997,0.7125,0.35564429999999997,10.677566,0.71341467,-1
6,7,1583549201893,0.057999999999999996,0.85319996,0.5523,-0.18774371,10.607501,0.48072696,-1
7,8,1583549201903,-0.6231,0.7258,0.3505,-0.8207610000000001,10.468847,0.47886908,-1
8,9,1583549201913,-0.8174,0.5593,0.6234,-0.79314154,10.356273,0.87433374,-1
9,10,1583549201923,-0.6203,0.5305,0.8698,-0.61071295,10.32013,1.0564463,-1
10,11,1583549201933,-0.56909996,0.40379998,0.9956,-0.78546095,10.167006,1.3014402,-1
11,12,1583549201943,-0.7179,0.2807,1.3333,-0.97728443,9.98475,1.9880015,-1
12,13,1583549201954,-0.71779996,-0.08109999400000001,2.2737,-1.0315849,9.53849,3.3787453000000003,-1
13,14,1583549201964,-0.72819996,-0.4718,3.5588998999999997,-1.0872643999999998,9.192203,5.014818,-1
14,15,1583549201974,-0.4438,-0.78429997,4.8973,-0.84617794,8.714357000000001,6.571403999999999,-1
15,16,1583549201984,-0.43739998,-1.5357,6.0179,-1.3732566000000002,7.682227,7.904064699999999,-1
16,17,1583549201994,-1.6062,-2.7954,6.7868,-3.2584512,5.9735045,8.863746,-1
17,18,1583549202004,-3.1523,-4.3069997,6.7613997,-5.031262,3.7661846,9.10241,-1
18,19,1583549202014,-4.6731,-6.6274,6.3732,-7.099267500000001,1.0912579,10.061009,-1
19,20,1583549202024,-6.1601,-8.661799,6.6951,-8.644792,-0.9148915000000001,11.597542,-1
20,21,1583549202034,-7.6446996,-10.8376,8.3269,-10.41652,-3.5044982000000005,13.987453,-1
21,22,1583549202044,-8.746799000000001,-13.068299,10.3939,-12.429795,-6.936308400000001,16.663385,-1
22,23,1583549202054,-10.2438,-15.938498999999998,12.3959,-12.391057,-8.767959,17.573995999999998,-1
23,24,1583549202064,-9.1775,-17.9146,11.468599000000001,-11.133267,-10.469595,15.384633,-1
24,25,1583549202075,-7.5449,-18.845299,8.0405,-8.983352,-10.989856,10.964908,-1
25,26,1583549202085,-5.4188,-19.0541,4.0376,-7.089633500000001,-11.219698,7.3444910000000005,-1
26,27,1583549202095,-3.0068998,-19.3181,-0.28919998,-4.5580907,-11.517968,2.6223497000000004,-1
27,28,1583549202105,-1.0526,-19.3801,-3.8155,-3.5493562000000005,-12.083652,0.35244566,-1
28,29,1583549202115,0.9052,-18.8332,-6.1039,-2.4193025,-12.762674,0.24204423,-1
29,30,1583549202126,2.764,-18.8664,-5.8027997000000004,-0.5918179,-13.433167000000001,0.9867942,-1
30,31,1583549202136,4.5119,-19.2896,-5.4191,1.3712455,-13.479212,0.34486082,-1
31,32,1583549202146,7.5453997,-19.0961,-6.6136,6.5101123,-11.9904785,-2.3679900000000003,-1
32,33,1583549202156,12.220799000000001,-17.612999,-9.0289,10.396054,-10.223117,-4.6182137,-1
33,34,1583549202166,16.7551,-15.5497,-11.675699,13.949663000000001,-8.049775,-7.306960000000001,-1
34,35,1583549202176,19.191399,-13.7716,-13.881499,15.428657999999999,-6.0155754,-8.415121000000001,-1
35,36,1583549202187,20.0012,-12.3097,-14.002199,16.213829999999998,-4.4500933,-7.4480743,-1
36,37,1583549202197,20.6299,-10.9247,-12.8545,17.648445000000002,-2.7447128,-6.307342,-1
37,38,1583549202207,22.2727,-9.1879,-11.7567,21.007952,-0.19207244,-6.002465,-1
38,39,1583549202217,25.603498000000002,-6.6189,-11.746099000000001,24.077854000000002,2.4280272000000003,-6.9707375,-1
39,40,1583549202227,29.3499,-3.182,-13.371599,28.860329999999998,7.1360235,-9.756563,-1
40,41,1583549202237,32.9332,0.76489997,-16.000999999999998,31.940853000000004,11.143562,-11.727834,-1
41,42,1583549202248,35.5806,4.6235,-17.6136,33.9446,14.356189,-11.016957000000001,-1
42,43,1583549202258,37.3012,7.7012,-16.5884,36.53277,17.205269,-8.28027,-1
43,44,1583549202268,39.3056,10.0983,-14.439798999999999,38.37259,18.6925,-6.5814786,-1
44,45,1583549202278,41.3517,12.047899000000001,-12.539499000000001,40.021984,20.180746,-4.553513,-1
45,46,1583549202288,42.453697,13.6292,-10.9862995,40.29872,21.609692000000003,-4.240705999999999,-1
46,47,1583549202298,42.1427,15.146298999999999,-11.156899000000001,40.05168,22.548658,-3.5685290000000003,-1
