,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1580694313203,0.1797,0.2342,-0.83669996,0.9259527,3.0328982000000004,7.235268,-1
1,2,1580694313213,0.5078,-0.17629999,-2.2468,0.024344241000000003,1.3912036,9.093092,-1
2,3,1580694313223,-0.020299999,-0.1308,-0.79999995,0.28688282,1.5008581,8.822049,-1
3,4,1580694313233,0.27359998,0.0455,-1.1142,0.6168517,1.7470202000000001,8.448792999999998,-1
4,5,1580694313243,0.44599998,0.29659998,-1.3806,0.63769084,2.0203903000000003,8.189195,-1
5,6,1580694313253,0.46469998,0.4763,-1.5891,0.68782544,2.0480003,8.122501,-1
6,7,1580694313263,0.7234,0.46719998,-1.4555,1.0133411,2.0119721999999998,8.299097999999999,-1
7,8,1580694313274,1.0041,0.4529,-1.3224,1.2164363999999999,1.9368613000000001,8.43484,-1
8,9,1580694313284,1.1142,0.41079998,-1.2775999,1.2948608,1.8202254,8.478903,-1
9,10,1580694313295,1.2535,0.33949998,-0.9385,1.4390876,1.8394843,8.847284,-1
10,11,1580694313305,1.6064,0.583,-0.5125,1.9692788,2.1859636,9.393267999999999,-1
11,12,1580694313315,2.0001,0.9684,0.029299999,2.5946154999999997,2.7683294,10.126008,-1
12,13,1580694313325,2.4062997999999998,1.4454,0.6726,2.943556,3.055279,10.461378,-1
13,14,1580694313335,3.0177,1.7628,0.94229996,3.8813074,3.2962315,10.692437,-1
14,15,1580694313345,3.5721998,1.683,0.9465,4.3920197,2.9962763999999997,10.5748825,-1
15,16,1580694313356,3.8212,1.3641,0.92039996,4.5886407,2.7113376000000002,10.677853,-1
16,17,1580694313366,4.0724998,1.0914,1.0503,4.9735804,2.446606,10.809581,-1
17,18,1580694313377,4.2518,0.93149996,1.2488999,4.9652294999999995,2.4685178,11.247433000000001,-1
18,19,1580694313386,4.0748997000000005,1.0799,1.9476,4.8720374,2.5455822999999995,12.4797,-1
19,20,1580694313396,3.9334,1.0668,3.5193,4.759041000000001,2.4250197,14.260592,-1
20,21,1580694313406,3.7786,0.8875,5.2585998,4.741496,2.0763667000000003,15.797231,-1
21,22,1580694313416,3.6831,0.4935,6.587999999999999,4.643602,1.5097741000000002,16.644384,-1
22,23,1580694313426,3.4462,0.054199997,6.9976997,4.4060016,1.1299579,16.515307999999997,-1
23,24,1580694313437,3.1079,-0.5369,6.7606997,4.0790489999999995,0.35350868,16.368284,-1
24,25,1580694313447,2.6685,-1.4153,6.7566,3.375719,-0.5475826,16.494392,-1
25,26,1580694313457,1.6592,-2.3279998,6.9835997,2.0835016,-1.3866545,16.998486,-1
26,27,1580694313467,0.34109998,-3.0791,7.756,0.54394346,-2.142255,18.588314,-1
27,28,1580694313477,-0.81769997,-3.6448998,9.2823,-0.5643611999999999,-2.5432456,20.150444,-1
28,29,1580694313488,-1.9092,-4.0703998,10.7526,-1.754605,-2.978253,20.984106,-1
29,30,1580694313498,-3.0416,-4.5934,11.3772,-2.997502,-3.6949809,20.610332,-1
30,31,1580694313508,-4.3568,-5.4926,10.7379,-4.237325,-4.382529,19.247065,-1
31,32,1580694313518,-5.8831997000000005,-6.5003,8.7368,-6.13134,-5.496168,15.798073,-1
32,33,1580694313529,-7.184,-7.4698997,6.2437,-6.993980400000001,-5.8727083,14.18261,-1
33,34,1580694313539,-8.229199000000001,-8.1101,4.2537,-7.9922285,-6.025746,12.297011999999999,-1
34,35,1580694313549,-9.127299,-8.358399,2.5054,-8.851096,-5.7674403,10.958242,-1
35,36,1580694313559,-9.812099,-8.214399,1.3195,-9.217514,-5.445583,10.184905,-1
36,37,1580694313569,-9.9894,-8.0597,0.6958,-9.5376,-5.1404657,9.790780999999999,-1
37,38,1580694313580,-10.2645,-7.7534,0.2339,-9.868967,-4.857663,9.142767,-1
38,39,1580694313590,-10.3751,-7.6675,-0.25,-10.471366999999999,-4.9753523,8.472036,-1
