,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1583933655198,1.0605999,-1.1036999,-2.0644,7.2609625,-7.767595,1.2444487,-1
1,2,1583933655208,1.5047,-0.868,-2.5704,9.250822,0.8642302,-0.19754079,-1
2,3,1583933655219,-0.6748,-0.0523,0.012999999,9.086829,0.6619010000000001,-0.12436441,-1
3,4,1583933655229,-0.6163,-0.1378,0.0286,9.348535,0.6372599,-0.28156770000000003,-1
4,5,1583933655239,-0.2149,-0.1187,-0.1954,9.734738,0.6360531999999999,-0.48282427,-1
5,6,1583933655249,0.27429998,-0.13329999,-0.3078,10.320915,0.57705045,-0.46666822,-1
6,7,1583933655260,0.6358,-0.15869999,-0.1927,10.522947,0.5992687,-0.38200924,-1
7,8,1583933655270,0.8401,-0.0154,-0.1261,10.688616,0.7321373000000001,-0.39740875,-1
8,9,1583933655280,0.84999996,0.1029,-0.18769999,10.471567,0.77622896,-0.56077945,-1
9,10,1583933655290,0.5665,0.0928,-0.31689999,10.179408,0.7798681,-0.63451135,-1
10,11,1583933655301,0.3328,0.0753,-0.3825,10.068777,0.8288726000000001,-0.72723395,-1
11,12,1583933655311,0.2776,0.1125,-0.4563,10.067953,0.9032460999999999,-0.7622755,-1
12,13,1583933655321,0.2622,0.16409999,-0.297,9.958739,0.9590405999999999,-0.39038894,-1
13,14,1583933655331,0.10969999400000001,0.1129,0.25959998,9.765172999999999,0.94096917,0.36831442,-1
14,15,1583933655341,-0.1127,0.065299995,1.1359,9.576203,0.9105053,1.1946780000000001,-1
15,16,1583933655352,-0.35819998,-0.021699998999999998,1.8352,9.286514,0.8933341,2.1601255,-1
16,17,1583933655362,-0.552,-0.0565,2.3545,9.140841499999999,0.98337525,2.6397703,-1
17,18,1583933655372,-0.6265,0.027199998,2.4036999,9.167197,1.0831847,2.1665799999999997,-1
18,19,1583933655382,-0.58239996,0.105799995,1.7284,9.194338,1.1662828,1.7555243999999999,-1
19,20,1583933655392,-0.5956,0.21069999,1.2648,8.934739,1.1804659,1.7118638,-1
