,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1583937533666,0.2724,0.247,0.13509999,1.1115224,9.243276,0.77481157,-1
1,2,1583937533676,-0.9932,-0.0769,0.38239998,-1.2387408000000002,9.649983,-1.3409444,-1
2,3,1583937533686,-0.0002,0.0018999999,-0.0002,-1.7223121,9.527381,-1.3384833,-1
3,4,1583937533697,-0.5171,0.055999997999999995,0.2641,-1.9520118000000002,9.677449000000001,-1.0552013,-1
4,5,1583937533707,-0.2078,0.1602,0.501,-1.7040970000000002,9.778159,-0.7327023,-1
5,6,1583937533717,-0.2024,0.18329999,0.6351,-1.8290839,9.769214999999999,-0.5952369000000001,-1
6,7,1583937533727,-0.5379999999999999,0.0095,0.56799996,-2.3879672999999997,9.578424,-0.6088071999999999,-1
7,8,1583937533737,-0.91679996,-0.053299997,0.456,-2.7070854,9.527467,-0.638524,-1
8,9,1583937533747,-1.1025,-0.20099999,0.46199998,-2.963428,9.385089,-0.5008478,-1
9,10,1583937533757,-1.1948999,-0.1423,0.6512,-3.089899,9.45161,-0.2191748,-1
10,11,1583937533767,-0.6342,-0.0945,0.6185,-2.655007,9.484103,-0.017468097,-1
11,12,1583937533777,0.1478,0.0279,0.3195,-2.0086393,9.596698,0.013388377,-1
12,13,1583937533787,0.5906,0.0938,0.16239999,-1.4778258,9.73174,0.035108574,-1
13,14,1583937533798,0.78859997,0.2295,0.0618,-1.2177773,9.848252,-0.031383193999999996,-1
14,15,1583937533808,0.9690000000000001,0.28399998,-0.029199999,-0.9761448,9.912503,-0.07276458,-1
15,16,1583937533818,0.9690000000000001,0.28399998,-0.029199999,-1.1008252,9.861689,0.018061858,-1
16,17,1583937533829,0.4725,0.16849999,0.0635,-1.399181,9.812166,0.12004527400000001,-1
17,18,1583937533839,0.18609999,0.1478,0.14389999,-1.5455146999999998,9.800549499999999,0.19434215,-1
18,19,1583937533849,0.1201,0.12019999,0.1982,-1.5549574,9.766964,0.25342146,-1
19,20,1583937533859,-0.068799995,0.0755,0.20699999,-1.7826651000000002,9.740321,0.21046948,-1
20,21,1583937533869,-0.22459999,0.072399996,0.0755,-1.7755686999999998,9.730744,-0.020561403,-1
